Date,type,pct_move,Close,Volume,category,explanation,confidence
2014-01-09,curated,-7.58,73.63,3129300,earnings,Holiday update: comps +5% but Q4 EPS guidance cut on discounting/margins,H
2014-02-19,1-day,18.14,93.65,12237300,M&A,"Zale acquisition announced ($21/sh cash, ~$1.4B EV); accretion narrative",H
2014-03-27,curated,6.79,105.03,4141000,earnings,Q4 FY14 beat vs lowered bar; record Q4 profit,H
2014-08-28,curated,7.72,116.37,3560800,earnings,Q2 FY15: first Zale quarter; organic comps +6.3%,H
2014-11-25,curated,6.99,131.59,4781600,earnings,Q3 FY15 beat + FY guidance raised + De Beers sightholder,H
2015-03-26,curated,6.02,135.0,2205300,earnings,Q4 FY15 adj EPS +40%; first capital-return framework,H
2015-08-27,1-day,14.45,138.82,2540800,earnings,Q2 FY16 beat guidance; amplified by post-flash-crash market rebound,H
2016-05-26,curated,-10.49,97.0,9944700,earnings/scandal,Q1 FY17 comp deceleration + credit 'strategic evaluation' + BuzzFeed Kay diamond-swap story (5/25),H
2016-06-02,curated,-6.58,92.23,11586700,analyst/scandal,Grant's Interest Rate Observer credit-book attack; Jim Grant on CNBC,M-H
2016-08-25,curated,-12.63,83.44,10811000,earnings,Q2 FY17 first negative comp of Zale era + guidance cut; $625M Leonard Green preferred announced same day,H
2017-01-05,curated,-8.01,87.97,2754600,macro,Macy's/Kohl's holiday disasters; mall-retail contagion (SIG holiday release was Jan 11),H
2017-02-28,curated,-12.75,63.59,11317100,scandal,WaPo Sterling arbitration story (harassment/discrimination declarations); trading halt,H
2017-03-09,curated,8.73,70.02,7721100,earnings,Q4 FY17 beat + credit outsourcing 'preferred option' announced,H
2017-05-24,curated,-6.59,54.53,4380700,macro,Tiffany Q1 miss; jewelry-sector sympathy selloff,H
2017-05-25,curated,-7.76,50.3,9345800,earnings/M&A,Q1 FY18 SSS -11.5%; prime credit book sale to Alliance Data announced,H
2017-08-24,1-day,16.67,60.54,12460400,earnings/M&A,Q2 FY18 big beat + R2Net/JamesAllen $328M acquisition announced,H
2017-11-21,1-day,-30.39,52.79,18604100,earnings,Q3 FY18: credit-outsourcing transition disaster; FY guidance slashed,H
2017-11-24,5-day,-32.88,49.8,3760900,earnings,Q3 FY18 aftermath (5-day -32.9%),H
2018-03-14,1-day,-20.23,38.22,25956200,earnings,FY19 guide ~40% below consensus; Path to Brilliance launch; non-prime book sold at 72% of par (CarVal/Castlelake),H
2018-03-14,5-day,-22.69,38.22,25956200,earnings,FY19 guide ~40% below consensus; Path to Brilliance launch; non-prime book sold at 72% of par (CarVal/Castlelake),H
2018-06-06,1-day,18.39,52.27,18012100,earnings,Q1 FY19: NA comps turn positive; short squeeze,H
2018-06-12,5-day,31.19,57.92,2522300,earnings,Q1 FY19 squeeze continuation (5-day +31.2%),H
2018-08-30,1-day,23.84,67.68,15119500,earnings,Q2 FY19 blowout + FY raise; credit outsourcing complete; buybacks,H
