date,fy,qtr,move_pct
2014-03-27,FY2014Q4,4,6.792069556496738
2014-05-22,FY2015Q1,1,5.028103338939749
2014-08-28,FY2015Q2,2,7.720081515805277
2014-11-25,FY2015Q3,3,6.992437290426601
2015-03-26,FY2015Q4,4,6.02371637371224
2015-05-28,FY2016Q1,1,-0.6006816616338728
2015-08-27,FY2016Q2,2,14.452969145329808
2015-11-24,FY2016Q3,3,-4.095268223811788
2016-03-24,FY2016Q4,4,2.8895822142078753
2016-05-26,FY2017Q1,1,-10.49183580180416
2016-08-25,FY2017Q2,2,-12.62826969486257
2016-11-22,FY2017Q3,3,2.1489690831824726
2017-03-09,FY2017Q4,4,8.726700285758726
2017-05-25,FY2018Q1,1,-7.757197206911215
2017-08-24,FY2018Q2,2,16.66988172600461
2017-11-21,FY2018Q3,3,-30.39292792113073
2018-03-14,FY2018Q4,4,-20.22541986551978
2018-06-06,FY2019Q1,1,18.391842924682923
2018-08-30,FY2019Q2,2,23.842632050296775
2018-12-06,FY2019Q3,3,-18.049168498148404
2019-04-03,FY2019Q4,4,0.5424941070514278
2019-06-06,FY2020Q1,1,-1.2358381574423039
2019-09-05,FY2020Q2,2,26.88465010547585
2019-12-05,FY2020Q3,3,7.447446243410916
2020-03-26,FY2020Q4,4,29.877224513671628
2020-06-09,FY2021Q1,1,-16.06402404864632
2020-09-03,FY2021Q2,2,-3.873046301477634
2020-12-03,FY2021Q3,3,-1.1405573924157308
2021-03-18,FY2021Q4,4,3.3698400192412548
2021-06-10,FY2022Q1,1,13.990826978108606
2021-09-02,FY2022Q2,2,5.702948506413197
2021-12-02,FY2022Q3,3,-5.132347909575497
2022-03-17,FY2022Q4,4,6.973749464509171
2022-06-09,FY2023Q1,1,9.051448551540453
2022-09-01,FY2023Q2,2,-12.039165390724305
2022-12-06,FY2023Q3,3,20.249003482106744
2023-03-16,FY2023Q4,4,11.255155714172837
2023-06-08,FY2024Q1,1,-10.65879803009726
2023-08-31,FY2024Q2,2,4.9538216637012855
2023-12-05,FY2024Q3,3,5.885125380221257
2024-03-20,FY2024Q4,4,-12.082761432792278
2024-06-13,FY2025Q1,1,-14.914221031205377
2024-09-12,FY2025Q2,2,11.333085566071976
2024-12-05,FY2025Q3,3,-11.94165959146537
2025-03-19,FY2025Q4,4,17.287789690918686
2025-06-03,FY2026Q1,1,12.453225563325908
2025-09-02,FY2026Q2,2,2.737076603277555
2025-12-02,FY2026Q3,3,-6.802502313930869
2026-03-19,FY2026Q4,4,13.698110162960276
2026-06-02,FY2027Q1,1,3.74911614786273
