,M1 margin_v2|b_elastic_rw,M2 q_sentence_direction|k_fit_rw,M2 sarima_margin|lines_aicc,M3 rw_hl4_pin,M3 nov_sentence_pin,M3 nocushion,M4 margin_aug|none_rw,M6 flex_margin|l0_rw,M5 dispersion_conditioned|rw_hl4,street
M1 margin_v2|b_elastic_rw,1.0,-0.0940767470867923,0.9219387476936958,0.15386614728481898,0.548661359173396,0.40862705703766894,1.0,0.9919638389123548,0.6742347523450097,0.8205072064252384
M2 q_sentence_direction|k_fit_rw,-0.0940767470867923,1.0,0.050459089390229014,0.33792772856800724,0.007629538434321934,-0.16107486210072577,-0.09407674708679228,-0.11978360661315383,-0.46445169387255214,-0.1359717020923729
M2 sarima_margin|lines_aicc,0.9219387476936958,0.050459089390229014,1.0,0.0791087367348412,0.49639677124546183,0.3325134587476025,0.9219387476936958,0.9399080235118735,0.5922067740294924,0.6894790030572063
M3 rw_hl4_pin,0.15386614728481898,0.33792772856800724,0.0791087367348412,1.0,0.21483795987403667,0.25380499019709746,0.15386614728481904,0.105005275182432,0.019691431865125814,0.13468159711679006
M3 nov_sentence_pin,0.548661359173396,0.007629538434321934,0.49639677124546183,0.21483795987403667,1.0,0.9219871962102899,0.548661359173396,0.5857371750495202,0.5370339791537445,0.6521630554406023
M3 nocushion,0.40862705703766894,-0.16107486210072577,0.3325134587476025,0.25380499019709746,0.9219871962102899,1.0,0.40862705703766883,0.4422863500603361,0.5263284502332657,0.6052178814015259
M4 margin_aug|none_rw,1.0,-0.09407674708679228,0.9219387476936958,0.15386614728481904,0.548661359173396,0.40862705703766883,1.0,0.9919638389123548,0.6742347523450097,0.8205072064252384
M6 flex_margin|l0_rw,0.9919638389123548,-0.11978360661315383,0.9399080235118735,0.105005275182432,0.5857371750495202,0.4422863500603361,0.9919638389123548,1.0,0.6886611915935293,0.8202091152642036
M5 dispersion_conditioned|rw_hl4,0.6742347523450097,-0.46445169387255214,0.5922067740294924,0.019691431865125814,0.5370339791537445,0.5263284502332657,0.6742347523450097,0.6886611915935293,1.0,0.7081791170430394
street,0.8205072064252384,-0.1359717020923729,0.6894790030572063,0.13468159711679006,0.6521630554406023,0.6052178814015259,0.8205072064252384,0.8202091152642036,0.7081791170430394,1.0
