object,n,mean_pairwise_r,mae_1h23_stress,mae_w1
M1 margin_v2|b_elastic_rw,14,0.6028580401983767,1.9936587243061776,2.2590052259941182
M2 q_sentence_direction|k_fit_rw,14,-0.07482433360664789,4.650906473284573,2.0672249488955194
M2 sarima_margin|lines_aicc,14,0.5582165946782331,1.5215979763361567,2.0382627636949637
M3 rw_hl4_pin,14,0.14059243771954774,0.7924240782291951,2.1831543756728595
M3 nov_sentence_pin,14,0.4823261768100632,0.7665063363727551,1.8827388817005581
M3 nocushion,14,0.3660750560596203,0.8481989013628368,2.3919445565370965
M4 margin_aug|none_rw,14,0.6028580401983767,1.9936587243061776,2.2590052259941182
M6 flex_margin|l0_rw,14,0.6051056890970501,2.4196165483920957,2.20058721586878
M5 dispersion_conditioned|rw_hl4,14,0.43956875052618494,3.682574051443371,1.3298126002390185
street,14,0.5683302755646079,1.3425429570308003,1.5920779972124073
