vintage_date,scenario,spec_id,quarter,revenue_musd,rev_source,adj_ebitda_margin_pct,adj_ebitda_musd,fy_margin_hat_pct,note
2026-09-11,base,rw_hl4,2026Q3,4804.0355,ws06_v2b_base,52.55945795351143,2524.975018694263,37.0251850971514,"FY2026 floor 35.50% + cushion +1.53pp (rw_hl4, n4, AUG) = 37.03%; delta on m[q-4]; delta +2.47pp; rev[ws06_v2b_base]"
2026-09-11,base,rw_hl4,2026Q4,3178.1078,ws06_v2b_base,30.767724369121268,977.8314480575439,37.0251850971514,"FY2026 floor 35.50% + cushion +1.53pp (rw_hl4, n4, AUG) = 37.03%; delta on m[q-4]; delta +2.47pp; rev[ws06_v2b_base]"
2026-09-11,base,rw_hl4,2027Q1,3053.1293,ws06_v2b_base,19.162980208628166,585.0705635028277,37.0251850971514,FY2027 policy chain 36.69%; delta -0.22pp on m[q-4]; rev[ws06_v2b_base]
2026-09-11,base,rw_hl4,2027Q2,4028.9807,ws06_v2b_base,34.732956644695065,1399.384119754132,37.0251850971514,FY2027 policy chain 36.69%; delta -0.22pp on m[q-4]; rev[ws06_v2b_base]
2026-09-11,base,rw_hl4,2027Q3,5280.7325,ws06_v2b_base,52.342303733461485,2764.0570445016137,37.0251850971514,FY2027 policy chain 36.69%; delta -0.22pp on m[q-4]; rev[ws06_v2b_base]
2026-09-11,base,rw_hl4,2027Q4,3465.7641,ws06_v2b_base,30.550570149071316,1058.81069257183,37.0251850971514,FY2027 policy chain 36.69%; delta -0.22pp on m[q-4]; rev[ws06_v2b_base]
2026-09-11,base,equal,2026Q3,4804.0355,ws06_v2b_base,55.30554435344058,2656.897984207531,38.56145051708278,"FY2026 floor 35.50% + cushion +3.06pp (equal, n4, AUG) = 38.56%; delta on m[q-4]; delta +5.22pp; rev[ws06_v2b_base]"
2026-09-11,base,equal,2026Q4,3178.1078,ws06_v2b_base,33.513810769050416,1065.1050341284313,38.56145051708278,"FY2026 floor 35.50% + cushion +3.06pp (equal, n4, AUG) = 38.56%; delta on m[q-4]; delta +5.22pp; rev[ws06_v2b_base]"
2026-09-11,base,equal,2027Q1,3053.1293,ws06_v2b_base,20.712391435743694,632.3760916553814,38.56145051708278,FY2027 policy chain 39.76%; delta +1.33pp on m[q-4]; rev[ws06_v2b_base]
2026-09-11,base,equal,2027Q2,4028.9807,ws06_v2b_base,36.28236787181059,1461.8095990582497,38.56145051708278,FY2027 policy chain 39.76%; delta +1.33pp on m[q-4]; rev[ws06_v2b_base]
2026-09-11,base,equal,2027Q3,5280.7325,ws06_v2b_base,56.63780136050616,2990.8907837296906,38.56145051708278,FY2027 policy chain 39.76%; delta +1.33pp on m[q-4]; rev[ws06_v2b_base]
2026-09-11,base,equal,2027Q4,3465.7641,ws06_v2b_base,34.846067776115994,1207.6825072462966,38.56145051708278,FY2027 policy chain 39.76%; delta +1.33pp on m[q-4]; rev[ws06_v2b_base]
2026-09-11,base,last,2026Q3,4804.0355,ws06_v2b_base,50.91165486375969,2445.8139732924924,36.10334123029164,"FY2026 floor 35.50% + cushion +0.60pp (last FY2025, n4, AUG) = 36.10%; delta on m[q-4]; delta +0.83pp; rev[ws06_v2b_base]"
2026-09-11,base,last,2026Q4,3178.1078,ws06_v2b_base,29.119921279369525,925.4624895335028,36.10334123029164,"FY2026 floor 35.50% + cushion +0.60pp (last FY2025, n4, AUG) = 36.10%; delta on m[q-4]; delta +0.83pp; rev[ws06_v2b_base]"
2026-09-11,base,last,2027Q1,3053.1293,ws06_v2b_base,18.224127542788164,556.4061776782354,36.10334123029164,FY2027 policy chain 34.84%; delta -1.16pp on m[q-4]; rev[ws06_v2b_base]
