fy,bucket,guide_date,guide_type,guide_level_pct,numeric,form,fy_actual_margin_pct,cushion_pp,knowable_from,quote
2022,AUG,2022-08-02,floor,26.592122830440587,False,yoy_pts(+0.0) on FY2021 actual 26.59,34.56177032459491,7.969647494154323,2023-02-14,We continue to forecast delivering Adjusted EBITDA margin expansion for the full-year 2022 relative to 2021
2023,AUG,2023-08-03,floor,34.56177032459491,False,yoy_pts(+0.0) on FY2022 actual 34.56,36.83573661389533,2.273966289300418,2024-02-13,"For the full-year 2023, we expect an Adjusted EBITDA margin that is modestly higher than the full-year 2022"
2024,AUG,2024-08-06,floor,35.0,True,level,36.398847054584756,1.3988470545847562,2025-02-13,"For the full-year 2024, consistent with our prior guidance, we expect to grow Adjusted EBITDA on a nominal basis and to "
2025,AUG,2025-08-06,floor,34.5,True,level,35.10334123029164,0.6033412302916403,2026-02-12,"For 2025, consistent with our prior guidance, we expect to deliver a full-year Adjusted EBITDA Margin of at least 34.5%"
2026,AUG,2026-08-06,floor,35.5,True,level,,,,"For 2026, we now expect to deliver a full-year Adjusted EBITDA Margin of at least 35.5%"
2022,FEB,2022-02-15,point,26.592122830440587,False,yoy_pts(+0.0) on FY2021 actual 26.59,34.56177032459491,7.969647494154323,2023-02-14,we would expect Adjusted EBITDA margin to be directionally in-line with 2021
2023,FEB,2023-02-14,point,34.56177032459491,False,yoy_pts(+0.0) on FY2022 actual 34.56,36.83573661389533,2.273966289300418,2024-02-13,"For the full year 2023, we expect to maintain the strong Adjusted EBITDA margin we delivered in 2022"
2024,FEB,2024-02-13,floor,35.0,True,level,36.398847054584756,1.3988470545847562,2025-02-13,"For the full-year 2024, we expect to maintain an Adjusted EBITDA Margin of at least 35%"
2025,FEB,2025-02-13,floor,34.5,True,level,35.10334123029164,0.6033412302916403,2026-02-12,we expect to deliver a full-year Adjusted EBITDA Margin of at least 34.5%
2026,FEB,2026-02-12,point,35.10334123029164,False,yoy_pts(+0.0) on FY2025 actual 35.10,,,,"For 2026, we expect our Adjusted EBITDA Margin to be stable year-over-year"
2022,MAY,2022-05-03,floor,26.592122830440587,False,yoy_pts(+0.0) on FY2021 actual 26.59,34.56177032459491,7.969647494154323,2023-02-14,We currently anticipate delivering modest Adjusted EBITDA margin expansion for the full-year 2022 relative to 2021
2023,MAY,2023-05-09,point,34.56177032459491,False,yoy_pts(+0.0) on FY2022 actual 34.56,36.83573661389533,2.273966289300418,2024-02-13,We continue to anticipate a full year Adjusted EBITDA margin that is broadly in-line with full-year 2022
2024,MAY,2024-05-08,floor,35.0,True,level,36.398847054584756,1.3988470545847562,2025-02-13,"For the full-year 2024, consistent with our prior guidance, we expect to grow Adjusted EBITDA on a nominal basis and to "
2025,MAY,2025-05-01,floor,34.5,True,level,35.10334123029164,0.6033412302916403,2026-02-12,"For full-year 2025, consistent with our prior guidance, we expect to deliver a full-year Adjusted EBITDA Margin of at le"
2026,MAY,2026-05-07,floor,35.0,True,level,,,,"For 2026, we now expect our Adjusted EBITDA Margin to be at least 35%"
2023,NOV,2023-11-01,point,36.06177032459491,True,yoy_pts(+1.5) on FY2022 actual 34.56,36.83573661389533,0.773966289300418,2024-02-13,we expect an Adjusted EBITDA margin for full-year 2023 that is approximately 150 bps higher than full-year 2022
2024,NOV,2024-11-07,point,35.5,True,level,36.398847054584756,0.8988470545847562,2025-02-13,"For the full-year 2024, we now expect to deliver an Adjusted EBITDA Margin of approximately 35.5%"
2025,NOV,2025-11-06,point,35.0,True,level,35.10334123029164,0.10334123029164033,2026-02-12,"For the full-year 2025, we now expect to deliver an Adjusted EBITDA Margin of approximately 35%"
