spec_id,window,n,mean_d_pp,quarters_better,best_quarter,best_gain,mean_d_ex_best,second_quarter,second_gain,mean_d_ex_two_best
rw_hl4_pin,W1,14,-0.05391284315094781,4,2023Q4,-3.177228438601624,0.18634220265295035,2024Q1,-2.304705726455996,0.39392953007869586
rw_hl4_pin,W2,10,-0.5165307343100892,3,2024Q1,-2.304705726455996,-0.3178446240716551,2024Q4,-1.8565546785349518,-0.12550586726374302
last_pin,W1,14,-0.02771072727440441,8,2023Q4,-3.177228438601624,0.21455986590461246,2024Q4,-1.8565546785349518,0.3871527446079095
last_pin,W2,10,-0.47984777208292845,7,2024Q4,-1.8565546785349518,-0.3268803380327036,2025Q3,-1.1186887141538904,-0.22790429101755527
nocushion_pin,W1,14,-0.0062405010773329194,6,2023Q4,-3.177228438601624,0.23768164796299715,2025Q4,-2.0055199241734805,0.4246151123077036
nocushion_pin,W2,10,0.3705434982541963,3,2025Q4,-2.0055199241734805,0.6345505451906048,2025Q3,-1.1588718902550141,0.8587283496213072
nov_sentence_pin,W1,14,-0.35432833712324946,8,2023Q4,-3.177228438601624,-0.13718217547106681,2025Q3,-2.045970832930209,0.0218835459838617
nov_sentence_pin,W2,10,-0.11677947221008686,5,2025Q3,-2.045970832930209,0.09757512342548225,2025Q1,-1.3559561849929622,0.2792665369777878
rw_hl4,W1,14,1.594025156916023,6,2023Q4,-3.177228438601624,1.9610446642635344,2024Q1,-2.304705726455996,2.3165238634901617
rw_hl4,W2,10,0.009435648835847488,5,2024Q1,-2.304705726455996,0.266562468312719,2024Q4,-1.8565546785349518,0.5319521116686778
