source_row,name,address,postal_code,city,classification,classification_date,rooms,website,address_cluster,name_address_key,paris_city_postcode,source_id,independent_status,airbnb_membership
3,25HOURS HÔTEL TERMINUS NORD,12 boulevard de Denain,75010,PARIS 10E ARRONDISSEMENT,4 étoiles,20/10/2021,237,https://www.25hours-hotels.com/fr,12 BLVD DE DENAIN|75010,25HOURS HOTEL TERMINUS NORD|12 BLVD DE DENAIN|75010,True,HRE-FR-CLASSIFIED,unverified,unverified
5,6 VH HOTEL,6 Avenue Victor Hugo,75116,PARIS 16E ARRONDISSEMENT,4 étoiles,18/02/2025,35,https://www.le6vhhotel.com/,6 AVE VICTOR HUGO|75116,6 VH HOTEL|6 AVE VICTOR HUGO|75116,True,HRE-FR-CLASSIFIED,unverified,unverified
7,9 HÔTEL BASTILLE LYON,23 rue de lyon,75012,PARIS,3 étoiles,23/12/2024,48,https://www.9-hotel-bastille-lyon.fr,23 RUE DE LYON|75012,9 HOTEL BASTILLE LYON|23 RUE DE LYON|75012,True,HRE-FR-CLASSIFIED,unverified,unverified
8,9HÔTEL OPÉRA,14 rue Papillon,75009,PARIS 9E ARRONDISSEMENT,3 étoiles,22/09/2021,48,https://www.9-hotel-opera-paris.fr/,14 RUE PAPILLON|75009,9HOTEL OPERA|14 RUE PAPILLON|75009,True,HRE-FR-CLASSIFIED,unverified,unverified
9,9HÔTEL RÉPUBLIQUE,7/9 Rue Pierre Chausson,75010,PARIS 10E ARRONDISSEMENT,4 étoiles,21/02/2022,48,https://www.9-hotel-republique-paris.fr/,7 9 RUE PIERRE CHAUSSON|75010,9HOTEL REPUBLIQUE|7 9 RUE PIERRE CHAUSSON|75010,True,HRE-FR-CLASSIFIED,unverified,unverified
20,AC HÔTEL PARIS PORTE MAILLOT,6 rue Gustave Charpentier,75017,PARIS,4 étoiles,23/12/2024,164,https://www.marriott.fr/hotels/travel/parar-ac-hotel-paris-porte-maillot/,6 RUE GUSTAVE CHARPENTIER|75017,AC HOTEL PARIS PORTE MAILLOT|6 RUE GUSTAVE CHARPENTIER|75017,True,HRE-FR-CLASSIFIED,unverified,unverified
21,ACACIA HOTEL,30 bis avenue parmentier,75011,PARIS,1 étoile,12/09/2024,24,http://www.acacia-hotel-paris.com,30 BIS AVE PARMENTIER|75011,ACACIA HOTEL|30 BIS AVE PARMENTIER|75011,True,HRE-FR-CLASSIFIED,unverified,unverified
93,ALBA OPÉRA HÔTEL,34 ter rue de la Tour d'Auvergne,75009,PARIS,3 étoiles,29/04/2024,24,https://www.albaoperahotel.com/,34 TER RUE DE LA TOUR D AUVERGNE|75009,ALBA OPERA HOTEL|34 TER RUE DE LA TOUR D AUVERGNE|75009,True,HRE-FR-CLASSIFIED,unverified,unverified
94,ALBERTE HÔTEL,66 avenue Bosquet,75007,PARIS 7E ARRONDISSEMENT,4 étoiles,21/09/2023,23,www.albertehotel.com,66 AVE BOSQUET|75007,ALBERTE HOTEL|66 AVE BOSQUET|75007,True,HRE-FR-CLASSIFIED,unverified,unverified
95,ALBERT’S HÔTEL PARIS,22 rue du Grand Prieuré,75011,PARIS,4 étoiles,07/03/2023,22,http://www.angelyhotelparis.com,22 RUE DU GRAND PRIEURE|75011,ALBERTS HOTEL PARIS|22 RUE DU GRAND PRIEURE|75011,True,HRE-FR-CLASSIFIED,unverified,unverified
110,ALL SUITES HOTEL PARIS 13 PORTE D'ITALIE,17 Rue Gerda Taro,75013,PARIS 13E ARRONDISSEMENT,3 étoiles,24/10/2024,11,https://www.allsuites-apparthotel.com/residences-hotelieres/paris-13,17 RUE GERDA TARO|75013,ALL SUITES HOTEL PARIS 13 PORTE D ITALIE|17 RUE GERDA TARO|75013,True,HRE-FR-CLASSIFIED,unverified,unverified
124,AMIRAL HÔTEL,98 avenue d'Italie,75013,PARIS 13E ARRONDISSEMENT,4 étoiles,29/06/2022,49,https://www.amiralhotel.com/,98 AVE D ITALIE|75013,AMIRAL HOTEL|98 AVE D ITALIE|75013,True,HRE-FR-CLASSIFIED,unverified,unverified
150,APPART’HÔTEL VILLA SOPI,29 rue condorcet,75009,PARIS 9E ARRONDISSEMENT,4 étoiles,29/09/2025,14,www.villasopi.com,29 RUE CONDORCET|75009,APPARTHOTEL VILLA SOPI|29 RUE CONDORCET|75009,True,HRE-FR-CLASSIFIED,unverified,unverified
164,ART HÔTEL EIFFEL,136 boulevard de Grenelle,75015,PARIS,3 étoiles,22/03/2024,36,www.arthoteleiffel.com,136 BLVD DE GRENELLE|75015,ART HOTEL EIFFEL|136 BLVD DE GRENELLE|75015,True,HRE-FR-CLASSIFIED,unverified,unverified
172,ATLANTIC HÔTEL,44 rue de Londres,75008,PARIS,3 étoiles,21/11/2025,81,https://atlantic-hotel-paris.com/,44 RUE DE LONDRES|75008,ATLANTIC HOTEL|44 RUE DE LONDRES|75008,True,HRE-FR-CLASSIFIED,unverified,unverified
176,ATN HÔTEL,21 rue d 'Athènes,75009,PARIS,3 étoiles,19/03/2024,36,http://www.atnhotel.fr,21 RUE D ATHENES|75009,ATN HOTEL|21 RUE D ATHENES|75009,True,HRE-FR-CLASSIFIED,unverified,unverified
