source_row,name,address,postal_code,city,classification,classification_date,rooms,website,address_cluster,name_address_key,paris_city_postcode,source_id,independent_status,airbnb_membership,source_row_count,all_source_rows,dedup_rule
2,1924 HÔTEL,2 Rue Gabriel Péri,38000,GRENOBLE,3 étoiles,19/06/2023,37,https://www.1924hotel.com/,2 RUE GABRIEL PERI|38000,1924 HOTEL|2 RUE GABRIEL PERI|38000,False,HRE-FR-CLASSIFIED,unverified,unverified,1,2,latest classification date within exact normalized name/address key
3,25HOURS HÔTEL TERMINUS NORD,12 boulevard de Denain,75010,PARIS 10E ARRONDISSEMENT,4 étoiles,20/10/2021,237,https://www.25hours-hotels.com/fr,12 BLVD DE DENAIN|75010,25HOURS HOTEL TERMINUS NORD|12 BLVD DE DENAIN|75010,True,HRE-FR-CLASSIFIED,unverified,unverified,1,3,latest classification date within exact normalized name/address key
4,5 TERRES HÔTEL & SPA MGALLERY BY SOFITEL,11 Place de l'Hôtel de ville,67140,BARR,5 étoiles,20/03/2023,27,https://5terres-hotel.fr/fr/,11 PLACE DE L HOTEL DE VILLE|67140,5 TERRES HOTEL SPA MGALLERY BY SOFITEL|11 PLACE DE L HOTEL DE VILLE|67140,False,HRE-FR-CLASSIFIED,unverified,unverified,1,4,latest classification date within exact normalized name/address key
5,6 VH HOTEL,6 Avenue Victor Hugo,75116,PARIS 16E ARRONDISSEMENT,4 étoiles,18/02/2025,35,https://www.le6vhhotel.com/,6 AVE VICTOR HUGO|75116,6 VH HOTEL|6 AVE VICTOR HUGO|75116,True,HRE-FR-CLASSIFIED,unverified,unverified,1,5,latest classification date within exact normalized name/address key
6,7HÔTEL&SPA,550 Boulevard Sébastien Brandt,67400,ILLKIRCH-GRAFFENSTADEN,4 étoiles,24/10/2022,137,https://7hotel.fr/,550 BLVD SEBASTIEN BRANDT|67400,7HOTEL SPA|550 BLVD SEBASTIEN BRANDT|67400,False,HRE-FR-CLASSIFIED,unverified,unverified,1,6,latest classification date within exact normalized name/address key
7,9 HÔTEL BASTILLE LYON,23 rue de lyon,75012,PARIS,3 étoiles,23/12/2024,48,https://www.9-hotel-bastille-lyon.fr,23 RUE DE LYON|75012,9 HOTEL BASTILLE LYON|23 RUE DE LYON|75012,True,HRE-FR-CLASSIFIED,unverified,unverified,1,7,latest classification date within exact normalized name/address key
8,9HÔTEL OPÉRA,14 rue Papillon,75009,PARIS 9E ARRONDISSEMENT,3 étoiles,22/09/2021,48,https://www.9-hotel-opera-paris.fr/,14 RUE PAPILLON|75009,9HOTEL OPERA|14 RUE PAPILLON|75009,True,HRE-FR-CLASSIFIED,unverified,unverified,1,8,latest classification date within exact normalized name/address key
9,9HÔTEL RÉPUBLIQUE,7/9 Rue Pierre Chausson,75010,PARIS 10E ARRONDISSEMENT,4 étoiles,21/02/2022,48,https://www.9-hotel-republique-paris.fr/,7 9 RUE PIERRE CHAUSSON|75010,9HOTEL REPUBLIQUE|7 9 RUE PIERRE CHAUSSON|75010,True,HRE-FR-CLASSIFIED,unverified,unverified,1,9,latest classification date within exact normalized name/address key
10,A L'OUSTAL,1 avenue des thermes,32150,CAZAUBON,2 étoiles,18/11/2022,6,www.hoteloustalbarbotan.fr,1 AVE DES THERMES|32150,A L OUSTAL|1 AVE DES THERMES|32150,False,HRE-FR-CLASSIFIED,unverified,unverified,1,10,latest classification date within exact normalized name/address key
12,A RENA D'ORU,ESIGNA,20118,COGGIA,3 étoiles,22/07/2024,36,https://www.arenadoru.com/,ESIGNA|20118,A RENA D ORU|ESIGNA|20118,False,HRE-FR-CLASSIFIED,unverified,unverified,1,12,latest classification date within exact normalized name/address key
13,ABBAYE DE SAINTE CROIX,route du Val de Cuech,13300,SALON-DE-PROVENCE,4 étoiles,09/11/2022,25,https://garrigae.fr/etablissements/abbaye-de-sainte-croix/,ROUTE DU VAL DE CUECH|13300,ABBAYE DE SAINTE CROIX|ROUTE DU VAL DE CUECH|13300,False,HRE-FR-CLASSIFIED,unverified,unverified,1,13,latest classification date within exact normalized name/address key
