status,hotel_gbv_usd,monetary_base,assumed_adr_usd_same_room_value_basis,assumed_credit_cap_does_not_bind,assumed_commission_rate,credit_eligible_gbv_fraction,advertised_credit_rate,assumed_redemption_fraction,assumed_airbnb_funding_fraction,gross_fee_revenue_usd,expected_credit_economic_cost_usd,fees_less_expected_credit_cost_usd,assumed_other_variable_cost_gbv_rate,contribution_before_fixed_costs_usd,gbv_required_for_150m_fees_less_credit_usd,required_nights_at_assumed_200_adr,contribution_at_150m_cohort_fee_minus_credit_target_usd,nights_for_150m_contribution_target_at_200_adr,accounting_note
illustrative analyst sensitivity; not observations,1000000000.0,Hotel room booking value excluding taxes and fees; not reported company GBV,200,True,0.1,0.25,0.15,0.25,1,100000000.0,9375000.0,90625000.0,0.015,75625000.00000001,1655172413.7931032,8275862.068965516,125172413.79310346,9917355.371900825,"Economic lifetime cost on originating cohort, not NTM recognized revenue or GAAP revenue timing. Monetary base and $200 ADR exclude taxes and fees; assume per-reservation credit cap does not bind. Excludes cross-sell, cannibalization and fixed expenses."
illustrative analyst sensitivity; not observations,1000000000.0,Hotel room booking value excluding taxes and fees; not reported company GBV,200,True,0.1,0.25,0.15,0.5,1,100000000.0,18750000.0,81250000.0,0.015,66250000.0,1846153846.153846,9230769.23076923,122307692.3076923,11320754.716981132,"Economic lifetime cost on originating cohort, not NTM recognized revenue or GAAP revenue timing. Monetary base and $200 ADR exclude taxes and fees; assume per-reservation credit cap does not bind. Excludes cross-sell, cannibalization and fixed expenses."
illustrative analyst sensitivity; not observations,1000000000.0,Hotel room booking value excluding taxes and fees; not reported company GBV,200,True,0.1,0.25,0.15,0.75,1,100000000.0,28125000.0,71875000.0,0.015,56875000.00000001,2086956521.7391303,10434782.60869565,118695652.17391306,13186813.186813185,"Economic lifetime cost on originating cohort, not NTM recognized revenue or GAAP revenue timing. Monetary base and $200 ADR exclude taxes and fees; assume per-reservation credit cap does not bind. Excludes cross-sell, cannibalization and fixed expenses."
illustrative analyst sensitivity; not observations,1000000000.0,Hotel room booking value excluding taxes and fees; not reported company GBV,200,True,0.1,0.5,0.15,0.25,1,100000000.0,18750000.0,81250000.0,0.015,66250000.0,1846153846.153846,9230769.23076923,122307692.3076923,11320754.716981132,"Economic lifetime cost on originating cohort, not NTM recognized revenue or GAAP revenue timing. Monetary base and $200 ADR exclude taxes and fees; assume per-reservation credit cap does not bind. Excludes cross-sell, cannibalization and fixed expenses."
illustrative analyst sensitivity; not observations,1000000000.0,Hotel room booking value excluding taxes and fees; not reported company GBV,200,True,0.1,0.5,0.15,0.5,1,100000000.0,37500000.0,62500000.0,0.015,47500000.0,2400000000.0,12000000.0,114000000.0,15789473.684210528,"Economic lifetime cost on originating cohort, not NTM recognized revenue or GAAP revenue timing. Monetary base and $200 ADR exclude taxes and fees; assume per-reservation credit cap does not bind. Excludes cross-sell, cannibalization and fixed expenses."
illustrative analyst sensitivity; not observations,1000000000.0,Hotel room booking value excluding taxes and fees; not reported company GBV,200,True,0.1,0.5,0.15,0.75,1,100000000.0,56250000.0,43750000.0,0.015,28750000.00000001,3428571428.571428,17142857.142857138,98571428.57142858,26086956.52173912,"Economic lifetime cost on originating cohort, not NTM recognized revenue or GAAP revenue timing. Monetary base and $200 ADR exclude taxes and fees; assume per-reservation credit cap does not bind. Excludes cross-sell, cannibalization and fixed expenses."
illustrative analyst sensitivity; not observations,1000000000.0,Hotel room booking value excluding taxes and fees; not reported company GBV,200,True,0.1,1,0.15,0.25,1,100000000.0,37500000.0,62500000.0,0.015,47500000.0,2400000000.0,12000000.0,114000000.0,15789473.684210528,"Economic lifetime cost on originating cohort, not NTM recognized revenue or GAAP revenue timing. Monetary base and $200 ADR exclude taxes and fees; assume per-reservation credit cap does not bind. Excludes cross-sell, cannibalization and fixed expenses."
illustrative analyst sensitivity; not observations,1000000000.0,Hotel room booking value excluding taxes and fees; not reported company GBV,200,True,0.1,1,0.15,0.5,1,100000000.0,75000000.0,25000000.0,0.015,10000000.00000001,5999999999.999998,29999999.99999999,60000000.00000004,74999999.99999994,"Economic lifetime cost on originating cohort, not NTM recognized revenue or GAAP revenue timing. Monetary base and $200 ADR exclude taxes and fees; assume per-reservation credit cap does not bind. Excludes cross-sell, cannibalization and fixed expenses."
illustrative analyst sensitivity; not observations,1000000000.0,Hotel room booking value excluding taxes and fees; not reported company GBV,200,True,0.1,1,0.15,0.75,1,100000000.0,112500000.0,-12500000.0,0.015,-27499999.99999998,,,,,"Economic lifetime cost on originating cohort, not NTM recognized revenue or GAAP revenue timing. Monetary base and $200 ADR exclude taxes and fees; assume per-reservation credit cap does not bind. Excludes cross-sell, cannibalization and fixed expenses."
illustrative analyst sensitivity; not observations,1000000000.0,Hotel room booking value excluding taxes and fees; not reported company GBV,200,True,0.12,0.25,0.15,0.25,1,120000000.0,9375000.0,110625000.0,0.015,95625000.0,1355932203.3898306,6779661.016949153,129661016.94915254,7843137.254901961,"Economic lifetime cost on originating cohort, not NTM recognized revenue or GAAP revenue timing. Monetary base and $200 ADR exclude taxes and fees; assume per-reservation credit cap does not bind. Excludes cross-sell, cannibalization and fixed expenses."
