scope,size_band_rooms,classification,property_rows,physical_rooms,boutique_independent_eligibility
France classified hotels,1-49,3 étoiles,4659,120725,not identified by size or classification
France classified hotels,100-249,4 étoiles,425,59093,not identified by size or classification
France classified hotels,1-49,5 étoiles,347,9450,not identified by size or classification
France classified hotels,1-49,4 étoiles,1525,41751,not identified by size or classification
France classified hotels,1-49,2 étoiles,2382,49992,not identified by size or classification
France classified hotels,50-99,3 étoiles,1511,101454,not identified by size or classification
France classified hotels,50-99,4 étoiles,726,51557,not identified by size or classification
France classified hotels,1-49,1 étoile,242,4693,not identified by size or classification
France classified hotels,100-249,1 étoile,14,2121,not identified by size or classification
France classified hotels,100-249,3 étoiles,288,37779,not identified by size or classification
France classified hotels,50-99,2 étoiles,613,42293,not identified by size or classification
France classified hotels,100-249,2 étoiles,77,10711,not identified by size or classification
France classified hotels,250+,2 étoiles,7,2923,not identified by size or classification
France classified hotels,50-99,5 étoiles,123,8404,not identified by size or classification
France classified hotels,100-249,5 étoiles,66,9402,not identified by size or classification
France classified hotels,250+,4 étoiles,56,22538,not identified by size or classification
France classified hotels,250+,5 étoiles,9,3472,not identified by size or classification
France classified hotels,50-99,1 étoile,194,13808,not identified by size or classification
France classified hotels,250+,3 étoiles,34,12969,not identified by size or classification
France classified hotels,250+,1 étoile,4,1294,not identified by size or classification
Paris classified hotels (subset of France),100-249,4 étoiles,50,7225,not identified by size or classification
Paris classified hotels (subset of France),1-49,4 étoiles,397,13073,not identified by size or classification
Paris classified hotels (subset of France),1-49,3 étoiles,548,17452,not identified by size or classification
Paris classified hotels (subset of France),1-49,1 étoile,49,1350,not identified by size or classification
Paris classified hotels (subset of France),50-99,3 étoiles,113,7111,not identified by size or classification
Paris classified hotels (subset of France),250+,2 étoiles,3,1021,not identified by size or classification
Paris classified hotels (subset of France),1-49,2 étoiles,131,3919,not identified by size or classification
Paris classified hotels (subset of France),50-99,4 étoiles,112,7257,not identified by size or classification
Paris classified hotels (subset of France),100-249,3 étoiles,22,3304,not identified by size or classification
Paris classified hotels (subset of France),50-99,5 étoiles,42,2795,not identified by size or classification
Paris classified hotels (subset of France),100-249,5 étoiles,30,4399,not identified by size or classification
Paris classified hotels (subset of France),250+,3 étoiles,9,3263,not identified by size or classification
Paris classified hotels (subset of France),1-49,5 étoiles,47,1507,not identified by size or classification
Paris classified hotels (subset of France),250+,1 étoile,2,701,not identified by size or classification
Paris classified hotels (subset of France),50-99,2 étoiles,6,350,not identified by size or classification
Paris classified hotels (subset of France),100-249,2 étoiles,6,947,not identified by size or classification
Paris classified hotels (subset of France),50-99,1 étoile,1,50,not identified by size or classification
Paris classified hotels (subset of France),250+,4 étoiles,19,9149,not identified by size or classification
Paris classified hotels (subset of France),250+,5 étoiles,2,942,not identified by size or classification
Singapore HLB frame,50-99,not available,88,6454,not identified by size or classification
Singapore HLB frame,1-49,not available,197,5040,not identified by size or classification
Singapore HLB frame,250+,not available,109,50993,not identified by size or classification
Singapore HLB frame,100-249,not available,74,12110,not identified by size or classification
