quarter,metric,scenario,value,lower,upper,units,information_date,evidence_status,source_reference,treatment,baseline_replaced,embedded_fx,limitations
2026Q3,adr_component_like_for_like_pricing_residual,v3_without_K,4.84932637649,2.398,4.84932637649,percentage_points,2026-09-13,"assumed_or_proxy_component: assumed rule, anchored on measured residuals; the one unobserved line",data/processed/adrv3/P/P1_card_v3_terms.csv; H residual history; v3 last_q rule = 2Q26 value; band K4 scenario table: mean reversion (2023-25 mean) to last_q,descriptive,none,none in this component,"Component of named ADR scenario, already included in total. Residual absorbs omitted mix; not measured like-for-like pricing. Q4 mix is carried from Q3."
2026Q3,adr_component_geographic_mix,v3_without_K,-1.42842603377,-1.57091043328,-0.935318192291,percentage_points,2026-09-13,assumed_or_proxy_component: measured (unvalidated mapping),data/processed/adrv3/P/P1_card_v3_terms.csv; workstream I I_mix_terms_3q26.csv (E_aug regional split x 07/H method),descriptive,none,none in this component,"Component of named ADR scenario, already included in total. Residual absorbs omitted mix; not measured like-for-like pricing. Q4 mix is carried from Q3."
2026Q3,adr_component_unit_size_party,v3_without_K,0.79667177875,0.529864896307,0.998470253641,percentage_points,2026-09-13,assumed_or_proxy_component: measured (level term),"data/processed/adrv3/P/P1_card_v3_terms.csv; workstream I I_mix_terms_3q26.csv (booked capacity, 119 markets, x 0.592)",descriptive,none,none in this component,"Component of named ADR scenario, already included in total. Residual absorbs omitted mix; not measured like-for-like pricing. Q4 mix is carried from Q3."
2026Q3,adr_component_length_of_stay_mix,v3_without_K,0.0562640964167,-0.0810737620689,0.288705973548,percentage_points,2026-09-13,"assumed_or_proxy_component: measured, unvalidated",data/processed/adrv3/P/P1_card_v3_terms.csv; workstream I I_mix_terms_3q26.csv (28+ share of blocked runs),descriptive,none,none in this component,"Component of named ADR scenario, already included in total. Residual absorbs omitted mix; not measured like-for-like pricing. Q4 mix is carried from Q3."
2026Q3,adr_component_new_business_seats,v3_without_K,-0.482570151706,-0.75030683191,-0.226242948818,percentage_points,2026-09-13,assumed_or_proxy_component: assumed,"data/processed/adrv3/P/P1_card_v3_terms.csv; H, 15_seats_dilution_quarterly (bull / base / bear), as J3",descriptive,none,none in this component,"Component of named ADR scenario, already included in total. Residual absorbs omitted mix; not measured like-for-like pricing. Q4 mix is carried from Q3."
2026Q3,adr_component_interaction,v3_without_K,-0.1,-0.15,-0.05,percentage_points,2026-09-13,assumed_or_proxy_component: descriptive,"data/processed/adrv3/P/P1_card_v3_terms.csv; H, 07 interaction, as J3",descriptive,none,none in this component,"Component of named ADR scenario, already included in total. Residual absorbs omitted mix; not measured like-for-like pricing. Q4 mix is carried from Q3."
2026Q3,adr_exfx_yoy,v3_without_K__eur_fit,3.69126606617,2.36330244767,5.01922968467,percentage_points,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,FX excluded; add exactly one ADR FX bridge,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q3,adr_reported_yoy,v3_without_K__eur_fit,2.57126606617,1.24330244767,3.89922968467,percentage_points,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,Includes ADR FX -1.12 pp (eur_fit); do not add full FX again,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q3,adr_usd,v3_without_K__eur_fit,175.694321645,173.419652763,177.968990527,USD_per_night,2026-09-13,scenario_assumption_research_only,data/processed/adrv3/P/adr_card_v3.csv,replacement,L4 ADR for same quarter; do not replace revenue or its FX layer,USD base ADR already translated; includes current ADR FX -1.12 pp,"Conditional component scenario; current-quarter mix backtest is retrospective. Bounds are RSS sensitivity ranges, not probabilistic intervals. Original source snapshot 2026-09-11; audited 2026-09-13."
2026Q3,gbv_identity_comparison,v3_without_K__eur_fit__team_baseline,25.7919264174,,,USD_billions,2026-09-13,descriptive_identity_on_unadopted_nights_scenario,data/processed/adrv3/P/adr_card_v3.csv,descriptive,none,Includes reported ADR FX -1.12 pp,Nights=146.8 million; same-quarter GBV identity only. Feed lagged kernel only through L4. Same-quarter take-rate revenue is deliberately omitted.
