quarter,variant,fx,nights_case,metric,rebuilt,frozen,difference,tolerance,passed
3Q26,v3_without_K,eur_fit,team_baseline,exfx,3.69126606617,3.69,0.00126606617238,0.005,True
3Q26,v3_without_K,eur_fit,team_baseline,reported,2.57126606617,2.57,0.00126606617238,0.005,True
3Q26,v3_without_K,eur_fit,team_baseline,adr,175.694321645,175.69,0.00432164474665,0.005,True
3Q26,v3_without_K,eur_fit,team_baseline,gbv,25.7919264174,25.79,0.00192641744881,0.005,True
3Q26,v3_without_K,eur_fit,team_baseline,revenue_comparison,4611.59644344,4612,-0.403556560153,0.5,True
3Q26,v3_without_K,eur_fit,team_baseline,central_lower,1.24330244767,1.24,0.00330244767364,0.005,True
3Q26,v3_without_K,eur_fit,team_baseline,central_upper,3.89922968467,3.9,-0.00077031532888,0.005,True
3Q26,v3_without_K,baskets,team_baseline,exfx,3.69126606617,3.69,0.00126606617238,0.005,True
3Q26,v3_without_K,baskets,team_baseline,reported,3.95126606617,3.95,0.00126606617238,0.005,True
3Q26,v3_without_K,baskets,team_baseline,adr,178.058123645,178.06,-0.00187635525336,0.005,True
3Q26,v3_without_K,baskets,team_baseline,gbv,26.138932551,26.14,-0.00106744895119,0.005,True
3Q26,v3_without_K,baskets,team_baseline,revenue_comparison,4673.64114013,4674,-0.358859872474,0.5,True
3Q26,v3_without_K,baskets,team_baseline,central_lower,2.62330244767,2.62,0.00330244767364,0.005,True
3Q26,v3_without_K,baskets,team_baseline,central_upper,5.27922968467,5.28,-0.00077031532888,0.005,True
3Q26,v3_without_K,midpoint,team_baseline,exfx,3.69126606617,3.69,0.00126606617238,0.005,True
3Q26,v3_without_K,midpoint,team_baseline,reported,3.26126606617,3.26,0.00126606617238,0.005,True
3Q26,v3_without_K,midpoint,team_baseline,adr,176.876222645,176.88,-0.00377735525333,0.005,True
3Q26,v3_without_K,midpoint,team_baseline,gbv,25.9654294842,25.97,-0.00457051575119,0.005,True
3Q26,v3_without_K,midpoint,team_baseline,revenue_comparison,4642.61879178,4643,-0.381208216313,0.5,True
3Q26,v3_without_K,midpoint,team_baseline,central_lower,1.93330244767,1.93,0.00330244767364,0.005,True
3Q26,v3_without_K,midpoint,team_baseline,central_upper,4.58922968467,4.59,-0.00077031532888,0.005,True
3Q26,v3_with_K,eur_fit,team_baseline,exfx,3.86276606617,3.86,0.00276606617238,0.005,True
3Q26,v3_with_K,eur_fit,team_baseline,reported,2.74276606617,2.74,0.00276606617238,0.005,True
3Q26,v3_with_K,eur_fit,team_baseline,adr,175.988083995,175.99,-0.00191600525335,0.005,True
3Q26,v3_with_K,eur_fit,team_baseline,gbv,25.8350507304,25.84,-0.00494926957119,0.005,True
3Q26,v3_with_K,eur_fit,team_baseline,revenue_comparison,4619.3070706,4619,0.307070600671,0.5,True
3Q26,v3_with_K,eur_fit,team_baseline,central_lower,1.33557822439,1.34,-0.00442177560862,0.005,True
3Q26,v3_with_K,eur_fit,team_baseline,central_upper,4.14995390795,4.15,-4.60920466212e-05,0.005,True
3Q26,v3_with_K,baskets,team_baseline,exfx,3.86276606617,3.86,0.00276606617238,0.005,True
3Q26,v3_with_K,baskets,team_baseline,reported,4.12276606617,4.12,0.00276606617238,0.005,True
3Q26,v3_with_K,baskets,team_baseline,adr,178.351885995,178.35,0.00188599474666,0.005,True
3Q26,v3_with_K,baskets,team_baseline,gbv,26.182056864,26.18,0.00205686402881,0.005,True
3Q26,v3_with_K,baskets,team_baseline,revenue_comparison,4681.35176729,4681,0.351767288351,0.5,True
3Q26,v3_with_K,baskets,team_baseline,central_lower,2.71557822439,2.72,-0.00442177560862,0.005,True
3Q26,v3_with_K,baskets,team_baseline,central_upper,5.52995390795,5.53,-4.60920466212e-05,0.005,True
3Q26,v3_with_K,midpoint,team_baseline,exfx,3.86276606617,3.86,0.00276606617238,0.005,True
3Q26,v3_with_K,midpoint,team_baseline,reported,3.43276606617,3.43,0.00276606617238,0.005,True
3Q26,v3_with_K,midpoint,team_baseline,adr,177.169984995,177.17,-1.50052533172e-05,0.005,True
3Q26,v3_with_K,midpoint,team_baseline,gbv,26.0085537972,26.01,-0.00144620277119,0.005,True
3Q26,v3_with_K,midpoint,team_baseline,revenue_comparison,4650.32941894,4650,0.329418944511,0.5,True
3Q26,v3_with_K,midpoint,team_baseline,central_lower,2.02557822439,2.03,-0.00442177560862,0.005,True
3Q26,v3_with_K,midpoint,team_baseline,central_upper,4.83995390795,4.84,-4.60920466203e-05,0.005,True
4Q26,v3_without_K,eur_fit,N_case_B_global_lap_baseline,exfx,3.69126606617,3.69,0.00126606617238,0.005,True
4Q26,v3_without_K,eur_fit,N_case_B_global_lap_baseline,reported,3.03126606617,3.03,0.00126606617238,0.005,True
4Q26,v3_without_K,eur_fit,N_case_B_global_lap_baseline,adr,172.587673787,172.59,-0.00232621255464,0.005,True
4Q26,v3_without_K,eur_fit,N_case_B_global_lap_baseline,gbv,22.7470554052,22.75,-0.0029445948147,0.005,True
4Q26,v3_without_K,eur_fit,N_case_B_global_lap_baseline,revenue_comparison,3098.14894619,3098,0.148946186238,0.5,True
4Q26,v3_without_K,eur_fit,N_case_B_global_lap_baseline,central_lower,1.83281159435,1.83,0.00281159434557,0.005,True
4Q26,v3_without_K,eur_fit,N_case_B_global_lap_baseline,central_upper,4.229720538,4.23,-0.000279462000814,0.005,True
4Q26,v3_without_K,eur_fit,N_case_A_team_baseline_top_of_band,exfx,3.69126606617,3.69,0.00126606617238,0.005,True
4Q26,v3_without_K,eur_fit,N_case_A_team_baseline_top_of_band,reported,3.03126606617,3.03,0.00126606617238,0.005,True
4Q26,v3_without_K,eur_fit,N_case_A_team_baseline_top_of_band,adr,172.587673787,172.59,-0.00232621255464,0.005,True
4Q26,v3_without_K,eur_fit,N_case_A_team_baseline_top_of_band,gbv,22.9023843116,22.9,0.002384311594,0.005,True
4Q26,v3_without_K,eur_fit,N_case_A_team_baseline_top_of_band,revenue_comparison,3119.30474324,3119,0.304743239103,0.5,True
4Q26,v3_without_K,eur_fit,N_case_A_team_baseline_top_of_band,central_lower,1.83281159435,1.83,0.00281159434557,0.005,True
4Q26,v3_without_K,eur_fit,N_case_A_team_baseline_top_of_band,central_upper,4.229720538,4.23,-0.000279462000814,0.005,True
4Q26,v3_without_K,baskets,N_case_B_global_lap_baseline,exfx,3.69126606617,3.69,0.00126606617238,0.005,True
4Q26,v3_without_K,baskets,N_case_B_global_lap_baseline,reported,4.66126606617,4.66,0.00126606617238,0.005,True
4Q26,v3_without_K,baskets,N_case_B_global_lap_baseline,adr,175.318086787,175.32,-0.00191321255463,0.005,True
4Q26,v3_without_K,baskets,N_case_B_global_lap_baseline,gbv,23.1069238386,23.11,-0.0030761614147,0.005,True
4Q26,v3_without_K,baskets,N_case_B_global_lap_baseline,revenue_comparison,3147.16302682,3147,0.163026815318,0.5,True
4Q26,v3_without_K,baskets,N_case_B_global_lap_baseline,central_lower,3.46281159435,3.46,0.00281159434557,0.005,True
4Q26,v3_without_K,baskets,N_case_B_global_lap_baseline,central_upper,5.859720538,5.86,-0.000279462000814,0.005,True
4Q26,v3_without_K,baskets,N_case_A_team_baseline_top_of_band,exfx,3.69126606617,3.69,0.00126606617238,0.005,True
4Q26,v3_without_K,baskets,N_case_A_team_baseline_top_of_band,reported,4.66126606617,4.66,0.00126606617238,0.005,True
4Q26,v3_without_K,baskets,N_case_A_team_baseline_top_of_band,adr,175.318086787,175.32,-0.00191321255463,0.005,True
