model,window,n_S1,rmse_pp_S1,ratio_vs_naive_S1,ratio_vs_prior_year_S1,ratio_vs_ar1_S1,jackknife_ratio_min_S1,jackknife_ratio_max_S1,n_J3,rmse_pp_J3,ratio_vs_naive_J3,ratio_vs_prior_year_J3,ratio_vs_ar1_J3,jackknife_ratio_min_J3,jackknife_ratio_max_J3,diff_rmse_pp,diff_ratio_vs_naive,diff_ratio_vs_prior_year,diff_ratio_vs_ar1,diff_jackknife_ratio_min,diff_jackknife_ratio_max,max_abs_diff
naive_last_q,1Q24-2Q26,10,0.908295106229,1,0.520088264892,0.793694204608,1,1,10,0.908295106229,1,0.520088264892,0.793694204608,1,1,1.11022302463e-16,0,0,4.4408920985e-16,0,0,4.4408920985e-16
naive_last_q,2Q24-2Q26,9,0.816496580928,1,0.450987616802,0.771530267474,1,1,9,0.816496580928,1,0.450987616802,0.771530267474,1,1,0,0,5.55111512313e-17,3.33066907388e-16,0,0,3.33066907388e-16
prior_year_q,1Q24-2Q26,10,1.74642491966,1.92275055506,1,1.52607597245,1.61432976992,2.21735578261,10,1.74642491966,1.92275055506,1,1.52607597245,1.61432976992,2.21735578261,0,0,0,8.881784197e-16,0,0,8.881784197e-16
prior_year_q,2Q24-2Q26,9,1.8104634152,2.21735578261,1,1.71075710004,1.84842275107,2.4289915603,9,1.8104634152,2.21735578261,1,1.71075710004,1.84842275107,2.4289915603,2.22044604925e-16,0,0,6.66133814775e-16,2.22044604925e-16,4.4408920985e-16,6.66133814775e-16
ar1_expanding,1Q24-2Q26,10,1.14438923827,1.25993108453,0.655275371639,1,1.1507137911,1.34396473303,10,1.14438923827,1.25993108453,0.655275371639,1,1.1507137911,1.34396473303,6.66133814775e-16,8.881784197e-16,4.4408920985e-16,0,0,6.66133814775e-16,8.881784197e-16
ar1_expanding,2Q24-2Q26,9,1.05828198238,1.2961254304,0.584536518934,1,1.14746770428,1.41976253138,9,1.05828198238,1.2961254304,0.584536518934,1,1.14746770428,1.41976253138,4.4408920985e-16,6.66133814775e-16,2.22044604925e-16,0,4.4408920985e-16,6.66133814775e-16,6.66133814775e-16
v2_measured_last_q,1Q24-2Q26,10,0.807435218849,0.888956918639,0.462336061379,0.70555995447,0.83538528688,0.93749571376,10,0.807435218849,0.888956918639,0.462336061379,0.70555995447,0.83538528688,0.93749571376,0,0,5.55111512313e-17,4.4408920985e-16,0,1.11022302463e-16,4.4408920985e-16
v2_measured_last_q,2Q24-2Q26,9,0.719343028409,0.881011684815,0.397325360109,0.679727180833,0.799639968166,0.949693134952,9,0.719343028409,0.881011684815,0.397325360109,0.679727180833,0.799639968166,0.949693134952,0,0,5.55111512313e-17,3.33066907388e-16,0,1.11022302463e-16,3.33066907388e-16
v2_measured_persistence,1Q24-2Q26,10,0.902957074166,0.994123020121,0.517031716624,0.789029679737,0.870083560312,1.05159558808,10,0.902957074166,0.994123020121,0.517031716624,0.789029679737,0.870083560312,1.05159558808,1.11022302463e-16,1.11022302463e-16,0,4.4408920985e-16,0,0,4.4408920985e-16
v2_measured_persistence,2Q24-2Q26,9,0.850962737355,1.04221224832,0.470024818072,0.804098294712,0.877781591217,1.12972206597,9,0.850962737355,1.04221224832,0.470024818072,0.804098294712,0.877781591217,1.12972206597,0,2.22044604925e-16,0,3.33066907388e-16,0,0,3.33066907388e-16
