horizon_quarters,window,candidate,reference,n,n_year_clusters,candidate_rmse_musd,reference_rmse_musd,rmse_ratio,ratio_p05,ratio_p95,n_bootstrap
2,W1,joint,guide_growth,11,4,64.28731767190047,59.062532976620474,1.088461913703366,0.7443978304492169,1.519047543871683,2000
2,W1,joint,revenue_growth,11,4,64.28731767190047,118.69124062413414,0.5416348951603139,0.35696571050693976,0.7758574870316572,2000
2,W2,joint,guide_growth,10,3,63.83111546800376,61.305022225608276,1.0412053230010947,0.71396340176406,1.3053930162986438,2000
2,W2,joint,revenue_growth,10,3,63.83111546800376,124.24943389264482,0.5137336522849331,0.34403265851974,0.6616237624899564,2000
2,W1,fixed,guide_growth,14,4,84.57568193695109,75.03912526245227,1.1270877910842423,0.9121765897841179,1.467029444861748,2000
2,W1,fixed,revenue_growth,14,4,84.57568193695109,113.11501683759404,0.7476963209790387,0.5075556061588442,1.0392760070990628,2000
2,W2,fixed,guide_growth,10,3,77.01234700842336,61.305022225608276,1.2562159544614573,0.9141366258250652,1.5927130187590104,2000
2,W2,fixed,revenue_growth,10,3,77.01234700842336,124.24943389264482,0.6198205061840709,0.4531293047866143,0.7812171248838472,2000
3,W1,joint,guide_growth,10,3,94.60757388763395,98.94641179386434,0.9561496184897588,0.827298818274838,1.2999369650257893,2000
3,W1,joint,revenue_growth,10,3,94.60757388763395,124.32976416150036,0.760940668758462,0.6539448119808633,0.8707179330581473,2000
3,W2,joint,guide_growth,10,3,94.60757388763395,98.94641179386434,0.9561496184897588,0.827298818274838,1.2999369650257893,2000
3,W2,joint,revenue_growth,10,3,94.60757388763395,124.32976416150036,0.760940668758462,0.6539448119808633,0.8707179330581473,2000
3,W1,fixed,guide_growth,13,4,137.15259379344033,121.28158760866683,1.1308608049886655,0.841218735850072,1.4769966453645342,2000
3,W1,fixed,revenue_growth,13,4,137.15259379344033,129.8708565097885,1.05606906337068,0.7238122683170427,1.3796270746340793,2000
3,W2,fixed,guide_growth,10,3,99.31987530441542,98.94641179386434,1.0037744017572778,0.7506839095711468,1.7200885902174599,2000
3,W2,fixed,revenue_growth,10,3,99.31987530441542,124.32976416150036,0.7988423043689048,0.6636926424602447,0.9987151105514712,2000
4,W1,joint,guide_growth,9,3,131.44142172152175,132.45920533628393,0.9923162485221148,0.6521837116747286,1.2152649836805856,2000
4,W1,joint,revenue_growth,9,3,131.44142172152175,149.8363250468446,0.8772333523291372,0.5313993893939771,1.049864274513721,2000
4,W2,joint,guide_growth,9,3,131.44142172152175,132.45920533628393,0.9923162485221148,0.6521837116747286,1.2152649836805856,2000
4,W2,joint,revenue_growth,9,3,131.44142172152175,149.8363250468446,0.8772333523291372,0.5313993893939771,1.049864274513721,2000
4,W1,fixed,guide_growth,12,4,159.0987164976467,144.56707468959598,1.1005183361374091,0.8510682299792918,1.293422937320311,2000
4,W1,fixed,revenue_growth,12,4,159.0987164976467,153.30351673653124,1.0378021319046136,0.6927480428822576,1.3745601940402605,2000
4,W2,fixed,guide_growth,10,3,114.36454491791977,125.6986178627992,0.9098313638002716,0.8234512893423882,0.9796424925398634,2000
4,W2,fixed,revenue_growth,10,3,114.36454491791977,143.93110709289292,0.7945783731386787,0.6401285796008382,0.8855173029225948,2000
