horizon_quarters,window,candidate,reference,deleted_unit,deleted_value,n,guide_rmse_ratio
2,W1,joint,guide_growth,year,2023,10,1.0412053230010947
2,W1,joint,guide_growth,year,2024,7,1.2765444688793992
2,W1,joint,guide_growth,year,2025,7,0.8937224416690017
2,W1,joint,guide_growth,year,2026,9,1.1422985310984382
2,W1,joint,guide_growth,quarter,2023Q4,10,1.0412053230010947
2,W1,joint,guide_growth,quarter,2024Q1,10,1.104598538021104
2,W1,joint,guide_growth,quarter,2024Q2,10,1.0980665695908591
2,W1,joint,guide_growth,quarter,2024Q3,10,1.1993665524897388
2,W1,joint,guide_growth,quarter,2024Q4,10,1.1095732475032822
2,W1,joint,guide_growth,quarter,2025Q1,10,1.1295432801246414
2,W1,joint,guide_growth,quarter,2025Q2,10,1.09737133582774
2,W1,joint,guide_growth,quarter,2025Q3,10,0.8373173826151724
2,W1,joint,guide_growth,quarter,2025Q4,10,1.111922461076202
2,W1,joint,guide_growth,quarter,2026Q1,10,1.245508092262525
2,W1,joint,guide_growth,quarter,2026Q2,10,0.9840523378750003
2,W1,joint,revenue_growth,year,2023,10,0.5137336522849331
2,W1,joint,revenue_growth,year,2024,7,0.6555788337558366
2,W1,joint,revenue_growth,year,2025,7,0.44212714101332856
2,W1,joint,revenue_growth,year,2026,9,0.5606691088974718
2,W1,joint,revenue_growth,quarter,2023Q4,10,0.5137336522849331
2,W1,joint,revenue_growth,quarter,2024Q1,10,0.5418214538897327
2,W1,joint,revenue_growth,quarter,2024Q2,10,0.5544216768474888
2,W1,joint,revenue_growth,quarter,2024Q3,10,0.6290214958434879
2,W1,joint,revenue_growth,quarter,2024Q4,10,0.5413159608929207
2,W1,joint,revenue_growth,quarter,2025Q1,10,0.5450656861299206
2,W1,joint,revenue_growth,quarter,2025Q2,10,0.5317468356697095
2,W1,joint,revenue_growth,quarter,2025Q3,10,0.4509336110770153
2,W1,joint,revenue_growth,quarter,2025Q4,10,0.5450860374292809
2,W1,joint,revenue_growth,quarter,2026Q1,10,0.5818302678491882
2,W1,joint,revenue_growth,quarter,2026Q2,10,0.5135040324689332
2,W2,joint,guide_growth,year,2024,6,1.2231132493554329
2,W2,joint,guide_growth,year,2025,6,0.8050287395666388
