sample,spec,n,n_params,insample_rel_rmse_pct,loo_rel_rmse_pct,loo_mae_pct,loo_bias_pct,loo_n,loo_ratio_vs_fixed_kernel,loo_ratio_vs_lambda_only
full_2021Q3+,pooled,20,8,1.2052633034013454,2.89211910068829,1.8934327757884735,-0.43401216951594324,20,1.2391972173355346,1.0664836813954448
full_2021Q3+,season,20,20,0.8452406399111301,4.785711330509232,3.2252482990232467,-1.1073117824760188,20,2.05055184702691,1.7647554821109248
full_2021Q3+,summer,20,12,0.9013487882045991,3.2585948186946014,2.140845668584171,-0.6070786556147778,20,1.3962224552886966,1.2016234731102446
full_2021Q3+,fixed_kernel_2/3-1/3,20,4,1.867092056198634,2.3338650702482955,1.8189092871821324,0.043772396906333076,20,1.0,0.8606246580254185
full_2021Q3+,seasonal_lambda_only_phi1=1,20,4,2.169461493797323,2.711826867246656,2.2580694652491333,0.05920347404558379,20,1.1619467216920771,1.0
ex_covid_nightsyoy_25,pooled,16,8,0.8763018677794671,1.6064460812474692,1.4218003412393605,0.15346438467137502,16,0.9173364539771719,0.7254616371181646
ex_covid_nightsyoy_25,season,16,20,0.6745143671295695,2.1029638250528557,1.8658301820997223,0.39872508819219005,16,1.2008653142085004,0.9496861408124061
ex_covid_nightsyoy_25,summer,16,12,0.8446956721435244,1.808513218584328,1.6236584724819585,0.3480752354953161,16,1.0327238008627704,0.8167139723016424
ex_covid_nightsyoy_25,fixed_kernel_2/3-1/3,16,4,1.3265001491638384,1.7512070672462843,1.3417167579676272,0.023110304334454657,16,1.0,0.790834850149995
ex_covid_nightsyoy_25,seasonal_lambda_only_phi1=1,16,4,1.6836096855535836,2.2143777135189966,1.7148222497610313,0.03741585313143045,16,1.2644865104393583,1.0
post2023_2023Q1+,pooled,14,8,0.7474112208742115,1.3143524025635092,1.1125952465396691,0.10219899526528464,14,0.7184527836648197,0.542019449758451
post2023_2023Q1+,season,14,20,0.6811605855918123,2.1827104051320494,1.8694118138089728,0.11322103103646373,14,1.1931156084492442,0.9001174193954831
post2023_2023Q1+,summer,14,12,0.7460877134104517,1.6694943602441952,1.3925384946061174,0.3415902408237549,14,0.9125808786827261,0.6884747292655184
post2023_2023Q1+,fixed_kernel_2/3-1/3,14,4,1.3568911601205613,1.8294207113500376,1.3887450971194897,0.024718743227414297,14,1.0,0.7544259860663574
post2023_2023Q1+,seasonal_lambda_only_phi1=1,14,4,1.797187883165111,2.424917414216862,1.990906249782132,0.04371237109096323,14,1.325511075266756,1.0
