gbv_3q26_musd,gbv_3q26_yoy_pct,carried_musd,k,raw_point_musd,bias_corrected_point_musd,q10,q25,q50,q75,q90
25500,11.353711790393017,1922.3419456431718,0.6244942240184911,3122.833387285801,3117.4256227965716,3044.0064450622117,3078.3495120774523,3117.4256227965716,3157.5065410649227,3194.473965523642
25600,11.79039301310043,1927.2584212074764,0.6245086209933066,3130.847920133495,3125.4262769960133,3051.8186740917427,3086.2498801795978,3125.4262769960133,3165.6100601297576,3202.672358890393
25700,12.227074235807866,1932.1748967717813,0.6245230179681222,3138.862594545939,3133.4270725150595,3059.631041112629,3094.150387829943,3133.4270725150595,3173.713722331151,3210.870897069515
25800,12.66375545851528,1937.0913723360861,0.6245374149429376,3146.8774105231323,3141.42800935371,3067.4435461248704,3102.051035028489,3141.42800935371,3181.817527669102,3219.0695800610088
25900,13.100436681222716,1942.0078479003907,0.6245518119177531,3154.892368065076,3149.429087511965,3075.2561891284668,3109.9518217752347,3149.429087511965,3189.921476143613,3227.2684078648736
26000,13.53711790393013,1946.9243234646956,0.6245662088925686,3162.90746717177,3157.4303069898247,3083.068970123419,3117.8527480701814,3157.4303069898247,3198.025567754682,3235.46738048111
26100,13.973799126637566,1951.8407990290004,0.6245806058673841,3170.9227078432127,3165.4316677872876,3090.8818891097253,3125.7538139133276,3165.4316677872876,3206.129802502309,3243.666497909717
26200,14.41048034934498,1956.757274593305,0.6245950028421996,3178.9380900794054,3173.4331699043546,3098.694946087387,3133.6550193046733,3173.4331699043546,3214.234180386494,3251.8657601506948
26300,14.847161572052393,1961.67375015761,0.6246093998170151,3186.953613880348,3181.4348133410263,3106.5081410564035,3141.5563642442194,3181.4348133410263,3222.3387014072373,3260.065167204044
26400,15.283842794759828,1966.590225721915,0.6246237967918306,3194.9692792460405,3189.436598097302,3114.3214740167755,3149.4578487319664,3189.436598097302,3230.4433655645394,3268.2647190697653
26500,15.720524017467241,1971.5067012862194,0.6246381937666461,3202.985086176482,3197.4385241731816,3122.1349449685017,3157.3594727679124,3197.4385241731816,3238.5481728583995,3276.4644157478565
26600,16.157205240174676,1976.4231768505244,0.6246525907414616,3211.001034671675,3205.4405915686666,3129.9485539115844,3165.2612363520598,3205.4405915686666,3246.653123288819,3284.6642572383203
26700,16.59388646288209,1981.3396524148293,0.6246669877162772,3219.017124731616,3213.4428002837544,3137.762300846021,3173.1631394844057,3213.4428002837544,3254.7582168557956,3292.864243541154
26800,17.030567685589524,1986.256127979134,0.6246813846910926,3227.033356356307,3221.4451503184464,3145.5761857718126,3181.065182164952,3221.4451503184464,3262.8634535593305,3301.0643746563587
26900,17.467248908296938,1991.1726035434388,0.6246957816659081,3235.0497295457485,3229.4476416727434,3153.39020868896,3188.967364393699,3229.4476416727434,3270.9688333994245,3309.2646505839352
27000,17.903930131004376,1996.0890791077436,0.6247101786407236,3243.0662442999396,3237.450274346644,3161.2043695974617,3196.869686170646,3237.450274346644,3279.0743563760766,3317.465071323883
27100,18.34061135371179,2001.0055546720482,0.6247245756155391,3251.08290061888,3245.453048340149,3169.0186684973187,3204.772147495793,3245.453048340149,3287.180022489287,3325.6656368762015
27200,18.777292576419224,2005.922030236353,0.6247389725903546,3259.099698502571,3253.4559636532586,3176.833105388531,3212.67474836914,3253.4559636532586,3295.285831739056,3333.8663472408916
27300,19.213973799126638,2010.838505800658,0.6247533695651701,3267.116637951011,3261.4590202859717,3184.6476802710977,3220.5774887906873,3261.4590202859717,3303.3917841253833,3342.0672024179526
27400,19.65065502183405,2015.7549813649625,0.6247677665399856,3275.1337189642004,3269.4622182382886,3192.4623931450196,3228.480368760434,3269.4622182382886,3311.497879648268,3350.268202407384
27500,20.087336244541486,2020.6714569292674,0.6247821635148011,3283.15094154214,3277.46555751021,3200.2772440102967,3236.383388278381,3277.46555751021,3319.604118307712,3358.469347209187
27600,20.5240174672489,2025.5879324935722,0.6247965604896166,3291.16830568483,3285.4690381017363,3208.0922328669294,3244.286547344529,3285.4690381017363,3327.7105001037144,3366.670636823362
27700,20.960698689956338,2030.5044080578768,0.624810957464432,3299.1858113922685,3293.4726600128656,3215.907359714916,3252.1898459588756,3293.4726600128656,3335.817025036274,3374.872071249907
27800,21.39737991266375,2035.4208836221817,0.6248253544392476,3307.203458664458,3301.4764232436005,3223.7226245542583,3260.093284121424,3301.4764232436005,3343.923693105394,3383.0736504888246
27900,21.834061135371186,2040.3373591864868,0.6248397514140631,3315.221247501397,3309.4803277939386,3231.538027384956,3267.996861832172,3309.4803277939386,3352.030504311071,3391.275374540113
28000,22.2707423580786,2045.2538347507914,0.6248541483888786,3323.2391779030854,3317.484373663881,3239.3535682070083,3275.900579091119,3317.484373663881,3360.1374586533066,3399.4772434037714
