regressor,label,point_in_time,n,corr,slope,t,r2,carried_def
x_gbv_yoy_l1,prior-quarter GBV y/y (PIT),True,18,0.7125476158731329,0.0013397465166367795,4.062277593571518,0.5077241048864858,estimated split w=0.205
x_gbv_accel_l1,prior-quarter GBV y/y acceleration (PIT),True,18,0.3278438579826825,0.0008366522756769417,1.3880926442146777,0.10748159521696932,estimated split w=0.205
x_paid_backlog_yoy_l1,paid-backlog y/y at q-1 (PIT),True,18,0.770302369715115,0.0016744696384495467,4.831914517816019,0.5933657407887221,estimated split w=0.205
x_fp_yoy_l1,funds payable y/y at q-1 (PIT),True,18,0.7741553632310109,0.0018789507044773902,4.89201075497193,0.5993165264193383,estimated split w=0.205
x_uf_yoy_l1,unearned fees y/y at q-1 (PIT),True,18,0.7318985279572892,0.0009931958734947074,4.296353862907984,0.5356754552260465,estimated split w=0.205
x_nights_yoy_l1,nights y/y at q-1 (PIT),True,18,0.652088606751234,0.001689077303067295,3.4404528469155364,0.42521955105476583,estimated split w=0.205
x_summer,summer (Q3) dummy — absorbed by season means,True,18,8.566292067897326e-17,8.126194125948511e-18,3.408380993703073e-16,-2.220446049250313e-16,estimated split w=0.205
phi0_inquarter_share,phi_0 in-quarter share (NOT PIT),False,18,0.12581261462008558,0.11298611146067572,0.5072813036806847,0.015828813997542213,estimated split w=0.205
x_gbv_yoy_l1,prior-quarter GBV y/y (PIT),True,18,0.35855415748645825,0.0004816623030863267,1.5363716285833557,0.12856108385082388,published split w=2/3
x_gbv_accel_l1,prior-quarter GBV y/y acceleration (PIT),True,18,0.2990505229637012,0.0005452575166412882,1.2535688115796895,0.0894312152848632,published split w=2/3
x_paid_backlog_yoy_l1,paid-backlog y/y at q-1 (PIT),True,18,0.4897013736083742,0.000760547802320938,2.246619399970978,0.23980743531392867,published split w=2/3
x_fp_yoy_l1,funds payable y/y at q-1 (PIT),True,18,0.5131901473465024,0.0008899071975316433,2.391728446991562,0.26336412733352466,published split w=2/3
x_uf_yoy_l1,unearned fees y/y at q-1 (PIT),True,18,0.4158849220308841,0.00040321470127586235,1.8292370098661772,0.17296026837263467,published split w=2/3
x_nights_yoy_l1,nights y/y at q-1 (PIT),True,18,0.2968502632068999,0.0005493631217805793,1.2434507915801931,0.0881200787660058,published split w=2/3
x_summer,summer (Q3) dummy — absorbed by season means,True,18,-1.5968475256465679e-16,-1.1692822026030653e-17,-6.864377059310304e-16,0.0,published split w=2/3
phi0_inquarter_share,phi_0 in-quarter share (NOT PIT),False,18,0.05381980801555128,0.03453203469984908,0.21559169690325428,0.0028965717348307107,published split w=2/3
