sample,spec,phi_group,k,point,boot_median,ci_lo,ci_hi,n_boot
full_2021Q3+,pooled,all,0,0.36331262826792393,0.3893989372625899,0.057466166876346834,0.5856172413276586,400
full_2021Q3+,pooled,all,1,0.5020622073917425,0.26275117470817444,5.442558818889338e-09,0.5824885384086411,400
full_2021Q3+,pooled,all,2,0.13462516166624805,0.3177254731025968,0.032892586675709275,0.5684366125932129,400
full_2021Q3+,pooled,all,3,8.808493874172861e-10,1.384385311733378e-08,4.435579908903633e-11,0.13423790419191925,400
full_2021Q3+,pooled,all,4,1.7932363239074058e-09,7.199911918935931e-09,6.587482818915574e-13,0.17604417426906074,400
full_2021Q3+,summer,Q3,0,0.05525311026737569,0.007662062801051223,2.5213647327358226e-08,0.9719183511212599,400
full_2021Q3+,summer,Q3,1,0.7609006297691164,0.2375136147591017,4.8821208940598573e-08,0.9352027943188026,400
full_2021Q3+,summer,Q3,2,0.029142341309239362,0.2665772283200958,7.880357358613518e-10,0.8649397989403919,400
full_2021Q3+,summer,Q3,3,2.946753469865391e-09,3.0478718172509166e-08,3.490004793685226e-11,0.02445251122678099,400
full_2021Q3+,summer,Q3,4,0.15470391570751493,0.004776095202699523,1.2661884678417983e-10,0.19448043941539359,400
ex_covid_nightsyoy_25,pooled,all,0,0.365051665133579,0.41133989970903106,2.0619674409182128e-07,0.7146286451900216,400
ex_covid_nightsyoy_25,pooled,all,1,0.11943296990143165,0.051161821318795625,2.554777154739853e-10,0.7237911434243561,400
ex_covid_nightsyoy_25,pooled,all,2,0.4643690616053246,0.42592691482674755,1.8411264460325147e-08,0.6404043621831967,400
ex_covid_nightsyoy_25,pooled,all,3,0.002162527289039848,5.605517870186982e-09,7.027822628492245e-12,0.14776917849280924,400
ex_covid_nightsyoy_25,pooled,all,4,0.048983776070625054,1.579263467605745e-07,1.7660572332345643e-10,0.2630107001669761,400
ex_covid_nightsyoy_25,summer,Q3,0,0.38478105939772705,0.0009466901919973554,8.842743653663314e-08,0.4288276661201815,400
ex_covid_nightsyoy_25,summer,Q3,1,2.588541973530638e-07,0.15672961896140142,4.4958308090294913e-08,0.9999998480809168,400
ex_covid_nightsyoy_25,summer,Q3,2,0.61521864130229,0.5711722136535705,1.0999249650502936e-08,0.841024080892369,400
ex_covid_nightsyoy_25,summer,Q3,3,2.709638464131746e-08,3.552370579166548e-08,1.5288387169573559e-09,0.0009970095139441887,400
ex_covid_nightsyoy_25,summer,Q3,4,1.3349400959665264e-08,2.0723380873007426e-08,1.0594112068669961e-09,0.0009970090559448235,400
post2023_2023Q1+,pooled,all,0,0.3899036794454623,0.42351986786762597,3.8497672468039443e-07,0.8652884186907865,400
post2023_2023Q1+,pooled,all,1,0.041238623861564586,4.4080763979899816e-08,2.8791269135958645e-10,0.6523519663253897,400
post2023_2023Q1+,pooled,all,2,0.5688576776522882,0.5329991741422118,1.7309994457488145e-08,0.709831497870044,400
post2023_2023Q1+,pooled,all,3,7.836054645875083e-09,5.483465993074738e-09,1.6554558163296151e-10,0.06283837670168667,400
post2023_2023Q1+,pooled,all,4,1.1204630150391929e-08,6.664342096176142e-09,1.1340423307857741e-10,0.19935214852743155,400
post2023_2023Q1+,summer,Q3,0,0.3847807091718698,0.0009466884135028164,7.917444871577429e-08,0.42882772967478433,400
post2023_2023Q1+,summer,Q3,1,1.3973889244192995e-07,0.15672963894829373,6.337810371312232e-08,0.9999997939784455,400
post2023_2023Q1+,summer,Q3,2,0.6152191420657768,0.5711720858910321,1.8572266477953373e-08,0.8410091919178311,400
post2023_2023Q1+,summer,Q3,3,5.545384169055638e-09,9.609661650721552e-08,2.1659955705869207e-09,0.0009970090878365448,400
post2023_2023Q1+,summer,Q3,4,3.4780768323915737e-09,4.016643202646979e-08,1.2253640882321916e-09,0.0009970090547067173,400
