target,q,season,train_window,feature,n_train,k_pred,k_act,pred_musd,actual_musd,err_pct
3Q23,2023Q3,Q3,ex_covid,x_gbv_yoy_l1,8,0.6889108523368156,0.7038459890363647,3367.2234476033473,3397.0,-0.8765543831808276
4Q23,2023Q4,Q4,ex_covid,x_gbv_yoy_l1,9,0.6255505783366875,0.6198785599775996,2225.766345596074,2218.0,0.3501508384163188
1Q24,2024Q1,Q1,ex_covid,x_gbv_yoy_l1,10,1.0666708465745254,1.092490407432134,2115.569532667599,2142.0,-1.2339153749953757
2Q24,2024Q2,Q2,ex_covid,x_gbv_yoy_l1,11,0.57175264418731,0.5468384411194861,2792.260750321689,2748.0,1.6106532140352625
3Q24,2024Q3,Q3,ex_covid,x_gbv_yoy_l1,12,0.6979410686630019,0.679812695471347,3772.27537649504,3732.0,1.0791901526002068
4Q24,2024Q4,Q4,ex_covid,x_gbv_yoy_l1,9,0.6083558599694112,0.6430826900505026,2427.584781263529,2480.0,-2.113516884535127
1Q25,2025Q1,Q1,ex_covid,x_gbv_yoy_l1,10,1.0723344828877674,0.9786734401803788,2379.5457347887523,2272.0,4.7335270593640955
2Q25,2025Q2,Q2,ex_covid,x_gbv_yoy_l1,11,0.5674896389749411,0.6040408540646183,3025.451571242161,3096.0,-2.2786960193100336
3Q25,2025Q3,Q3,ex_covid,x_gbv_yoy_l1,12,0.6914433630985167,0.6833726609908342,4114.632922582637,4095.0,0.4794364489044467
4Q25,2025Q4,Q4,ex_covid,x_gbv_yoy_l1,13,0.6225115400020862,0.6307039285467706,2764.0437845406955,2778.0,-0.5023835658496956
1Q26,2026Q1,Q1,ex_covid,x_gbv_yoy_l1,14,1.0420673589452407,1.0247064616131463,2700.962579483402,2678.0,0.8574525572592195
2Q26,2026Q2,Q2,ex_covid,x_gbv_yoy_l1,15,0.5795231662271435,0.5798978710763953,3607.144289563996,3608.0,-0.023717029822722946
