window,feature,n,rmse_pct,mae_pct,bias_pct,ratio_vs_naive
W1,naive_yoy_persistence,14,3.25787984934403,2.8681862621010774,0.27798488390663534,1.0
W1,x_gbv_yoy_l1,13,5.1216807672244995,3.8304416422880463,3.016822396309545,1.5720901334822839
W1,x_nights_yoy_l1,13,7.846883759161425,5.89082159099137,4.640814845126053,2.408585989057081
W1,x_fp_yoy_l1,12,4.019037120999985,3.5447213861749174,-1.8444376812727377,1.2336357713772694
W1,x_paid_backlog_yoy_l1,12,3.625615687154142,3.2409394716463455,-2.0821899641432875,1.1128758133557795
W1,x_uf_yoy_l1,12,4.051305569884646,3.1578146253615635,-1.87097322514461,1.2435405101573562
W1,x_uf_yoy_corr_k0.5,12,3.236250065859252,2.644613028638324,-1.3577716284213708,0.9933607792536814
W1,x_uf_yoy_corr_k1.0,12,2.6545623635604096,2.117116816721236,-0.8302754165042826,0.8148128495576356
W2,naive_yoy_persistence,10,3.075073216566541,2.746533508754573,-0.03450251907829989,1.0
W2,x_gbv_yoy_l1,10,3.828202315417626,3.021312204945422,1.9636071851733718,1.2449142006745413
W2,x_nights_yoy_l1,10,5.123550359956996,4.110355726405933,2.4853469567810196,1.6661555674039112
W2,x_fp_yoy_l1,10,4.163320949595087,3.710265257143136,-2.7567256237940505,1.353893275505038
W2,x_paid_backlog_yoy_l1,10,3.853967648938771,3.5386205554572037,-2.7463234042293605,1.2532929714245638
W2,x_uf_yoy_l1,10,4.2882695900413585,3.421354593483715,-1.890419614756017,1.3945260122389562
W2,x_uf_yoy_corr_k0.5,10,3.355821997470703,2.805512677415828,-1.2745776986881299,1.0912982427187965
W2,x_uf_yoy_corr_k1.0,10,2.6738746235785174,2.1725172231153222,-0.641582244387624,0.8695320193266878
