window,end_quarter,start_quarter,n,phi_0,phi_1,phi_2,phi_3,phi_4,phi_1_plus_2,mean_lag_q,c_Q3,c_Q4,insample_rel_rmse_pct
expanding,2Q24,3Q21,12,0.5303180223273959,0.3699215310086061,0.03392409968895341,5.543121090104411e-09,0.06583634143192346,0.4038456306975595,0.70111511274357,18.2967220238167,13.46451721572417,1.0658056428438403
rolling_12,2Q24,3Q21,12,0.5303180223273959,0.3699215310086061,0.03392409968895341,5.543121090104411e-09,0.06583634143192346,0.4038456306975595,0.70111511274357,18.2967220238167,13.46451721572417,1.0658056428438403
expanding,3Q24,3Q21,13,0.5180448682099168,0.38560268183151525,0.035410019342059354,6.200554070855178e-09,0.060942424415954544,0.4210127011735746,0.7001924367811143,18.23631579131367,13.417697526981959,1.0277849331726752
rolling_12,3Q24,4Q21,12,0.3380810086604267,0.3159581131159695,0.345960856375624,7.199899135563249e-10,2.1127989789430285e-08,0.6619189694915935,1.0078799125391464,17.473347229093523,12.496269986668281,0.8303599020568514
expanding,4Q24,3Q21,14,0.4976363203994679,0.4020015866105659,0.047698920298557095,1.9748338811668036e-11,0.05266317267166083,0.449700506909123,0.7080521179535684,18.17153962036486,13.317350936674687,0.994076543848283
rolling_12,4Q24,1Q22,12,0.3704563403105203,0.4560982045104976,0.08134165716098382,2.4898147933759793e-08,0.09210377311985034,0.5374398616714814,0.9871966860063104,18.10857021404517,13.126610470910826,0.7951513360319338
expanding,1Q25,3Q21,15,0.5513767303530699,0.35971875784022594,0.028994248449541654,2.6927283094518567e-10,0.05991026308788968,0.38871300628976757,0.6573483078986865,18.27552933806316,13.462488944250808,0.9739226641082295
rolling_12,1Q25,2Q22,12,0.46182968481817843,0.2833527172828709,0.11769798526483552,6.0619383680656e-08,0.13711955201473158,0.4010507025477065,1.0672270777296196,18.35336207772502,13.441247256096805,0.8550422738028843
expanding,2Q25,3Q21,16,0.547144027984587,0.34774413286860756,0.04478067873722359,2.517314348253202e-09,0.060331157892267555,0.39252481160583114,0.6786301294640681,18.27766943734273,13.43924841041452,1.1429026880234712
rolling_12,2Q25,3Q22,12,0.5483281336737065,0.125254203089854,0.2470468177278412,3.932690699760207e-09,0.07937084157590768,0.3723010208176952,0.9368312166472392,18.092164517819562,13.280100300485408,0.8858633505569344
expanding,3Q25,3Q21,17,0.43003276253352163,0.45850386033492463,0.08889826272217125,3.255860782111253e-09,0.02256511115352164,0.5474021230570959,0.7265608401609359,17.87782176429555,13.028974634018677,1.2125236879515384
rolling_12,3Q25,4Q22,12,0.4623271017115217,0.026263667165304604,0.37993274529235543,7.700426081598498e-12,0.13147648582311777,0.40619641245766,1.3120351010655877,17.862363970219395,13.181890243345032,0.9442317319896526
expanding,4Q25,3Q21,18,0.3741192459672779,0.49638753392510093,0.12949320168439782,3.470503629714169e-09,1.495271965784954e-08,0.6258807356094988,0.755374007516286,17.721315473621395,12.761688355324354,1.2353893475103992
rolling_12,4Q25,1Q23,12,0.3989846509185618,0.0219818769642295,0.5790334642412969,2.977008519518439e-09,4.8989033154447015e-09,0.6010153412055264,1.180048833973462,17.2420963767554,12.539246940476284,0.7923819620204654
expanding,1Q26,3Q21,19,0.37949373579870593,0.4920025912967513,0.12850366626589427,4.5958032133637894e-10,6.1790683080600145e-09,0.6205062575626455,0.7490099499235541,17.72735418002215,12.770759570514532,1.2051006553094346
rolling_12,1Q26,2Q23,12,0.48740345896760656,1.4321352711884466e-08,0.5125965178851377,5.765859801973008e-09,3.060043307661461e-09,0.5125965322064904,1.0251930796293809,17.37354696507545,12.72416091025958,0.7012123489841868
expanding,2Q26,3Q21,20,0.36331262826792393,0.5020622073917425,0.13462516166624805,8.808493874172861e-10,1.7932363239074058e-09,0.6366873690579905,0.7713125405397321,17.709567686363904,12.740708584026919,1.2052633034013454
rolling_12,2Q26,3Q23,12,0.39827146069003583,2.207891587693515e-08,0.6017285147715188,1.9008026173131577e-09,5.587268791292962e-10,0.6017285368504347,1.2034570595592688,17.21731748689024,12.525959468435918,0.6109318815775816
