sample,spec,spec_label,phi_group,n,n_params,phi_0,phi_1,phi_2,phi_3,phi_4,phi_1_plus_2,mean_lag_q,c_Q1,c_Q2,c_Q3,c_Q4,insample_rel_rmse_pct,loo_rel_rmse_pct,loo_mae_pct,loo_bias_pct,loo_n
full_2021Q3+,pooled,"pooled (one phi, 4 c_s)",all,20,8,0.36331262826792393,0.5020622073917425,0.13462516166624805,8.808493874172861e-10,1.7932363239074058e-09,0.6366873690579905,0.7713125405397321,11.227570084376715,13.080881155493524,17.709567686363904,12.740708584026919,1.2052633034013454,2.89211910068829,1.8934327757884735,-0.43401216951594324,20
full_2021Q3+,season,"season-specific phi_{s,k}",Q1,20,20,0.5321039049120169,0.05205752040614471,0.4158385618293886,5.469079486183214e-09,7.3833702694456815e-09,0.4678960822355333,0.8837346900056415,10.233838622394387,15.068466708180562,18.006352748972496,12.696183744932544,0.8452406399111301,4.785711330509232,3.2252482990232467,-1.1073117824760188,20
full_2021Q3+,season,"season-specific phi_{s,k}",Q2,20,20,0.3301183003751384,0.12286760179351382,0.5067986248387759,3.8447015386238343e-08,0.04021543454555644,0.6296662266322898,1.2973267049943376,10.233838622394387,15.068466708180562,18.006352748972496,12.696183744932544,0.8452406399111301,4.785711330509232,3.2252482990232467,-1.1073117824760188,20
full_2021Q3+,season,"season-specific phi_{s,k}",Q3,20,20,0.05525408281753039,0.7608999421631547,0.029142000367625275,5.664741500595071e-09,0.15470396898694797,0.79004194253078,1.4379998358404216,10.233838622394387,15.068466708180562,18.006352748972496,12.696183744932544,0.8452406399111301,4.785711330509232,3.2252482990232467,-1.1073117824760188,20
full_2021Q3+,season,"season-specific phi_{s,k}",Q4,20,20,0.41665747283082777,0.305955595336432,0.2673779104774565,0.01000900878884799,1.2566435774425491e-08,0.5733335058138885,0.8707384929236321,10.233838622394387,15.068466708180562,18.006352748972496,12.696183744932544,0.8452406399111301,4.785711330509232,3.2252482990232467,-1.1073117824760188,20
full_2021Q3+,summer,summer(Q3) vs rest,Q1/Q2/Q4,20,12,0.45681493917593585,0.10386754128359418,0.3821115232926955,0.057205995473992084,7.737825135264734e-10,0.4859790645762897,1.0397085773860917,10.455981277432176,14.583004514889966,18.006351392107543,12.61853135229735,0.9013487882045991,3.2585948186946014,2.140845668584171,-0.6070786556147778,20
full_2021Q3+,summer,summer(Q3) vs rest,Q3,20,12,0.05525311026737569,0.7609006297691164,0.029142341309239362,2.946753469865391e-09,0.15470391570751493,0.7900429710783557,1.4380009840579153,10.455981277432176,14.583004514889966,18.006351392107543,12.61853135229735,0.9013487882045991,3.2585948186946014,2.140845668584171,-0.6070786556147778,20
full_2021Q3+,fixed_kernel_2/3-1/3,fixed_kernel_2/3-1/3,all (fixed),20,4,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,1.3333333333333333,12.779356195189143,13.733234606111152,17.341094368157858,12.056478177813043,1.867092056198634,2.3338650702482955,1.8189092871821324,0.043772396906333076,20
full_2021Q3+,seasonal_lambda_only_phi1=1,seasonal_lambda_only_phi1=1,all (fixed),20,4,0.0,1.0,0.0,0.0,0.0,1.0,1.0,13.335309139148874,12.280385561041873,17.294676309406924,12.331157735179655,2.169461493797323,2.711826867246656,2.2580694652491333,0.05920347404558379,20
ex_covid_nightsyoy_25,pooled,"pooled (one phi, 4 c_s)",all,16,8,0.365051665133579,0.11943296990143165,0.4643690616053246,0.002162527289039848,0.048983776070625054,0.5838020315067562,1.2505937792617006,10.670007490121714,14.892477420761807,17.48329346342353,12.632215971265994,0.8763018677794671,1.6064460812474692,1.4218003412393605,0.15346438467137502,16
