month,systemwide_passengers_millions,basis,yoy_pct_as_reported,source
2022-01,58.0,SA,90.3,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2022-02,66.2,SA,106.2,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2022-03,69.4,SA,68.8,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2022-04,72.2,SA,52.2,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2022-05,71.2,SA,29.7,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2022-06,70.9,SA,16.7,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2022-07,69.9,SA,8.7,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2022-08,70.5,SA,13.9,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2022-09,75.1,SA,20.1,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2022-10,75.6,SA,17.3,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2022-11,71.7,NSA,9.0,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2022-12,71.7,NSA,7.6,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2023-01,67.1,NSA,,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2023-02,64.6,NSA,,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2023-03,79.5,NSA,9.7,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2023-04,77.5,NSA,7.8,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2023-05,81.8,NSA,7.9,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2023-06,84.0,NSA,8.6,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2023-07,87.8,NSA,9.3,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2023-08,83.1,NSA,8.4,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2023-09,76.3,NSA,6.8,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2023-10,82.6,NSA,8.2,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
2023-11,77.7,NSA,8.1,https://www.bts.gov/newsroom (monthly 'U.S. Airline Traffic Data' release)
