city,country,airroi_active_listings,occupancy_pct,adr_usd,avg_annual_revenue_usd,str_revenue_yoy_pct,str_listings_yoy_pct,airport,air_period,air_yoy_pct,str_source_url,air_source_url
Paris,France,40362,46.6,273,33329,,,Groupe ADP CDG+ORY,Jul 2026,-1.0,https://www.airroi.com/data-portal/markets/paris-france,https://www.air-journal.fr/2026-08-18-trafic-aerien-roissy-cdg-et-orly-a-contre-courant-en-juillet-malgre-lete-5276972.html
Sao Paulo,Brazil,34455,38.1,60,5714,,,GRU Guarulhos,Jan-May 2026,,https://www.airroi.com/data-portal/markets/so-paulo-brazil,https://www.panrotas.com.br/aviacao/aeroportos/2026/06/sul-lidera-crescimento-da-aviacao-brasileira-em-2026-guarulhos-segue-como-principal-hub_229685.html
Rio de Janeiro,Brazil,32194,40.8,121,12828,,,RIOgaleao GIG,Q1 2026,19.0,https://www.airroi.com/data-portal/markets/rio-de-janeiro-brazil,https://www.panrotas.com.br/aviacao/aeroportos/2026/04/riogaleao-cresce-19-no-1t26-e-preve-195-milhoes-de-passageiros-em-2026_227837.html
London,United Kingdom,30555,39.8,258,25682,,,Heathrow LHR (Gatwick H1: -4.7),Jul 2026,-1.5,https://www.airroi.com/data-portal/markets/london-united-kingdom,https://moodiedavittreport.com/heathrow-airport-passenger-traffic-slips-in-july-on-middle-east-and-north-america-declines/
Rome,Italy,28958,46.7,224,31396,,,Aeroporti di Roma FCO,Jul 2026,2.7,https://www.airroi.com/data-portal/markets/rome-italy,https://www.aeroporti2030.com/traffic-data/traffic-data-july-2026/
Buenos Aires,Argentina,22589,45.6,71,8043,,,AA2000 national network (record H1),H1 2026,,https://www.airroi.com/data-portal/markets/buenos-aires-argentina,https://www.argentina.gob.ar/noticias/primer-semestre-record-historico-en-pasajeros-en-los-aeropuertos-del-pais
Mexico City,Mexico,21380,43.3,125,15228,,,AICM,H1 2026,,https://www.airroi.com/data-portal/markets/mexico-city-mexico,https://www.excelsior.com.mx/nacional/turismo-mexico-que-aeropuertos-reciben-mas-pasajeros-cruceros-alza
Dubai,UAE,20018,39.9,286,20441,,,Dubai Airports DXB,H1 2026,-31.3,https://www.airroi.com/data-portal/markets/dubai-united-arab-emirates,https://www.khaleejtimes.com/business/dubai-airport-passenger-traffic-rebounding-after-31-drop-in-h1-2026
Florianopolis,Brazil,19856,36.9,119,8406,,,Floripa Airport (dom +4.3 / intl +17.8),H1 2026,4.3,https://www.airroi.com/data-portal/markets/florianpolis-brazil,https://ndmais.com.br/transportes/populacao-de-sc-pode-dobrar-de-tamanho-em-2026-com-movimentacao-nos-aeroportos-de-sc/
Kuala Lumpur,Malaysia,18559,32.4,76,6377,,,Malaysia Airports KLIA,Jan-Jul 2026,3.4,https://www.airroi.com/data-portal/markets/kuala-lumpur-malaysia,https://www.thestar.com.my/business/business-news/2026/08/21/malaysia-airports039-july-international-passenger-traffic-up-93
Sydney,Australia,10531,47.2,260,31811,1.0,-6.0,Sydney Airport SYD,Q2 2026,-0.7,https://www.airroi.com/airbnb-data/australia/new-south-wales/sydney,https://www.sydneyairport.com.au/corporate/media/corporate-newsroom/sydney-airport-traffic-and-operational-performance-q2-2026
New York City,United States,10069,42.4,231,24752,5.6,-13.3,Port Authority JFK+LGA+EWR,H1 2026,-2.0,https://www.airroi.com/airbnb-data/united-states/new-york/new-york,https://www.ajot.com/news/port-authority-of-new-york-and-new-jersey-reports-facility-volumes-for-first-half-of-2026
Los Angeles,United States,9919,41.5,304,31130,-1.0,5.2,LAX,H1 2026,,https://www.airroi.com/airbnb-data/united-states/california/los-angeles,https://www.nomadlawyer.org/delta-united-lead-lax-passenger-growth-los-angeles-international-airport-2026
