quarter,nights_and_seats_booked_m,nights_yoy_pct,gbv_usd_b,gbv_yoy_pct_as_reported,revenue_usd_b,revenue_yoy_pct_as_reported,source
2022Q1,102.1,59,17.2,67,1.5,70,Airbnb quarterly shareholder letters (news.airbnb.com / investors.airbnb.com)
2022Q2,103.7,25,17.0,27,2.1,58,Airbnb quarterly shareholder letters (news.airbnb.com / investors.airbnb.com)
2022Q3,99.7,25,15.6,31,2.9,29,Airbnb quarterly shareholder letters (news.airbnb.com / investors.airbnb.com)
2022Q4,88.2,20,13.5,20,1.9,24,Airbnb quarterly shareholder letters (news.airbnb.com / investors.airbnb.com)
2023Q1,121.1,19,20.4,19,1.8,20,Airbnb quarterly shareholder letters (news.airbnb.com / investors.airbnb.com)
2023Q2,115.1,11,19.1,13,2.5,18,Airbnb quarterly shareholder letters (news.airbnb.com / investors.airbnb.com)
2023Q3,113.2,14,18.3,17,3.4,18,Airbnb quarterly shareholder letters (news.airbnb.com / investors.airbnb.com)
2023Q4,98.8,12,15.5,15,2.2,17,Airbnb quarterly shareholder letters (news.airbnb.com / investors.airbnb.com)
2024Q1,132.6,9.5,22.9,12,2.1,18,Airbnb quarterly shareholder letters (news.airbnb.com / investors.airbnb.com)
2024Q2,125.1,9,21.2,11,2.75,11,Airbnb quarterly shareholder letters (news.airbnb.com / investors.airbnb.com)
2024Q3,122.8,8,20.1,10,3.7,10,Airbnb quarterly shareholder letters (news.airbnb.com / investors.airbnb.com)
2024Q4,111.0,12,17.6,13,2.5,12,Airbnb quarterly shareholder letters (news.airbnb.com / investors.airbnb.com)
2025Q1,143.1,8,24.5,7,2.3,6,Airbnb quarterly shareholder letters (news.airbnb.com / investors.airbnb.com)
2025Q2,134.4,7,23.5,11,3.1,13,Airbnb quarterly shareholder letters (news.airbnb.com / investors.airbnb.com)
2025Q3,133.6,9,22.9,14,4.1,10,Airbnb quarterly shareholder letters (news.airbnb.com / investors.airbnb.com)
2025Q4,121.9,10,20.4,16,2.8,12,Airbnb quarterly shareholder letters (news.airbnb.com / investors.airbnb.com)
2026Q1,156.2,9,29.2,19,2.7,18,Airbnb quarterly shareholder letters (news.airbnb.com / investors.airbnb.com)
2026Q2,148.3,10,27.2,16,3.6,17,Airbnb quarterly shareholder letters (news.airbnb.com / investors.airbnb.com)
