source,market_key,archive_vintage,held_vintage,review_month,ymi,n_archive,n_held,ratio,age_months,months_before_archive_dump
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2010-01,24120,1,0,0.0,136,63
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2010-02,24121,2,0,0.0,136,62
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2010-05,24124,4,0,0.0,136,59
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2010-06,24125,6,0,0.0,136,58
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2010-07,24126,10,0,0.0,136,57
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2010-08,24127,21,0,0.0,136,56
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2010-09,24128,38,0,0.0,136,55
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2010-10,24129,31,2,0.06451612903225806,136,54
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2010-11,24130,17,0,0.0,136,53
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2010-12,24131,10,0,0.0,136,52
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2011-01,24132,16,2,0.125,136,51
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2011-02,24133,27,0,0.0,136,50
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2011-03,24134,30,2,0.06666666666666667,136,49
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2011-04,24135,75,5,0.06666666666666667,136,48
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2011-05,24136,120,9,0.075,136,47
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2011-06,24137,155,15,0.0967741935483871,136,46
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2011-07,24138,180,17,0.09444444444444444,136,45
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2011-08,24139,213,14,0.06572769953051644,136,44
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2011-09,24140,303,21,0.06930693069306931,136,43
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2011-10,24141,261,12,0.04597701149425287,136,42
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2011-11,24142,217,13,0.059907834101382486,136,41
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2011-12,24143,143,10,0.06993006993006994,136,40
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2012-01,24144,209,11,0.05263157894736842,136,39
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2012-02,24145,199,9,0.04522613065326633,136,38
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2012-03,24146,394,24,0.06091370558375635,136,37
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2012-04,24147,557,41,0.07360861759425494,136,36
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2012-05,24148,764,51,0.06675392670157068,136,35
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2012-06,24149,796,53,0.06658291457286432,136,34
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2012-07,24150,944,79,0.0836864406779661,136,33
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2012-08,24151,1015,68,0.06699507389162561,136,32
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2012-09,24152,1046,78,0.0745697896749522,136,31
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2012-10,24153,1096,75,0.06843065693430657,136,30
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2012-11,24154,732,66,0.09016393442622951,136,29
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2012-12,24155,494,46,0.0931174089068826,136,28
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2013-01,24156,714,55,0.07703081232492998,136,27
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2013-02,24157,713,70,0.09817671809256662,136,26
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2013-03,24158,1395,168,0.12043010752688173,136,25
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2013-04,24159,1997,202,0.10115172759138708,136,24
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2013-05,24160,3010,325,0.1079734219269103,136,23
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2013-06,24161,3009,349,0.11598537720172815,136,22
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2013-07,24162,3308,375,0.1133615477629988,136,21
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2013-08,24163,3529,371,0.10512893170869934,136,20
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2013-09,24164,3853,432,0.11212042564235661,136,19
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,2013-10,24165,3641,448,0.12304312002197199,136,18
