source,city_dir,slug,market_key,matched
montera34,Barcelona,barcelona,spain_catalonia_barcelona,True
chicagobooth,Amsterdam,amsterdam,the-netherlands_north-holland_amsterdam,True
chicagobooth,Antwerp,antwerp,belgium_vlg_antwerp,True
chicagobooth,Athens,athens,greece_attica_athens,True
chicagobooth,Austin,austin,united-states_tx_austin,True
chicagobooth,Barcelona,barcelona,spain_catalonia_barcelona,True
chicagobooth,Berlin,berlin,germany_be_berlin,True
chicagobooth,Boston,boston,united-states_ma_boston,True
chicagobooth,Brussels,brussels,belgium_bru_brussels,True
chicagobooth,Chicago,chicago,united-states_il_chicago,True
chicagobooth,London,london,united-kingdom_england_london,True
chicagobooth,Los Angeles,los-angeles,united-states_ca_los-angeles,True
chicagobooth,Madrid,madrid,spain_comunidad-de-madrid_madrid,True
chicagobooth,Melbourne,melbourne,australia_vic_melbourne,True
chicagobooth,Montreal,montreal,canada_qc_montreal,True
chicagobooth,Nashville,nashville,united-states_tn_nashville,True
chicagobooth,New Orleans,new-orleans,united-states_la_new-orleans,True
chicagobooth,New York City,new-york-city,united-states_ny_new-york-city,True
chicagobooth,Oakland,oakland,united-states_ca_oakland,True
chicagobooth,Paris,paris,france_ile-de-france_paris,True
chicagobooth,Portland,portland,united-states_or_portland,True
chicagobooth,San Diego,san-diego,united-states_ca_san-diego,True
chicagobooth,San Francisco,san-francisco,united-states_ca_san-francisco,True
chicagobooth,Santa Cruz County,santa-cruz-county,united-states_ca_santa-cruz-county,True
chicagobooth,Seattle,seattle,united-states_wa_seattle,True
chicagobooth,Sydney,sydney,australia_nsw_sydney,True
chicagobooth,Toronto,toronto,canada_on_toronto,True
chicagobooth,Trentino,trentino,italy_trentino-alto-adige-südtirol_trentino,True
chicagobooth,Venice,venice,italy_veneto_venice,True
chicagobooth,Vienna,vienna,austria_vienna_vienna,True
chicagobooth,"Washington, D.C.",washington-dc,united-states_dc_washington-dc,True
joeydejager,New York City,new-york-city,united-states_ny_new-york-city,True
