market_key,archive_vintage,held_vintage,age_months,n_reviews_2014_archive,n_reviews_2014_held,n_months,ratio,annual_survival
belgium_bru_brussels,2015-10-03,2026-08-28,130,18587,1459,12,0.07849572281702265,0.7906527466416082
united-states_il_chicago,2015-10-03,2026-08-27,130,19894,1582,12,0.07952146375791697,0.7916008450052415
germany_be_berlin,2015-10-03,2026-08-27,130,55481,4739,12,0.08541662911627404,0.7968437070932133
canada_qc_montreal,2015-10-02,2026-08-10,130,20194,1818,12,0.09002674061602456,0.8007195803695911
united-states_ny_new-york-city,2015-09-01,2026-08-10,131,121774,10987,12,0.09022451426412863,0.8022404191289358
belgium_vlg_antwerp,2015-10-03,2026-08-31,130,3966,369,12,0.09304084720121028,0.8031573631073233
canada_on_toronto,2015-09-03,2026-08-15,131,18030,1878,12,0.10415973377703827,0.8128647821554118
australia_nsw_sydney,2015-10-02,2026-08-15,130,20845,2294,12,0.1100503717917966,0.81570199480508
united-states_ma_boston,2015-10-03,2026-08-27,130,12136,1392,12,0.11470006591957811,0.8188238659349796
the-netherlands_north-holland_amsterdam,2015-09-03,2026-08-15,131,50522,6295,12,0.12459918451367721,0.8263165107189059
france_ile-de-france_paris,2015-09-02,2026-08-15,131,139585,18463,12,0.13227065945481248,0.8308514378217756
spain_catalonia_barcelona,2015-10-02,2026-08-23,130,75053,9932,12,0.13233315123979056,0.8297041463066631
united-states_dc_washington-dc,2015-10-03,2026-08-27,130,16382,2250,12,0.13734586741545599,0.8325565604859473
australia_vic_melbourne,2015-10-02,2026-08-15,130,18143,2700,12,0.1488177258446784,0.8387444534934921
spain_comunidad-de-madrid_madrid,2015-10-02,2026-08-23,130,31797,4917,12,0.15463722992735163,0.8417196226642717
united-states_or_portland,2015-09-02,2026-08-10,131,22689,3536,12,0.1558464454140773,0.8434290808401792
greece_attica_athens,2015-07-17,2026-08-30,133,12966,2054,12,0.15841431436063552,0.8468392921768414
united-states_la_new-orleans,2015-09-02,2026-08-15,131,17816,2943,12,0.16518859452177817,0.8479389509197267
united-states_ca_los-angeles,2015-09-02,2026-08-10,131,72602,12028,12,0.16567036720751493,0.8481651870896719
united-states_wa_seattle,2015-06-22,2026-08-29,134,23512,3919,12,0.16668084382443007,0.8517617268241618
united-states_ca_san-francisco,2015-11-01,2026-08-10,129,44109,7572,12,0.17166564646670748,0.8488046645177214
united-kingdom_england_london,2015-09-02,2026-08-18,131,97094,16767,12,0.17268832265639483,0.8513947330508717
united-states_ca_oakland,2015-06-22,2026-08-29,134,6748,1178,12,0.17457024303497332,0.8552965806931659
united-states_ca_san-diego,2015-06-22,2026-08-29,134,16478,3036,12,0.1842456608811749,0.8594382546925537
austria_vienna_vienna,2015-07-18,2026-08-25,133,19498,3715,12,0.19053236229356857,0.8610626960253364
united-states_tx_austin,2015-11-07,2026-08-25,129,16165,3219,12,0.19913393133312712,0.8606056856506462
united-states_ca_santa-cruz-county,2015-10-15,2026-08-31,130,6250,1247,12,0.19952,0.8617541099041349
united-states_tn_nashville,2015-10-03,2026-08-27,130,10025,2001,12,0.19960099750623442,0.8617863968128577
italy_veneto_venice,2015-07-18,2026-08-13,133,26334,6735,12,0.2557530189109136,0.884240280805437
italy_trentino-alto-adige-südtirol_trentino,2015-10-12,2026-08-31,130,1335,383,12,0.2868913857677903,0.891134288730431
