sample,age_bucket,age_bucket_lo,n_rows,n_vintage_pairs,n_markets,n_reviews_archive,n_reviews_held,ratio_weighted,median_row_ratio,mean_age_months,annual_survival,annual_attrition_pct
"all archives, all review months >= 1 month before the early dump",1-12,1,22790,259,1,118947887,99348671,0.8352285484482798,0.8611628138078191,5.881219833260202,0.692551605354552,30.744839464544803
"all archives, all review months >= 1 month before the early dump",13-24,13,13787,172,1,62568824,37100281,0.5929515472434004,0.6111111111111112,17.834191629796184,0.7035137841758403,29.64862158241597
"all archives, all review months >= 1 month before the early dump",25-36,25,4451,65,1,15267051,6584633,0.43129698066771377,0.4112873814733771,29.69916872612896,0.711919331542701,28.808066845729897
"all archives, all review months >= 1 month before the early dump",37-48,37,2066,32,1,6180587,2073350,0.33546166407818545,0.3142293702432951,40.343175217812195,0.722609040337173,27.7390959662827
"all archives, all review months >= 1 month before the early dump",85-96,85,778,8,1,4587319,1289161,0.2810271097344658,0.31353727405635645,92.45115681233933,0.8481027540257335,15.189724597426647
"all archives, all review months >= 1 month before the early dump",97-108,97,1012,11,1,5607224,1244654,0.2219732973036212,0.23890681955330578,102.56620553359684,0.8385302877604868,16.146971223951322
"all archives, all review months >= 1 month before the early dump",109-120,109,760,9,1,3675935,654036,0.17792371192635342,0.1795479841664462,112.90789473684211,0.8323650998121921,16.763490018780793
"all archives, all review months >= 1 month before the early dump",121-132,121,1896,26,24,3608688,458902,0.1271658841107904,0.14131286820195726,130.1445147679325,0.8268339877841472,17.31660122158528
"all archives, all review months >= 1 month before the early dump",133-144,133,593,9,8,871748,110570,0.12683711347774815,0.14639961850262279,134.3912310286678,0.8316249023467231,16.837509765327685
"all archives, review months 1-36 before the early dump",1-12,1,9324,259,1,108543949,90079163,0.8298865466927133,0.8448326341567383,5.911196911196911,0.6848639521503198,31.51360478496802
"all archives, review months 1-36 before the early dump",13-24,13,6192,172,1,59041433,34690921,0.5875690889819697,0.6051561546258927,17.976744186046513,0.7011971149050555,29.880288509494445
"all archives, review months 1-36 before the early dump",25-36,25,2340,65,1,14782436,6358014,0.4301059717085871,0.4229618963225521,29.815384615384616,0.7120699130107606,28.793008698923938
"all archives, review months 1-36 before the early dump",37-48,37,1152,32,1,6032439,2027204,0.336050476432501,0.3349593210318462,40.40625,0.7233522436945569,27.664775630544312
"all archives, review months 1-36 before the early dump",85-96,85,288,8,1,3871849,1039680,0.26852286853128826,0.28377108148929214,92.5,0.8431831042086644,15.681689579133561
"all archives, review months 1-36 before the early dump",97-108,97,396,11,1,5061137,1082752,0.21393453684419134,0.23294713740123063,102.63636363636364,0.8350222209483262,16.497777905167375
"all archives, review months 1-36 before the early dump",109-120,109,324,9,1,3469703,608944,0.17550320589399152,0.1978081429932807,113.0,0.8312795283184387,16.872047168156136
"all archives, review months 1-36 before the early dump",121-132,121,972,26,24,3471276,435172,0.12536369911237252,0.13562859465946925,130.14814814814815,0.8257509437844623,17.424905621553766
"all archives, review months 1-36 before the early dump",133-144,133,324,9,8,842310,106454,0.1263833980363524,0.16563452006598692,134.33333333333334,0.8312926639104404,16.870733608955955
"montera34 intra-archive only, months 1-36 before",1-12,1,9324,259,1,108543949,90079163,0.8298865466927133,0.8448326341567383,5.911196911196911,0.6848639521503198,31.51360478496802
"montera34 intra-archive only, months 1-36 before",13-24,13,6192,172,1,59041433,34690921,0.5875690889819697,0.6051561546258927,17.976744186046513,0.7011971149050555,29.880288509494445
"montera34 intra-archive only, months 1-36 before",25-36,25,2340,65,1,14782436,6358014,0.4301059717085871,0.4229618963225521,29.815384615384616,0.7120699130107606,28.793008698923938
"montera34 intra-archive only, months 1-36 before",37-48,37,1152,32,1,6032439,2027204,0.336050476432501,0.3349593210318462,40.40625,0.7233522436945569,27.664775630544312
"archive vs held 2025/2026 only, all review months",85-96,85,778,8,1,4587319,1289161,0.2810271097344658,0.31353727405635645,92.45115681233933,0.8481027540257335,15.189724597426647
"archive vs held 2025/2026 only, all review months",97-108,97,1012,11,1,5607224,1244654,0.2219732973036212,0.23890681955330578,102.56620553359684,0.8385302877604868,16.146971223951322
"archive vs held 2025/2026 only, all review months",109-120,109,760,9,1,3675935,654036,0.17792371192635342,0.1795479841664462,112.90789473684211,0.8323650998121921,16.763490018780793
"archive vs held 2025/2026 only, all review months",121-132,121,1896,26,24,3608688,458902,0.1271658841107904,0.14131286820195726,130.1445147679325,0.8268339877841472,17.31660122158528
"archive vs held 2025/2026 only, all review months",133-144,133,593,9,8,871748,110570,0.12683711347774815,0.14639961850262279,134.3912310286678,0.8316249023467231,16.837509765327685
