archive_vintage,held_vintage,n_listings_early,n_listings_surviving,listing_exit_share,reviews_early,reviews_lost_to_listing_exit,reviews_of_survivors_early,reviews_of_survivors_late,within_survivor_ratio,total_ratio
2015-10-02,2016-11-07,11738,6067,0.4831317089793832,235609,100054,135555,137776,1.0163844933790713,0.6131174955116315
2016-01-03,2016-12-08,10969,6622,0.39629865985960433,224983,66216,158767,159836,1.0067331372388468,0.7439717667557104
2016-01-03,2017-01-04,10969,6506,0.4068739174035919,224983,69929,155054,156099,1.006739587498549,0.7275705275509705
2016-01-03,2017-02-09,10969,6201,0.43467955146321446,224983,78307,146676,146746,1.0004772423573045,0.6853984523275092
2016-11-07,2017-10-07,14292,8087,0.4341589700531766,360698,124352,236346,237637,1.0054623306508255,0.7005112310021125
2016-11-07,2017-11-13,14292,7893,0.4477329974811083,360698,131144,229554,230741,1.0051708966082056,0.6753627688537225
2016-11-07,2017-12-09,14292,7709,0.46060733277357957,360698,135594,225104,226306,1.0053397540692302,0.6660308623834897
2016-12-08,2017-11-13,14247,8088,0.43230153716571906,367212,127349,239863,240405,1.0022596232015775,0.6906446412426609
2016-12-08,2017-12-09,14247,7904,0.445216536814768,367212,131859,235353,235904,1.0023411641236781,0.6808464864982626
2016-12-08,2018-01-17,14247,7645,0.46339580262511404,367212,140787,226425,225491,0.9958750138014795,0.6594964216855659
2017-01-04,2017-12-09,14140,8060,0.42998585572842996,368766,125843,242923,243822,1.003700761146536,0.6990394993030811
2017-01-04,2018-01-17,14140,7797,0.4485855728429986,368766,135208,233558,232885,0.9971184887693849,0.6773129843857623
2017-01-04,2018-02-07,14140,7629,0.4604667609618105,368766,138626,230140,226617,0.9846919266533415,0.6520856044212319
2017-02-09,2018-01-17,13804,7959,0.4234279918864098,363581,125440,238141,238771,1.0026454915365266,0.7117121081684686
2017-02-09,2018-02-07,13804,7757,0.43806143146913934,363581,129642,233939,231618,0.9900786102360017,0.68499729083753
