market_key,held_vintage,n_months,recount_total,e3_total,max_abs_month_diff,n_reviews_pre2015
australia_nsw_sydney,2026-08-15,140,813784,813784,0,3512
australia_vic_melbourne,2026-08-15,140,1024884,1024884,0,3995
austria_vienna_vienna,2026-08-25,140,633975,633975,0,5839
belgium_bru_brussels,2026-08-28,140,336305,336305,0,2134
belgium_vlg_antwerp,2026-08-31,140,132786,132786,0,510
canada_on_toronto,2026-08-15,140,706515,706515,0,2934
canada_qc_montreal,2026-08-10,140,467493,467493,0,2825
france_ile-de-france_paris,2026-08-15,140,2449771,2449771,0,30134
germany_be_berlin,2026-08-27,140,689090,689090,0,7478
greece_attica_athens,2026-08-30,141,972272,972272,0,2864
italy_trentino-alto-adige-südtirol_trentino,2026-08-31,141,217009,217009,0,502
italy_veneto_venice,2026-08-13,140,923579,923579,0,10941
spain_catalonia_barcelona,2026-08-23,140,1060546,1060546,0,13910
spain_comunidad-de-madrid_madrid,2026-08-23,140,1446963,1446963,0,7378
the-netherlands_north-holland_amsterdam,2026-08-15,140,549102,549102,0,9960
united-kingdom_england_london,2026-08-18,140,2282252,2282252,0,28711
united-states_ca_los-angeles,2026-08-10,140,1868875,1868875,0,19940
united-states_ca_oakland,2026-08-29,140,132141,132141,0,1799
united-states_ca_san-diego,2026-08-29,140,965128,965128,0,4755
united-states_ca_san-francisco,2026-08-10,140,434277,434277,0,14209
united-states_ca_santa-cruz-county,2026-08-31,141,180954,180954,0,2641
united-states_dc_washington-dc,2026-08-27,140,481361,481361,0,4383
united-states_il_chicago,2026-08-27,140,555908,555908,0,2642
united-states_la_new-orleans,2026-08-15,140,513767,513767,0,5206
united-states_ma_boston,2026-08-27,140,258162,258162,0,2843
united-states_ny_new-york-city,2026-08-10,140,972404,972404,0,21723
united-states_or_portland,2026-08-10,140,504537,504537,0,5420
united-states_tn_nashville,2026-08-27,140,849309,849309,0,3555
united-states_tx_austin,2026-08-25,140,641024,641024,0,5713
united-states_wa_seattle,2026-08-29,140,627672,627672,0,6100
