source,market_key,archive_vintage,held_vintage,review_month,ymi,n_archive,n_held,ratio,age_months,months_before_archive_dump
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2010-01,24120,1,1,1.0,3,63
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2010-02,24121,2,2,1.0,3,62
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2010-05,24124,4,4,1.0,3,59
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2010-06,24125,6,6,1.0,3,58
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2010-07,24126,10,8,0.8,3,57
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2010-08,24127,21,15,0.7142857142857143,3,56
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2010-09,24128,38,31,0.8157894736842105,3,55
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2010-10,24129,31,24,0.7741935483870968,3,54
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2010-11,24130,17,13,0.7647058823529411,3,53
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2010-12,24131,10,8,0.8,3,52
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2011-01,24132,16,15,0.9375,3,51
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2011-02,24133,27,26,0.9629629629629629,3,50
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2011-03,24134,30,37,1.2333333333333334,3,49
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2011-04,24135,75,70,0.9333333333333333,3,48
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2011-05,24136,120,110,0.9166666666666666,3,47
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2011-06,24137,155,157,1.0129032258064516,3,46
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2011-07,24138,180,180,1.0,3,45
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2011-08,24139,213,203,0.9530516431924883,3,44
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2011-09,24140,303,299,0.9867986798679867,3,43
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2011-10,24141,261,261,1.0,3,42
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2011-11,24142,217,219,1.0092165898617511,3,41
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2011-12,24143,143,142,0.993006993006993,3,40
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2012-01,24144,209,199,0.9521531100478469,3,39
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2012-02,24145,199,180,0.9045226130653267,3,38
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2012-03,24146,394,383,0.9720812182741116,3,37
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2012-04,24147,557,528,0.947935368043088,3,36
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2012-05,24148,764,730,0.9554973821989529,3,35
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2012-06,24149,796,769,0.9660804020100503,3,34
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2012-07,24150,944,917,0.9713983050847458,3,33
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2012-08,24151,1015,1006,0.9911330049261083,3,32
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2012-09,24152,1046,990,0.9464627151051626,3,31
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2012-10,24153,1096,1035,0.9443430656934306,3,30
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2012-11,24154,732,689,0.9412568306010929,3,29
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2012-12,24155,494,452,0.9149797570850202,3,28
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2013-01,24156,714,669,0.9369747899159664,3,27
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2013-02,24157,713,659,0.9242636746143057,3,26
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2013-03,24158,1395,1330,0.953405017921147,3,25
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2013-04,24159,1997,1889,0.9459188783174762,3,24
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2013-05,24160,3010,2931,0.9737541528239203,3,23
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2013-06,24161,3009,2895,0.9621136590229312,3,22
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2013-07,24162,3308,3234,0.9776299879081015,3,21
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2013-08,24163,3529,3428,0.9713799943326722,3,20
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2013-09,24164,3853,3758,0.9753438878795744,3,19
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2013-10,24165,3641,3535,0.9708871189233726,3,18
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2013-11,24166,2134,2072,0.9709465791940018,3,17
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2013-12,24167,1672,1609,0.9623205741626795,3,16
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2014-01,24168,2235,2167,0.9695749440715884,3,15
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2014-02,24169,2455,2351,0.9576374745417515,3,14
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2014-03,24170,3897,3731,0.9574031306132923,3,13
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2014-04,24171,5506,5287,0.9602252088630585,3,12
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2014-05,24172,7403,7157,0.96677022828583,3,11
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2014-06,24173,8287,8050,0.971400989501629,3,10
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2014-07,24174,9229,8949,0.9696608516632355,3,9
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2014-08,24175,10949,10744,0.9812768289341492,3,8
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2014-09,24176,10968,10643,0.9703683442742523,3,7
montera34,spain_catalonia_barcelona,2015-04-30,2015-07-17,2014-10,24177,10647,10259,0.9635578097116558,3,6
