archive_vintage,held_vintage,age_months,n_reviews_archive,n_reviews_held,n_months,ratio,annual_attrition_pct,early_year,in_L1_window
2015-10-02,2016-11-07,13,235609,144456,36,0.6131174955116315,36.33708787006867,2015,False
2016-01-03,2016-12-08,11,224983,167381,36,0.7439717667557104,27.576456700172226,2016,False
2016-01-03,2017-01-04,12,224983,163691,36,0.7275705275509705,27.24294724490295,2016,False
2016-01-03,2017-02-09,13,224983,154203,36,0.6853984523275092,29.439300179485084,2016,False
2016-11-07,2017-10-07,11,360698,252673,36,0.7005112310021125,32.17935277071343,2016,False
2016-11-07,2017-11-13,12,360698,243602,36,0.6753627688537225,32.463723114627754,2016,False
2016-11-07,2017-12-09,13,360698,240236,36,0.6660308623834897,31.28181009873482,2016,False
2016-12-08,2017-11-13,11,367212,253613,36,0.6906446412426609,33.22076609738131,2016,False
2016-12-08,2017-12-09,12,367212,250015,36,0.6808464864982626,31.915351350173736,2016,False
2016-12-08,2018-01-17,13,367212,242175,36,0.6594964216855659,31.90437997171357,2016,False
2017-01-04,2017-12-09,11,368766,257782,36,0.6990394993030811,32.334778362675905,2017,True
2017-01-04,2018-01-17,12,368766,249770,36,0.6773129843857623,32.268701561423775,2017,True
2017-01-04,2018-02-07,13,368766,240467,36,0.6520856044212319,32.611021496112095,2017,True
2017-02-09,2018-01-17,11,363581,258765,36,0.7117121081684686,30.99548980111284,2017,True
2017-02-09,2018-02-07,12,363581,249052,36,0.68499729083753,31.500270916246997,2017,True
2017-03-06,2018-02-07,11,370446,257880,36,0.6961338494679387,32.641548769898485,2017,True
2017-03-06,2018-04-12,13,370446,259803,36,0.7013248894575728,27.92716305647248,2017,True
2017-04-08,2018-04-12,12,385469,274127,36,0.7111518695407413,28.884813045925874,2017,True
2017-04-08,2018-05-14,13,385469,258957,36,0.67179721326488,30.732810377662613,2017,True
2017-05-07,2018-04-12,11,406641,292659,36,0.7196987022951449,30.15031991184558,2017,True
2017-05-07,2018-05-14,12,406641,276368,36,0.6796363377032812,32.03636622967188,2017,True
2017-05-07,2018-06-09,13,406641,259966,36,0.6393010050634343,33.83152482132405,2017,True
2017-06-05,2018-05-14,11,425910,296812,36,0.6968890141109624,32.561831767961365,2017,True
2017-06-05,2018-06-09,12,425910,278675,36,0.6543049000962645,34.56950999037355,2017,True
2017-06-05,2018-07-10,13,425910,275627,36,0.6471484585945387,33.08213429644893,2017,True
2017-07-06,2018-06-09,11,420980,296457,36,0.7042068506817426,31.788937654129988,2017,True
2017-07-06,2018-07-10,12,420980,292961,36,0.6959024181671338,30.409758183286616,2017,True
2017-07-06,2018-08-18,13,420980,283409,36,0.6732125041569671,30.598119615574614,2017,True
2017-08-06,2018-07-10,11,434733,312083,36,0.7178728092875397,30.34361795797148,2017,True
2017-08-06,2018-08-18,12,434733,301417,36,0.6933382098897484,30.666179011025164,2017,True
2017-08-06,2018-09-11,13,434733,293673,36,0.6755249773999213,30.378092419794168,2017,True
2017-09-12,2018-08-18,11,437774,317881,36,0.7261303777748336,29.469076540663863,2017,True
2017-09-12,2018-09-11,12,437774,309494,36,0.7069720906221019,29.302790937789812,2017,True
2017-09-12,2018-10-10,13,437774,299635,36,0.6844513379049464,29.52930861157116,2017,True
2017-10-07,2018-09-11,11,454334,325763,36,0.7170121540540659,30.434715678073022,2017,True
2017-10-07,2018-10-10,12,454334,315098,36,0.6935382339864505,30.646176601354945,2017,True
2017-10-07,2018-11-07,13,454334,305040,36,0.6714003354360448,30.770584464232932,2017,True
2017-11-13,2018-10-10,11,458360,328275,36,0.7161946941268872,30.52123210312445,2017,True
2017-11-13,2018-11-07,12,458360,317764,36,0.6932629374290951,30.673706257090494,2017,True
2017-11-13,2018-12-10,13,458360,315485,36,0.6882908630770573,29.16448087795822,2017,True
2017-12-09,2018-11-07,11,459110,324954,36,0.7077911611596349,31.410103556633306,2017,True
2017-12-09,2018-12-10,12,459110,322559,36,0.7025745464050009,29.742545359499907,2017,True
2017-12-09,2019-01-14,13,459110,302534,36,0.6589575482999717,31.955742337085468,2017,True
2018-01-17,2018-12-10,11,458961,328603,36,0.7159715095618147,30.544851433129992,2018,True
2018-01-17,2019-01-14,12,458961,308213,36,0.6715450768148056,32.84549231851944,2018,True
2018-01-17,2019-02-06,13,458961,301640,36,0.6572235985192642,32.121034569283665,2018,True
2018-02-07,2019-01-14,11,451341,316024,36,0.7001889923583278,32.2133860601558,2018,True
2018-02-07,2019-02-06,12,451341,309294,36,0.6852778719416139,31.472212805838605,2018,True
2018-02-07,2019-03-08,13,451341,301742,36,0.6685455121515661,31.0423518662147,2018,True
2018-04-12,2019-03-08,11,484371,320503,36,0.6616890771743147,36.26913975814456,2018,True
