source,city,market_key,dump_date,file,n_reviews,n_listings,first_review_month,last_review_month
montera34,Barcelona,spain_catalonia_barcelona,2015-04-30,C:\Users\krish\abnb_ia_capture\montera34_barcelona\150430\reviews_summary_barcelona_insideairbnb.csv,157355,8616,2010-01,2015-04
montera34,Barcelona,spain_catalonia_barcelona,2015-07-17,C:\Users\krish\abnb_ia_capture\montera34_barcelona\150717\reviews_summary_barcelona_insideairbnb.csv,203941,11012,2010-01,2015-07
montera34,Barcelona,spain_catalonia_barcelona,2015-09-04,C:\Users\krish\abnb_ia_capture\montera34_barcelona\150904\reviews_summary_barcelona_insideairbnb.csv,224757,11646,2010-02,2015-09
montera34,Barcelona,spain_catalonia_barcelona,2015-10-02,C:\Users\krish\abnb_ia_capture\montera34_barcelona\151002\reviews_summary_barcelona_insideairbnb.csv,242562,11764,2010-02,2015-10
montera34,Barcelona,spain_catalonia_barcelona,2016-01-03,C:\Users\krish\abnb_ia_capture\montera34_barcelona\160103\reviews_summary_barcelona_insideairbnb.csv,232100,11053,2009-07,2016-01
montera34,Barcelona,spain_catalonia_barcelona,2016-11-07,C:\Users\krish\abnb_ia_capture\montera34_barcelona\161107\reviews_summary_barcelona_insideairbnb.csv,381537,14390,2010-02,2016-11
montera34,Barcelona,spain_catalonia_barcelona,2016-12-08,C:\Users\krish\abnb_ia_capture\montera34_barcelona\161208\reviews_summary_barcelona_insideairbnb.csv,388146,14330,2010-02,2016-12
montera34,Barcelona,spain_catalonia_barcelona,2017-01-04,C:\Users\krish\abnb_ia_capture\montera34_barcelona\170104\reviews_summary_barcelona_insideairbnb.csv,390575,14317,2010-02,2017-01
montera34,Barcelona,spain_catalonia_barcelona,2017-02-09,C:\Users\krish\abnb_ia_capture\montera34_barcelona\170209\reviews_summary_barcelona_insideairbnb.csv,384984,13891,2010-02,2017-02
montera34,Barcelona,spain_catalonia_barcelona,2017-03-06,C:\Users\krish\abnb_ia_capture\montera34_barcelona\170306\reviews_summary_barcelona_insideairbnb.csv,394346,14070,2010-02,2017-03
montera34,Barcelona,spain_catalonia_barcelona,2017-04-08,C:\Users\krish\abnb_ia_capture\montera34_barcelona\170408\reviews_summary_barcelona_insideairbnb.csv,411371,14184,2010-02,2017-04
montera34,Barcelona,spain_catalonia_barcelona,2017-05-07,C:\Users\krish\abnb_ia_capture\montera34_barcelona\170507\reviews_summary_barcelona_insideairbnb.csv,435828,14731,2009-07,2017-05
montera34,Barcelona,spain_catalonia_barcelona,2017-06-05,C:\Users\krish\abnb_ia_capture\montera34_barcelona\170605\reviews_summary_barcelona_insideairbnb.csv,456163,15074,2009-07,2017-06
montera34,Barcelona,spain_catalonia_barcelona,2017-07-06,C:\Users\krish\abnb_ia_capture\montera34_barcelona\170706\reviews_summary_barcelona_insideairbnb.csv,454407,14824,2010-02,2017-07
montera34,Barcelona,spain_catalonia_barcelona,2017-08-06,C:\Users\krish\abnb_ia_capture\montera34_barcelona\170806\reviews_summary_barcelona_insideairbnb.csv,470379,15408,2010-02,2017-08
montera34,Barcelona,spain_catalonia_barcelona,2017-09-12,C:\Users\krish\abnb_ia_capture\montera34_barcelona\170912\reviews_summary_barcelona_insideairbnb.csv,480416,15279,2010-02,2017-09
montera34,Barcelona,spain_catalonia_barcelona,2017-10-07,C:\Users\krish\abnb_ia_capture\montera34_barcelona\171007\reviews_summary_barcelona_insideairbnb.csv,498411,15296,2010-02,2017-10
montera34,Barcelona,spain_catalonia_barcelona,2017-11-13,C:\Users\krish\abnb_ia_capture\montera34_barcelona\171113\reviews_summary_barcelona_insideairbnb.csv,506663,15192,2010-02,2017-11
montera34,Barcelona,spain_catalonia_barcelona,2017-12-09,C:\Users\krish\abnb_ia_capture\montera34_barcelona\171209\reviews_summary_barcelona_insideairbnb.csv,507824,15020,2010-02,2017-12
montera34,Barcelona,spain_catalonia_barcelona,2018-01-17,C:\Users\krish\abnb_ia_capture\montera34_barcelona\180117\reviews_summary_barcelona_insideairbnb.csv,512365,15252,2010-02,2018-01
montera34,Barcelona,spain_catalonia_barcelona,2018-02-07,C:\Users\krish\abnb_ia_capture\montera34_barcelona\180207\reviews_summary_barcelona_insideairbnb.csv,500413,14838,2010-02,2018-02
montera34,Barcelona,spain_catalonia_barcelona,2018-04-12,C:\Users\krish\abnb_ia_capture\montera34_barcelona\180412\reviews_summary_barcelona_insideairbnb.csv,546123,15752,2010-06,2018-04
montera34,Barcelona,spain_catalonia_barcelona,2018-05-14,C:\Users\krish\abnb_ia_capture\montera34_barcelona\180514\reviews_summary_barcelona_insideairbnb.csv,547588,15599,2010-06,2018-05
montera34,Barcelona,spain_catalonia_barcelona,2018-06-09,C:\Users\krish\abnb_ia_capture\montera34_barcelona\180609\reviews_summary_barcelona_insideairbnb.csv,529675,14145,2010-06,2018-06
montera34,Barcelona,spain_catalonia_barcelona,2018-07-10,C:\Users\krish\abnb_ia_capture\montera34_barcelona\180710\reviews_summary_barcelona_insideairbnb.csv,553309,14748,2010-06,2018-07
montera34,Barcelona,spain_catalonia_barcelona,2018-08-18,C:\Users\krish\abnb_ia_capture\montera34_barcelona\180818\reviews_summary_barcelona_insideairbnb.csv,561090,15209,2010-08,2018-08
montera34,Barcelona,spain_catalonia_barcelona,2018-09-11,C:\Users\krish\abnb_ia_capture\montera34_barcelona\180911\reviews_summary_barcelona_insideairbnb.csv,571820,15335,2010-08,2018-09
montera34,Barcelona,spain_catalonia_barcelona,2018-10-10,C:\Users\krish\abnb_ia_capture\montera34_barcelona\181010\reviews_summary_barcelona_insideairbnb.csv,577646,14921,2010-08,2018-10
montera34,Barcelona,spain_catalonia_barcelona,2018-11-07,C:\Users\krish\abnb_ia_capture\montera34_barcelona\181107\reviews_summary_barcelona_insideairbnb.csv,582931,14677,2010-08,2018-11
montera34,Barcelona,spain_catalonia_barcelona,2018-12-10,C:\Users\krish\abnb_ia_capture\montera34_barcelona\181210\reviews_summary_barcelona_insideairbnb.csv,597176,14857,2010-08,2018-12
montera34,Barcelona,spain_catalonia_barcelona,2019-01-14,C:\Users\krish\abnb_ia_capture\montera34_barcelona\190114\reviews_summary_barcelona_insideairbnb.csv,575424,14060,2010-09,2019-01
montera34,Barcelona,spain_catalonia_barcelona,2019-02-06,C:\Users\krish\abnb_ia_capture\montera34_barcelona\190206\reviews_summary_barcelona_insideairbnb.csv,572598,13710,2010-09,2019-02
montera34,Barcelona,spain_catalonia_barcelona,2019-03-08,C:\Users\krish\abnb_ia_capture\montera34_barcelona\190308\reviews_summary_barcelona_insideairbnb.csv,576579,13779,2010-08,2019-03
chicagobooth,Amsterdam,the-netherlands_north-holland_amsterdam,2015-09-03,C:\Users\krish\abnb_ia_capture\chicagobooth_2015\amsterdam_reviews.csv.gz,151119,8255,2009-03,2015-09
chicagobooth,Antwerp,belgium_vlg_antwerp,2015-10-03,C:\Users\krish\abnb_ia_capture\chicagobooth_2015\antwerp_reviews.csv.gz,12786,607,2011-08,2015-10
chicagobooth,Athens,greece_attica_athens,2015-07-17,C:\Users\krish\abnb_ia_capture\chicagobooth_2015\athens_reviews.csv.gz,34670,1593,2010-07,2015-07
chicagobooth,Austin,united-states_tx_austin,2015-11-07,C:\Users\krish\abnb_ia_capture\chicagobooth_2015\austin_reviews.csv.gz,62976,3827,2008-09,2015-11
chicagobooth,Barcelona,spain_catalonia_barcelona,2015-10-02,C:\Users\krish\abnb_ia_capture\chicagobooth_2015\barcelona_reviews.csv.gz,242562,11764,2010-02,2015-10
chicagobooth,Berlin,germany_be_berlin,2015-10-03,C:\Users\krish\abnb_ia_capture\chicagobooth_2015\berlin_reviews.csv.gz,185575,12220,2009-06,2015-10
chicagobooth,Boston,united-states_ma_boston,2015-10-03,C:\Users\krish\abnb_ia_capture\chicagobooth_2015\boston_reviews.csv.gz,43123,2095,2009-03,2015-10
chicagobooth,Brussels,belgium_bru_brussels,2015-10-03,C:\Users\krish\abnb_ia_capture\chicagobooth_2015\brussels_reviews.csv.gz,62637,3704,2010-10,2015-10
chicagobooth,Chicago,united-states_il_chicago,2015-10-03,C:\Users\krish\abnb_ia_capture\chicagobooth_2015\chicago_reviews.csv.gz,75180,4142,2009-03,2015-10
chicagobooth,London,united-kingdom_england_london,2015-09-02,C:\Users\krish\abnb_ia_capture\chicagobooth_2015\london_reviews.csv.gz,290273,17694,2009-09,2015-09
chicagobooth,Los Angeles,united-states_ca_los-angeles,2015-09-02,C:\Users\krish\abnb_ia_capture\chicagobooth_2015\los-angeles_reviews.csv.gz,236230,12830,2008-11,2015-09
chicagobooth,Madrid,spain_comunidad-de-madrid_madrid,2015-10-02,C:\Users\krish\abnb_ia_capture\chicagobooth_2015\madrid_reviews.csv.gz,107199,5675,2010-05,2015-10
chicagobooth,Melbourne,australia_vic_melbourne,2015-10-02,C:\Users\krish\abnb_ia_capture\chicagobooth_2015\melbourne_reviews.csv.gz,63383,4391,2010-08,2015-10
chicagobooth,Montreal,canada_qc_montreal,2015-10-02,C:\Users\krish\abnb_ia_capture\chicagobooth_2015\montreal_reviews.csv.gz,78135,6347,2009-06,2015-10
chicagobooth,Nashville,united-states_tn_nashville,2015-10-03,C:\Users\krish\abnb_ia_capture\chicagobooth_2015\nashville_reviews.csv.gz,37381,1688,2009-04,2015-10
chicagobooth,New Orleans,united-states_la_new-orleans,2015-09-02,C:\Users\krish\abnb_ia_capture\chicagobooth_2015\new-orleans_reviews.csv.gz,53524,2135,2010-04,2015-09
chicagobooth,New York City,united-states_ny_new-york-city,2015-09-01,C:\Users\krish\abnb_ia_capture\chicagobooth_2015\new-york-city_reviews.csv.gz,366453,22666,2008-10,2015-09
chicagobooth,Oakland,united-states_ca_oakland,2015-06-22,C:\Users\krish\abnb_ia_capture\chicagobooth_2015\oakland_reviews.csv.gz,16300,937,2009-07,2015-07
chicagobooth,Paris,france_ile-de-france_paris,2015-09-02,C:\Users\krish\abnb_ia_capture\chicagobooth_2015\paris_reviews.csv.gz,417476,25213,2009-06,2015-09
chicagobooth,Portland,united-states_or_portland,2015-09-02,C:\Users\krish\abnb_ia_capture\chicagobooth_2015\portland_reviews.csv.gz,70393,2238,2009-08,2015-09
chicagobooth,San Diego,united-states_ca_san-diego,2015-06-22,C:\Users\krish\abnb_ia_capture\chicagobooth_2015\san-diego_reviews.csv.gz,43454,2520,2008-06,2015-07
chicagobooth,San Francisco,united-states_ca_san-francisco,2015-11-01,C:\Users\krish\abnb_ia_capture\chicagobooth_2015\san-francisco_reviews.csv.gz,143237,5698,2009-03,2015-11
chicagobooth,Santa Cruz County,united-states_ca_santa-cruz-county,2015-10-15,C:\Users\krish\abnb_ia_capture\chicagobooth_2015\santa-cruz-county_reviews.csv.gz,22121,702,2009-07,2015-10
chicagobooth,Seattle,united-states_wa_seattle,2015-06-22,C:\Users\krish\abnb_ia_capture\chicagobooth_2015\seattle_reviews.csv.gz,57879,2347,2009-07,2015-07
chicagobooth,Sydney,australia_nsw_sydney,2015-10-02,C:\Users\krish\abnb_ia_capture\chicagobooth_2015\sydney_reviews.csv.gz,70758,6641,2009-12,2015-10
chicagobooth,Toronto,canada_on_toronto,2015-09-03,C:\Users\krish\abnb_ia_capture\chicagobooth_2015\toronto_reviews.csv.gz,60074,4644,2009-09,2015-09
chicagobooth,Trentino,italy_trentino-alto-adige-südtirol_trentino,2015-10-12,C:\Users\krish\abnb_ia_capture\chicagobooth_2015\trentino_reviews.csv.gz,5634,925,2010-09,2015-10
chicagobooth,Venice,italy_veneto_venice,2015-07-18,C:\Users\krish\abnb_ia_capture\chicagobooth_2015\venice_reviews.csv.gz,69849,2631,2009-11,2015-07
chicagobooth,Vienna,austria_vienna_vienna,2015-07-18,C:\Users\krish\abnb_ia_capture\chicagobooth_2015\vienna_reviews.csv.gz,51376,3282,2010-06,2015-07
chicagobooth,"Washington, D.C.",united-states_dc_washington-dc,2015-10-03,C:\Users\krish\abnb_ia_capture\chicagobooth_2015\washington-d-c_reviews.csv.gz,56989,2893,2009-01,2015-10
joeydejager,New York City,united-states_ny_new-york-city,2015-01-01,C:\Users\krish\abnb_ia_capture\joeydejager_nyc_2015\nyc_reviews_20150101184336.csv,277605,19013,2008-10,2015-01
