source,market_key,archive_vintage,held_vintage,age_months,n_archive,n_held,ratio_2012_2014,annual_survival,implied_annual_attrition_pct,e_note_12m_ratio,e_note_12m_attrition_pct,country,region
joeydejager,united-states_ny_new-york-city,2015-01-01,2026-08-10,139,263272,19766,0.07507824607250296,0.7996907676533451,20.030923234665487,0.8723892633172349,12.761073668276513,united-states,NAM
chicagobooth,belgium_bru_brussels,2015-10-03,2026-08-28,130,26091,2070,0.0793377026560883,0.7914318128740759,20.856818712592407,0.7995317552199582,20.046824478004176,belgium,EMEA
chicagobooth,germany_be_berlin,2015-10-03,2026-08-27,130,87424,7276,0.08322657393850659,0.7949354752596343,20.506452474036575,0.9183939072123102,8.160609278768982,germany,EMEA
chicagobooth,united-states_il_chicago,2015-10-03,2026-08-27,130,30365,2555,0.08414292771282726,0.7957393908762563,20.426060912374368,0.899852269134596,10.014773086540396,united-states,NAM
chicagobooth,canada_qc_montreal,2015-10-02,2026-08-10,130,30270,2742,0.09058473736372646,0.8011764159283324,19.882358407166755,0.8498090442769359,15.019095572306407,canada,NAM
chicagobooth,belgium_vlg_antwerp,2015-10-03,2026-08-31,130,5548,510,0.09192501802451333,0.8022633618959631,19.773663810403686,0.8513646978079463,14.863530219205368,belgium,EMEA
chicagobooth,united-states_ny_new-york-city,2015-09-01,2026-08-10,131,197098,19766,0.10028513734284468,0.810047004724655,18.995299527534502,0.8723892633172349,12.761073668276513,united-states,NAM
chicagobooth,canada_on_toronto,2015-09-03,2026-08-15,131,25966,2732,0.10521451128398675,0.8136153672958866,18.638463270411343,0.8828816489106703,11.711835108932966,canada,NAM
montera34,spain_catalonia_barcelona,2015-04-30,2026-08-23,136,119973,13788,0.11492585831812158,0.8262199634257409,17.37800365742591,0.8824574127855103,11.754258721448974,spain,EMEA
chicagobooth,australia_nsw_sydney,2015-10-02,2026-08-15,130,29401,3414,0.1161184993707697,0.8197533639296397,18.02466360703603,0.8921363967858906,10.786360321410937,australia,APAC
montera34,spain_catalonia_barcelona,2015-07-17,2026-08-23,133,115971,13788,0.11889179191349561,0.8251920897268765,17.48079102731235,0.8824574127855103,11.754258721448974,spain,EMEA
montera34,spain_catalonia_barcelona,2015-09-04,2026-08-23,131,108457,13788,0.12712872382603244,0.8278391986326801,17.216080136731993,0.8824574127855103,11.754258721448974,spain,EMEA
chicagobooth,spain_catalonia_barcelona,2015-10-02,2026-08-23,130,108230,13788,0.12739536172964983,0.8267968157376742,17.320318426232582,0.8824574127855103,11.754258721448974,spain,EMEA
montera34,spain_catalonia_barcelona,2015-10-02,2026-08-23,130,108230,13788,0.12739536172964983,0.8267968157376742,17.320318426232582,0.8824574127855103,11.754258721448974,spain,EMEA
chicagobooth,the-netherlands_north-holland_amsterdam,2015-09-03,2026-08-15,131,75415,9784,0.12973546376715508,0.8293798302073797,17.06201697926203,0.9494142641961179,5.058573580388215,the-netherlands,EMEA
chicagobooth,france_ile-de-france_paris,2015-09-02,2026-08-15,131,211293,29029,0.1373874193655256,0.8337451294093483,16.62548705906517,0.8839043234167258,11.609567658327425,france,EMEA
chicagobooth,united-states_ma_boston,2015-10-03,2026-08-27,130,18089,2576,0.1424069876720659,0.8353422114286176,16.465778857138236,0.9122350624449397,8.776493755506031,united-states,NAM
chicagobooth,australia_vic_melbourne,2015-10-02,2026-08-15,130,25085,3823,0.15240183376519834,0.8405890146892739,15.941098531072607,0.8749389029856407,12.50610970143593,australia,APAC
chicagobooth,spain_comunidad-de-madrid_madrid,2015-10-02,2026-08-23,130,46586,7242,0.15545442836903792,0.8421292410531186,15.78707589468814,0.8789315063658236,12.106849363417638,spain,EMEA
chicagobooth,united-states_dc_washington-dc,2015-10-03,2026-08-27,130,25097,3938,0.15691118460373749,0.8428546124500835,15.714538754991647,0.9020827845669601,9.79172154330399,united-states,NAM
chicagobooth,united-states_or_portland,2015-09-02,2026-08-10,131,33396,5324,0.15942028985507245,0.8451826208851951,15.481737911480487,0.9353060919704427,6.469390802955733,united-states,NAM
chicagobooth,greece_attica_athens,2015-07-17,2026-08-30,133,17609,2837,0.16111079561587824,0.8481298992843934,15.187010071560659,0.9219902780782928,7.800972192170718,greece,EMEA
