city,country,eea_flag,dump_date,listings_in_dump,eligible,sampled,strata,geo_conflict
austin,United States,0,2026-08-25,11079,7910,200,35,0
chicago,United States,0,2026-08-27,8778,5246,200,33,1
los-angeles,United States,0,2026-08-10,43735,17824,200,38,1
nashville,United States,0,2026-08-27,10164,7997,200,32,0
new-orleans,United States,0,2026-08-15,7303,3988,200,29,0
new-york-city,United States,0,2026-08-10,30234,4249,200,37,0
san-diego,United States,0,2026-08-29,13342,8163,200,33,0
london,United Kingdom,0,2026-08-18,92783,50552,200,42,1
sydney,Australia,0,2026-08-15,20767,13358,200,37,0
mexico-city,Mexico,0,2026-08-30,30621,25149,200,40,1
barcelona,Spain,1,2026-08-23,16227,5716,200,35,2
paris,France,1,2026-08-15,78504,33730,200,42,2
rome,Italy,1,2026-08-25,37483,29614,200,38,0
