city,country,country_iso2,eea_flag,deadline,single_fee_pct,listing_id,listing_url,host_id,host_location,host_region_guess,geo_conflict,room_type,property_type,bedrooms,bedroom_bucket,accommodates,beds,host_class,calculated_host_listings_count,host_is_superhost,instant_bookable,license,minimum_nights,number_of_reviews_ltm,estimated_occupancy_l365d,stratum,stay_window,checkin,checkout,nights,adults,dump_date,dump_price
austin,United States,US,0,2026-09-15,15.5,207054,https://www.airbnb.com/rooms/207054,1018853,"Austin, TX",non_eea,0,Entire home/apt,Entire home,2.0,2,5,2.0,individual,1,t,,OL 2026 072586,2.0,6,36,Entire home/apt | 2 | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$268.00
austin,United States,US,0,2026-09-15,15.5,216473,https://www.airbnb.com/rooms/216473,1117367,"Austin, TX",non_eea,0,Entire home/apt,Entire rental unit,1.0,0-1,2,1.0,individual,1,f,,,2.0,0,0,Entire home/apt | 0-1 | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$548.00
austin,United States,US,0,2026-09-15,15.5,354263,https://www.airbnb.com/rooms/354263,1752493,"Austin, TX",non_eea,0,Entire home/apt,Entire guesthouse,1.0,0-1,3,6.0,small_multi,2,t,,OL 2019 060177,1.0,12,72,Entire home/apt | 0-1 | small_multi,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$298.00
austin,United States,US,0,2026-09-15,15.5,1935282,https://www.airbnb.com/rooms/1935282,4018268,"Austin, TX",non_eea,0,Entire home/apt,Entire cottage,1.0,0-1,4,2.0,small_multi,2,t,,OL 2015 107135,1.0,44,255,Entire home/apt | 0-1 | small_multi,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$194.00
austin,United States,US,0,2026-09-15,15.5,2284306,https://www.airbnb.com/rooms/2284306,11667920,"Austin, TX",non_eea,0,Entire home/apt,Entire home,5.0,3+,14,10.0,individual,1,t,,OL 2026 024152,2.0,15,90,Entire home/apt | 3+ | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$930.59
austin,United States,US,0,2026-09-15,15.5,2992224,https://www.airbnb.com/rooms/2992224,1634035,"Austin, TX",non_eea,0,Entire home/apt,Entire rental unit,2.0,2,4,2.0,individual,1,t,,OL-2014-128254,1.0,10,60,Entire home/apt | 2 | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$493.00
austin,United States,US,0,2026-09-15,15.5,3230604,https://www.airbnb.com/rooms/3230604,16350192,"Austin, TX",non_eea,0,Entire home/apt,Entire guest suite,2.0,2,2,2.0,individual,1,t,,Ol-2022-162740,1.0,83,255,Entire home/apt | 2 | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$247.64
austin,United States,US,0,2026-09-15,15.5,3386939,https://www.airbnb.com/rooms/3386939,17088289,"Austin, TX",non_eea,0,Entire home/apt,Entire guesthouse,1.0,0-1,4,2.0,small_multi,4,t,,OL 2019 178508,1.0,49,255,Entire home/apt | 0-1 | small_multi,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$422.00
austin,United States,US,0,2026-09-15,15.5,4340903,https://www.airbnb.com/rooms/4340903,22530745,"Austin, TX",non_eea,0,Private room,Private room in home,,unknown,2,1.0,individual,1,t,,,1.0,36,216,Private room | unknown | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$87.00
austin,United States,US,0,2026-09-15,15.5,10426783,https://www.airbnb.com/rooms/10426783,3867072,"Austin, TX",non_eea,0,Entire home/apt,Entire home,3.0,3+,6,3.0,small_multi,3,t,,OL 2023 125701,2.0,5,30,Entire home/apt | 3+ | small_multi,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$723.00
austin,United States,US,0,2026-09-15,15.5,10609096,https://www.airbnb.com/rooms/10609096,54743412,"Austin, TX",non_eea,0,Entire home/apt,Entire home,3.0,3+,7,3.0,individual,1,f,,,1.0,2,12,Entire home/apt | 3+ | individual,W1,2026-11-13,2026-11-16,3,2,2026-08-25,$740.00
