metric,label,n_years,t3_mean,t3_min,t3_max,t3_sd,t4_mean,t4_min,t4_max,t4_sd,t3_2022,t4_2022
nights_yoy_pct,Nights & seats y/y (%),3,-0.2533333333333336,-1.2600000000000016,1.1149999999999993,1.002748999279259,0.8733333333333334,-2.780000000000001,3.255000000000001,2.6227413563335267,-16.575,-21.505
adr_yoy_exfx_pct,ADR y/y ex-FX (%),3,-0.5,-2.0,1.0,1.224744871391589,-0.16666666666666666,-2.0,2.0,1.6499158227686108,5.0,-2.0
fx_pts_adr,FX contribution to ADR y/y (pts),3,2.216666666666667,-0.44999999999999996,4.4,2.0092840073574028,1.9166666666666667,-0.9500000000000001,3.8,2.0600701174690363,-1.5,0.09999999999999964
adr_yoy_reported_pct,ADR y/y reported (%),3,1.7166666666666668,-0.9500000000000002,3.7,1.958882901610564,1.75,-1.4500000000000002,4.9,2.592617724745912,1.6000000000000005,-3.8
gbv_yoy_exfx_pct,GBV y/y ex-FX (%),3,-0.8333333333333334,-3.5,3.0,2.778888666755511,0.8333333333333334,-4.5,4.0,3.793268892247014,-12.5,-26.5
gbv_yoy_reported_pct,GBV y/y reported (%),3,1.6666666666666667,-1.0,5.0,2.494438257849294,2.6666666666666665,-1.0,7.0,3.299831645537222,-16.0,-27.0
revenue_yoy_exfx_pct,Revenue y/y ex-FX (%),3,-4.166666666666667,-7.5,-0.5,2.8674417556808756,-3.1666666666666665,-7.5,0.5,3.299831645537222,-33.0,-38.0
fx_pts_revenue,FX contribution to revenue y/y (pts),3,2.5,0.0,6.5,2.857738033247041,2.5,0.0,5.5,2.273030282830976,-2.0,-2.0
revenue_yoy_reported_pct,Revenue y/y reported (%),3,-1.6666666666666667,-4.5,0.5,2.0949675149960894,-0.6666666666666666,-2.5,2.5,2.2484562605386733,-35.0,-40.0
take_rate_pct,"Implied take rate (level, %)",3,7.224999999999999,6.66,7.599999999999998,0.4065915231121598,2.8949999999999996,2.4000000000000004,3.3499999999999996,0.38886587233475045,7.914999999999999,3.5150000000000006
nights_yoy_na_pct,NA nights y/y (%),1,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,,
nights_yoy_emea_pct,EMEA nights y/y (%),1,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,,
nights_yoy_latam_pct,LatAm nights y/y (%),3,0.3333333333333333,-3.0,2.0,2.3570226039551585,0.6666666666666666,-2.0,4.0,2.494438257849294,,
nights_yoy_apac_pct,APAC nights y/y (%),3,-3.3333333333333335,-9.0,0.0,4.0276819911981905,-4.0,-14.0,2.0,7.118052168020874,,
adr_yoy_na_pct,NA ADR y/y (%),3,0.6666666666666666,-0.5,2.5,1.3123346456686351,1.0,-0.5,2.5,1.224744871391589,,
size_term_pp,Party-size / listing-size term in ADR (pts),3,0.022578868985707268,-0.0022202875526001753,0.04739620848800641,0.020255853767936104,-0.05362533400158296,-0.16108029491856057,0.12166799182635735,0.1250018165991766,-0.2843852601109762,-0.36546516251501726
unearned_fees_yoy_pct,Unearned fees y/y (%),3,-0.2233333333333345,-1.1600000000000037,1.084999999999999,0.9534527897186224,-0.6166666666666668,-2.5749999999999984,1.375,1.6127529947956136,-22.359999999999992,-28.349999999999994
unearned_cover_next_q_pct,Unearned fees / next-quarter revenue (%),3,-12.685709425417627,-13.345344255924886,-12.124326425119989,0.503296600684281,-11.231481204782284,-13.774218086421726,-8.275213160859977,2.263922821044975,-11.716940936455387,-10.859219517625817
adj_ebitda_margin_pct,"Adj. EBITDA margin (level, %)",3,26.900000000000002,24.05,30.3,2.5810204700208534,5.5,2.25,9.599999999999998,3.06022874961987,26.0,2.1000000000000014
