metric,label,year,q1,q2,h1_mean,q3,q4,t3,t4,q4_minus_q3
nights_yoy_pct,Nights & seats y/y (%),2022,58.54,24.79,41.665,25.09,20.16,-16.575,-21.505,-4.93
nights_yoy_pct,Nights & seats y/y (%),2023,18.61,10.99,14.8,13.54,12.02,-1.2600000000000016,-2.780000000000001,-1.5199999999999996
nights_yoy_pct,Nights & seats y/y (%),2024,9.5,8.69,9.094999999999999,8.48,12.35,-0.6149999999999984,3.255000000000001,3.869999999999999
nights_yoy_pct,Nights & seats y/y (%),2025,7.92,7.43,7.675,8.79,9.82,1.1149999999999993,2.1450000000000005,1.0300000000000011
nights_yoy_pct,Nights & seats y/y (%),2026,9.15,10.34,9.745000000000001,,,,,
adr_yoy_exfx_pct,ADR y/y ex-FX (%),2022,,7.0,7.0,12.0,5.0,5.0,-2.0,-7.0
adr_yoy_exfx_pct,ADR y/y ex-FX (%),2023,3.0,2.0,2.5,0.5,0.5,-2.0,-2.0,0.0
adr_yoy_exfx_pct,ADR y/y ex-FX (%),2024,2.0,3.0,2.5,2.0,2.0,-0.5,-0.5,0.0
adr_yoy_exfx_pct,ADR y/y ex-FX (%),2025,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0
adr_yoy_exfx_pct,ADR y/y ex-FX (%),2026,4.0,4.0,4.0,,,,,
fx_pts_adr,FX contribution to ADR y/y (pts),2022,,-5.6,-5.6,-7.1,-5.5,-1.5,0.09999999999999964,1.5999999999999996
fx_pts_adr,FX contribution to ADR y/y (pts),2023,-2.8,-0.6,-1.7,2.7,2.1,4.4,3.8,-0.6000000000000001
fx_pts_adr,FX contribution to ADR y/y (pts),2024,0.6,-0.9,-0.15000000000000002,-0.6,-1.1,-0.44999999999999996,-0.9500000000000001,-0.5000000000000001
fx_pts_adr,FX contribution to ADR y/y (pts),2025,-1.9,1.9,0.0,2.7,2.9,2.7,2.9,0.19999999999999973
fx_pts_adr,FX contribution to ADR y/y (pts),2026,5.0,1.3,3.15,,,,,
adr_yoy_reported_pct,ADR y/y reported (%),2022,5.2,1.4,3.3,4.9,-0.5,1.6000000000000005,-3.8,-5.4
adr_yoy_reported_pct,ADR y/y reported (%),2023,0.2,1.4,0.7999999999999999,3.2,2.6,2.4000000000000004,1.8000000000000003,-0.6000000000000001
adr_yoy_reported_pct,ADR y/y reported (%),2024,2.6,2.1,2.35,1.4,0.9,-0.9500000000000002,-1.4500000000000002,-0.4999999999999999
adr_yoy_reported_pct,ADR y/y reported (%),2025,-0.9,2.9,1.0,4.7,5.9,3.7,4.9,1.2000000000000002
adr_yoy_reported_pct,ADR y/y reported (%),2026,9.0,5.3,7.15,,,,,
gbv_yoy_exfx_pct,GBV y/y ex-FX (%),2022,71.0,34.0,52.5,40.0,26.0,-12.5,-26.5,-14.0
gbv_yoy_exfx_pct,GBV y/y ex-FX (%),2023,22.0,13.0,17.5,14.0,13.0,-3.5,-4.5,-1.0
gbv_yoy_exfx_pct,GBV y/y ex-FX (%),2024,,12.0,12.0,10.0,15.0,-2.0,3.0,5.0
gbv_yoy_exfx_pct,GBV y/y ex-FX (%),2025,9.0,9.0,9.0,12.0,13.0,3.0,4.0,1.0
gbv_yoy_exfx_pct,GBV y/y ex-FX (%),2026,13.0,15.0,14.0,,,,,
gbv_yoy_reported_pct,GBV y/y reported (%),2022,67.0,27.0,47.0,31.0,20.0,-16.0,-27.0,-11.0
gbv_yoy_reported_pct,GBV y/y reported (%),2023,19.0,13.0,16.0,17.0,15.0,1.0,-1.0,-2.0
gbv_yoy_reported_pct,GBV y/y reported (%),2024,,11.0,11.0,10.0,13.0,-1.0,2.0,3.0
gbv_yoy_reported_pct,GBV y/y reported (%),2025,7.0,11.0,9.0,14.0,16.0,5.0,7.0,2.0
gbv_yoy_reported_pct,GBV y/y reported (%),2026,19.0,16.0,17.5,,,,,
revenue_yoy_exfx_pct,Revenue y/y ex-FX (%),2022,74.0,64.0,69.0,36.0,31.0,-33.0,-38.0,-5.0
revenue_yoy_exfx_pct,Revenue y/y ex-FX (%),2023,24.0,19.0,21.5,14.0,14.0,-7.5,-7.5,0.0
revenue_yoy_exfx_pct,Revenue y/y ex-FX (%),2024,18.0,11.0,14.5,10.0,12.0,-4.5,-2.5,2.0
revenue_yoy_exfx_pct,Revenue y/y ex-FX (%),2025,8.0,13.0,10.5,10.0,11.0,-0.5,0.5,1.0
revenue_yoy_exfx_pct,Revenue y/y ex-FX (%),2026,15.0,13.0,14.0,,,,,
fx_pts_revenue,FX contribution to revenue y/y (pts),2022,-4.0,-6.0,-5.0,-7.0,-7.0,-2.0,-2.0,0.0
fx_pts_revenue,FX contribution to revenue y/y (pts),2023,-4.0,-1.0,-2.5,4.0,3.0,6.5,5.5,-1.0
fx_pts_revenue,FX contribution to revenue y/y (pts),2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fx_pts_revenue,FX contribution to revenue y/y (pts),2025,-2.0,0.0,-1.0,0.0,1.0,1.0,2.0,1.0
fx_pts_revenue,FX contribution to revenue y/y (pts),2026,3.0,4.0,3.5,,,,,
revenue_yoy_reported_pct,Revenue y/y reported (%),2022,70.0,58.0,64.0,29.0,24.0,-35.0,-40.0,-5.0
revenue_yoy_reported_pct,Revenue y/y reported (%),2023,20.0,18.0,19.0,18.0,17.0,-1.0,-2.0,-1.0
revenue_yoy_reported_pct,Revenue y/y reported (%),2024,18.0,11.0,14.5,10.0,12.0,-4.5,-2.5,2.0
revenue_yoy_reported_pct,Revenue y/y reported (%),2025,6.0,13.0,9.5,10.0,12.0,0.5,2.5,2.0
revenue_yoy_reported_pct,Revenue y/y reported (%),2026,18.0,17.0,17.5,,,,,
take_rate_pct,"Implied take rate (level, %)",2022,8.77,12.38,10.575,18.49,14.09,7.914999999999999,3.5150000000000006,-4.399999999999999
take_rate_pct,"Implied take rate (level, %)",2023,8.91,13.01,10.96,18.56,14.31,7.599999999999998,3.3499999999999996,-4.249999999999998
take_rate_pct,"Implied take rate (level, %)",2024,9.35,12.96,11.155000000000001,18.57,14.09,7.414999999999999,2.9349999999999987,-4.48
take_rate_pct,"Implied take rate (level, %)",2025,9.27,13.17,11.219999999999999,17.88,13.62,6.66,2.4000000000000004,-4.26
take_rate_pct,"Implied take rate (level, %)",2026,9.17,13.26,11.215,,,,,
nights_yoy_na_pct,NA nights y/y (%),2025,2.0,2.0,2.0,5.0,5.0,3.0,3.0,0.0
nights_yoy_na_pct,NA nights y/y (%),2026,8.0,8.0,8.0,,,,,
nights_yoy_emea_pct,EMEA nights y/y (%),2025,5.0,5.0,5.0,5.0,8.0,0.0,3.0,3.0
nights_yoy_emea_pct,EMEA nights y/y (%),2026,5.0,8.0,6.5,,,,,
nights_yoy_latam_pct,LatAm nights y/y (%),2023,,22.0,22.0,24.0,22.0,2.0,0.0,-2.0
nights_yoy_latam_pct,LatAm nights y/y (%),2024,19.0,17.0,18.0,15.0,22.0,-3.0,4.0,7.0
nights_yoy_latam_pct,LatAm nights y/y (%),2025,22.0,18.0,20.0,22.0,18.0,2.0,-2.0,-4.0
nights_yoy_latam_pct,LatAm nights y/y (%),2026,18.0,20.0,19.0,,,,,
nights_yoy_apac_pct,APAC nights y/y (%),2023,48.0,24.0,36.0,27.0,22.0,-9.0,-14.0,-5.0
nights_yoy_apac_pct,APAC nights y/y (%),2024,21.0,19.0,20.0,19.0,22.0,-1.0,2.0,3.0
nights_yoy_apac_pct,APAC nights y/y (%),2025,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
nights_yoy_apac_pct,APAC nights y/y (%),2026,18.0,18.0,18.0,,,,,
adr_yoy_na_pct,NA ADR y/y (%),2023,,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0
adr_yoy_na_pct,NA ADR y/y (%),2024,3.0,4.0,3.5,3.0,3.0,-0.5,-0.5,0.0
adr_yoy_na_pct,NA ADR y/y (%),2025,2.0,3.0,2.5,5.0,5.0,2.5,2.5,0.0
adr_yoy_na_pct,NA ADR y/y (%),2026,7.0,7.0,7.0,,,,,
