metric,label,year,quarter,h1_mean,expected_transition,actual_transition,deviation_pts,implied_by_pattern,actual,threshold_pts,flag,events_in_quarter
adj_ebitda_margin_pct,"Adj. EBITDA margin (level, %)",2022,3Q22,24.5,26.900000000000002,26.0,-0.9000000000000021,51.400000000000006,50.5,1.5,False,USD surge (DXY peak Sep 2022)
adj_ebitda_margin_pct,"Adj. EBITDA margin (level, %)",2022,4Q22,24.5,5.5,2.1000000000000014,-3.3999999999999986,30.0,26.6,1.5,True,USD strength persists; Q4 nights guide cut to ~20% from 25%
adj_ebitda_margin_pct,"Adj. EBITDA margin (level, %)",2023,3Q23,23.7,25.200000000000003,30.3,5.099999999999998,48.900000000000006,54.0,1.5,True,"NYC Local Law 18 in force (5 Sep 2023) | Israel-Gaza war (7 Oct, after quarter end)"
adj_ebitda_margin_pct,"Adj. EBITDA margin (level, %)",2023,4Q23,23.7,3.450000000000001,9.599999999999998,6.149999999999997,27.15,33.3,1.5,True,
adj_ebitda_margin_pct,"Adj. EBITDA margin (level, %)",2024,3Q24,26.15,27.175,26.35,-0.8249999999999993,53.325,52.5,1.5,False,Paris Summer Olympics (26 Jul-11 Aug) | Hurricanes Helene (26 Sep) and Milton (9 Oct)
adj_ebitda_margin_pct,"Adj. EBITDA margin (level, %)",2024,4Q24,26.15,5.924999999999999,4.650000000000002,-1.2749999999999968,32.074999999999996,30.8,1.5,False,"US election week (5 Nov) softness, then nights accelerate to +12%"
adj_ebitda_margin_pct,"Adj. EBITDA margin (level, %)",2025,3Q25,26.05,28.325000000000003,24.05,-4.275000000000002,54.375,50.1,1.5,True,Paris Olympics lap in EMEA; RNPL launch lengthens NA lead times
adj_ebitda_margin_pct,"Adj. EBITDA margin (level, %)",2025,4Q25,26.05,7.125,2.25,-4.875,33.175,28.3,1.5,True,US federal shutdown (1 Oct-12 Nov 2025) and FAA flight cuts; new cancellation policies (Oct)
adr_yoy_exfx_pct,ADR y/y ex-FX (%),2022,3Q22,7.0,-0.5,5.0,5.5,6.5,12.0,1.0,True,USD surge (DXY peak Sep 2022)
adr_yoy_exfx_pct,ADR y/y ex-FX (%),2022,4Q22,7.0,-0.16666666666666666,-2.0,-1.8333333333333333,6.833333333333333,5.0,1.0,True,USD strength persists; Q4 nights guide cut to ~20% from 25%
adr_yoy_exfx_pct,ADR y/y ex-FX (%),2023,3Q23,2.5,0.25,-2.0,-2.25,2.75,0.5,1.0,True,"NYC Local Law 18 in force (5 Sep 2023) | Israel-Gaza war (7 Oct, after quarter end)"
adr_yoy_exfx_pct,ADR y/y ex-FX (%),2023,4Q23,2.5,0.75,-2.0,-2.75,3.25,0.5,1.0,True,
adr_yoy_exfx_pct,ADR y/y ex-FX (%),2024,3Q24,2.5,-0.5,-0.5,0.0,2.0,2.0,1.0,False,Paris Summer Olympics (26 Jul-11 Aug) | Hurricanes Helene (26 Sep) and Milton (9 Oct)
adr_yoy_exfx_pct,ADR y/y ex-FX (%),2024,4Q24,2.5,0.0,-0.5,-0.5,2.5,2.0,1.0,False,"US election week (5 Nov) softness, then nights accelerate to +12%"
adr_yoy_exfx_pct,ADR y/y ex-FX (%),2025,3Q25,1.0,-1.25,1.0,2.25,-0.25,2.0,1.0,True,Paris Olympics lap in EMEA; RNPL launch lengthens NA lead times
adr_yoy_exfx_pct,ADR y/y ex-FX (%),2025,4Q25,1.0,-1.25,2.0,3.25,-0.25,3.0,1.0,True,US federal shutdown (1 Oct-12 Nov 2025) and FAA flight cuts; new cancellation policies (Oct)
adr_yoy_na_pct,NA ADR y/y (%),2023,3Q23,-1.0,1.0,0.0,-1.0,0.0,-1.0,1.0,True,"NYC Local Law 18 in force (5 Sep 2023) | Israel-Gaza war (7 Oct, after quarter end)"
adr_yoy_na_pct,NA ADR y/y (%),2023,4Q23,-1.0,1.0,1.0,0.0,0.0,0.0,1.0,False,
adr_yoy_na_pct,NA ADR y/y (%),2024,3Q24,3.5,1.25,-0.5,-1.75,4.75,3.0,1.0,True,Paris Summer Olympics (26 Jul-11 Aug) | Hurricanes Helene (26 Sep) and Milton (9 Oct)
adr_yoy_na_pct,NA ADR y/y (%),2024,4Q24,3.5,1.75,-0.5,-2.25,5.25,3.0,1.0,True,"US election week (5 Nov) softness, then nights accelerate to +12%"
adr_yoy_na_pct,NA ADR y/y (%),2025,3Q25,2.5,-0.25,2.5,2.75,2.25,5.0,1.0,True,Paris Olympics lap in EMEA; RNPL launch lengthens NA lead times
adr_yoy_na_pct,NA ADR y/y (%),2025,4Q25,2.5,0.25,2.5,2.25,2.75,5.0,1.0,True,US federal shutdown (1 Oct-12 Nov 2025) and FAA flight cuts; new cancellation policies (Oct)
adr_yoy_reported_pct,ADR y/y reported (%),2022,3Q22,3.3,1.7166666666666668,1.6000000000000005,-0.11666666666666625,5.016666666666667,4.9,1.0,False,USD surge (DXY peak Sep 2022)
adr_yoy_reported_pct,ADR y/y reported (%),2022,4Q22,3.3,1.75,-3.8,-5.55,5.05,-0.5,1.0,True,USD strength persists; Q4 nights guide cut to ~20% from 25%
adr_yoy_reported_pct,ADR y/y reported (%),2023,3Q23,0.7999999999999999,1.375,2.4000000000000004,1.0250000000000004,2.175,3.2,1.0,True,"NYC Local Law 18 in force (5 Sep 2023) | Israel-Gaza war (7 Oct, after quarter end)"
adr_yoy_reported_pct,ADR y/y reported (%),2023,4Q23,0.7999999999999999,1.725,1.8000000000000003,0.07500000000000018,2.525,2.6,1.0,False,
adr_yoy_reported_pct,ADR y/y reported (%),2024,3Q24,2.35,3.0500000000000003,-0.9500000000000002,-4.0,5.4,1.4,1.0,True,Paris Summer Olympics (26 Jul-11 Aug) | Hurricanes Helene (26 Sep) and Milton (9 Oct)
adr_yoy_reported_pct,ADR y/y reported (%),2024,4Q24,2.35,3.3500000000000005,-1.4500000000000002,-4.800000000000001,5.700000000000001,0.9,1.0,True,"US election week (5 Nov) softness, then nights accelerate to +12%"
adr_yoy_reported_pct,ADR y/y reported (%),2025,3Q25,1.0,0.7250000000000001,3.7,2.975,1.725,4.7,1.0,True,Paris Olympics lap in EMEA; RNPL launch lengthens NA lead times
