metric,label,h1_2026,q1_2026,q2_2026,q3_pattern,q3_low,q3_high,q4_pattern,q4_low,q4_high,q3_adjusted,q4_adjusted,q3_guide_text,q3_guide_low,q3_guide_high
nights_yoy_pct,Nights & seats y/y (%),9.745000000000001,9.15,10.34,9.491666666666667,8.485,10.86,10.618333333333334,6.965,13.000000000000002,8.491666666666667,8.118333333333334,low double digits,10.0,12.0
adr_yoy_exfx_pct,ADR y/y ex-FX (%),4.0,4.0,4.0,3.5,2.0,5.0,3.8333333333333335,2.0,6.0,3.013626689188728,3.3469600225220613,,,
fx_pts_adr,FX contribution to ADR y/y (pts),3.15,5.0,1.3,5.366666666666667,2.7,7.550000000000001,5.066666666666666,2.1999999999999997,6.949999999999999,1.1237308725051616,2.0953670576073185,,,
adr_yoy_reported_pct,ADR y/y reported (%),7.15,9.0,5.3,8.866666666666667,6.2,10.850000000000001,8.9,5.7,12.05,4.137357561693889,5.442327080129379,,,
gbv_yoy_reported_pct,GBV y/y reported (%),17.5,19.0,16.0,19.166666666666668,16.5,22.5,20.166666666666668,16.5,24.5,12.98035484130773,14.002486666917875,mid teens,14.0,16.0
revenue_yoy_exfx_pct,Revenue y/y ex-FX (%),14.0,15.0,13.0,9.833333333333332,6.5,13.5,10.833333333333334,6.5,14.5,9.833333333333332,10.833333333333334,,,
fx_pts_revenue,FX contribution to revenue y/y (pts),3.5,3.0,4.0,6.0,3.5,10.0,6.0,3.5,9.0,3.0,2.0,~3,3.0,3.0
revenue_yoy_reported_pct,Revenue y/y reported (%),17.5,18.0,17.0,15.833333333333334,13.0,18.0,16.833333333333332,15.0,20.0,12.833333333333332,12.833333333333334,15-17% incl ~3 pts FX,15.0,17.0
take_rate_pct,"Implied take rate (level, %)",11.215,9.17,13.26,17.875,17.875,17.875,13.615,13.615,13.615,17.875,13.615,in line y/y (3Q25 17.9),17.9,17.9
nights_yoy_na_pct,NA nights y/y (%),8.0,8.0,8.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,,
nights_yoy_emea_pct,EMEA nights y/y (%),6.5,5.0,8.0,6.5,6.5,6.5,9.5,9.5,9.5,6.5,9.5,,,
nights_yoy_latam_pct,LatAm nights y/y (%),19.0,18.0,20.0,19.333333333333332,16.0,21.0,19.666666666666668,17.0,23.0,19.333333333333332,19.666666666666668,,,
nights_yoy_apac_pct,APAC nights y/y (%),18.0,18.0,18.0,14.666666666666666,9.0,18.0,14.0,4.0,20.0,14.666666666666666,14.0,,,
adj_ebitda_margin_pct,"Adj. EBITDA margin (level, %)",27.2,19.4,35.0,54.1,51.25,57.5,32.7,29.45,36.8,54.1,32.7,down slightly vs 50.1,48.5,49.9
