basis,bucket_word,prob,n_estimator,guided_mid_mu_pp,guided_mid_sd_pp
estimated | frozen card 3Q26 nights +10.2%,other (<=6.5: mid-single-digit or lower),0.2011388847243888,3.0,8.547710000600873,2.4448512116041115
estimated | frozen card 3Q26 nights +10.2%,high single digit (7-9),0.45041105351811905,3.0,8.547710000600873,2.4448512116041115
estimated | frozen card 3Q26 nights +10.2%,low double digit (10-12),0.29546524128144425,3.0,8.547710000600873,2.4448512116041115
estimated | frozen card 3Q26 nights +10.2%,other (>12.5: teens),0.05298482047604791,3.0,8.547710000600873,2.4448512116041115
estimated | 3Q26 guide mid 11.0 + nights-bucket conservatism,other (<=6.5: mid-single-digit or lower),0.025785746275091306,3.0,12.332710000600873,2.996213851994228
estimated | 3Q26 guide mid 11.0 + nights-bucket conservatism,high single digit (7-9),0.14643398916839842,3.0,12.332710000600873,2.996213851994228
estimated | 3Q26 guide mid 11.0 + nights-bucket conservatism,low double digit (10-12),0.35004315960334137,3.0,12.332710000600873,2.996213851994228
estimated | 3Q26 guide mid 11.0 + nights-bucket conservatism,other (>12.5: teens),0.4777371049531689,3.0,12.332710000600873,2.996213851994228
declared (chief of staff judgement),other (<=6.5: mid-single-digit or lower),0.05,,,
declared (chief of staff judgement),high single digit (7-9),0.4,,,
declared (chief of staff judgement),low double digit (10-12),0.55,,,
declared (chief of staff judgement),other (>12.5: teens),0.0,,,
