print_quarter,print_date,reaction_date,next_q_guide_mid_musd,next_q_cons_revenue_musd,next_q_cons_vendor,guide_vs_street_pct,guide_vs_street_sign,excess_1d_pct,excess_20d_pct,excess_exec_5d_pct,excess_exec_20d_pct,abnb_exec_20d_pct
2021Q3,2021-11-04,2021-11-05,1435.0,,,,-1.0,12.9,-2.8,-2.9577502143873775,-13.44902884725895,-17.345132743362836
2021Q4,2022-02-15,2022-02-16,1445.0,1240.0,CNBC unattributed,16.532,1.0,3.7,-9.1,-12.094594594594607,-12.105791505791506,-16.50579150579151
2022Q1,2022-05-03,2022-05-04,2080.0,1960.0,CNBC unattributed,6.122,1.0,4.3,-15.5,-16.82596725268448,-18.09866579024405,-25.255338904363978
2022Q2,2022-08-02,2022-08-03,2830.0,2770.0,StreetAccount,2.166,1.0,-3.9,1.0,1.2471165291428665,4.59524093165029,-2.123356926188069
2022Q3,2022-11-01,2022-11-02,1840.0,1850.0,Refinitiv,-0.541,-1.0,-10.0,-13.0,3.2851357231314937,-2.1533525549993087,8.1986143187067
2022Q4,2023-02-14,2023-02-15,1785.0,1690.0,Refinitiv,5.621,1.0,12.6,-3.5,-2.369929453262765,-13.833774250440912,-17.107583774250436
2023Q1,2023-05-09,2023-05-10,2400.0,2420.0,Refinitiv,-0.826,-1.0,-12.0,-16.7,-7.439711989662534,-4.40141607302833,2.9180695847362603
2023Q2,2023-08-03,2023-08-04,3350.0,3220.0,Refinitiv,4.037,1.0,-0.0,-7.7,-2.1105527638190957,-7.738693467336688,-6.130653266331665
2023Q3,2023-11-01,2023-11-02,2150.0,2180.0,LSEG,-1.376,-1.0,-5.1,-3.2,-0.7908322379180932,2.4360883619157336,9.41054808686661
2023Q4,2024-02-13,2024-02-14,2050.0,2030.0,LSEG,0.985,1.0,-2.8,6.5,2.4925212288428478,9.505913084252281,11.088504577822999
2024Q1,2024-05-08,2024-05-09,2710.0,2740.0,LSEG,-1.095,-1.0,-7.1,-12.2,-3.5539018632981034,-5.089820359281427,0.0
2024Q2,2024-08-06,2024-08-07,3700.0,3840.0,LSEG,-3.646,-1.0,-12.3,-16.5,-2.905867545307861,-4.002573341397397,1.9630484988452768
2024Q3,2024-11-07,2024-11-08,2415.0,2420.0,LSEG,-0.207,-1.0,-8.8,-9.6,0.9990009990009874,-0.6451379945355828,1.7524644030668224
2024Q4,2025-02-13,2025-02-14,2250.0,2300.0,LSEG,-2.174,-1.0,14.0,-2.4,-7.249324380798495,-13.00706265845709,-23.863636363636374
2025Q1,2025-05-01,2025-05-02,3020.0,3040.0,LSEG,-0.658,-1.0,-0.5,-3.7,0.989611276398561,-3.2365995220211774,2.970297029702973
2025Q2,2025-08-06,2025-08-07,4060.0,4050.0,LSEG,0.247,1.0,-8.4,-5.3,1.701634227751514,3.359811868741569,4.456521739130426
2025Q3,2025-11-06,2025-11-07,2690.0,2670.0,LSEG,0.749,1.0,0.6,0.9,0.40000360003239477,0.18380165421489902,2.791625124626118
2025Q4,2026-02-12,2026-02-13,2610.0,2530.0,LSEG,3.162,1.0,4.4,10.1,4.251725993519639,5.508104250390222,4.110898661567863
2026Q1,2026-05-07,2026-05-08,3570.0,3460.0,LSEG,3.179,1.0,-1.6,-6.4,-6.732539865127896,-4.779058807312642,-5.561072492552133
