guide_date,target_quarter,window,c_mean_pct,c_median_pct,c_sd_pp,n_cushion,c_mean_boot_lo,c_mean_boot_hi,c_sd_boot_lo,c_sd_boot_hi,window_quarters
2021-11-04,2021Q4,OUT,,,,0,,,,,
2022-02-15,2022Q1,OUT,6.759581881533094,6.759581881533094,,1,6.759581881533094,6.759581881533094,,,2021Q4
2022-05-03,2022Q2,OUT,5.594323812738866,5.594323812738866,1.6479237645534786,2,5.594323812738866,5.594323812738866,1.6479237645534786,1.6479237645534786,"2021Q4,2022Q1"
2022-08-02,2022Q3,OUT,4.114164593107961,4.429065743944638,2.8161037468930665,3,4.114164593107961,4.114164593107961,2.8161037468930665,2.8161037468930665,"2021Q4,2022Q1,2022Q2"
2022-11-01,2022Q4,OUT,3.562655246951113,3.168596476212604,2.5502177249083773,4,3.562655246951113,3.562655246951113,2.5502177249083773,2.5502177249083773,"2021Q4,2022Q1,2022Q2,2022Q3"
2023-02-14,2023Q1,W1,3.524037241039153,3.3695652173913127,2.2102408432636307,5,3.0579340135214617,4.202040573867509,1.483637819504236,2.6309267976717976,"2021Q4,2022Q1,2022Q2,2022Q3,2022Q4"
2023-05-09,2023Q2,W1,3.2448209501656797,2.6388462129359413,2.0918656961476807,6,1.890375239640511,4.239878102213697,0.8093598678809399,2.3549969688036025,"2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1"
2023-08-03,2023Q3,W1,3.28127510014201,3.3695652173913127,1.9120375024964849,7,2.101688093604911,3.7990163953040477,0.8217927884223145,2.445851368112303,"2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2"
2023-11-01,2023Q4,W1,3.0464888469526166,2.6388462129359413,1.8906650835911063,8,2.0700695188790865,3.562655246951113,0.8336654133316439,2.361042828516403,"2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3"
2024-02-13,2024Q1,W1|W2,2.5968899489702824,2.5354589530774962,1.173009200589284,8,2.0700695188790865,2.7151510809156676,0.8336654133316439,1.3580155627276322,"2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4"
2024-05-08,2024Q2,W1|W2,2.604232340733301,2.5354589530774962,1.1862253418937982,8,2.0700695188790865,3.138395162587515,0.8336654133316439,1.190906971795524,"2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1"
2024-08-06,2024Q3,W1|W2,2.63527832427006,2.5354589530774962,1.1453902051657558,8,2.478628817024897,3.138395162587515,0.8336654133316439,1.3884522056620803,"2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2"
2024-11-07,2024Q4,W1|W2,2.5048705313180957,2.5057650967363676,1.2902378843218878,8,2.478628817024897,3.138395162587515,0.9358031828940435,1.5369511872475223,"2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3"
2025-02-13,2025Q1,W1|W2,2.420113802539628,2.2701254414809413,1.2468626268322773,8,2.3615987880543585,3.138395162587515,0.9358031828940435,1.5369511872475223,"2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4"
2025-05-01,2025Q2,W1|W2,2.3112435877870654,2.0472482308952156,1.3385337229316614,8,1.4840920129866153,3.138395162587515,0.7754007104659765,1.5369511872475223,"2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1"
2025-08-06,2025Q3,W1|W2,2.188313124210908,1.959770683008799,1.2564021194131147,8,1.4840920129866153,2.613948668122573,0.7754007104659765,1.5369511872475223,"2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2"
2025-11-06,2025Q4,W1|W2,2.120698610572205,1.9593851567654808,1.3177596595862007,8,1.4840920129866153,2.479418615682072,0.7754007104659765,1.5369511872475223,"2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3"
2026-02-12,2026Q1,W1|W2,2.134271706448401,1.9593851567654808,1.3305241242330783,8,1.4840920129866153,2.3615987880543585,0.7754007104659765,1.4919044613297594,"2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4"
2026-05-07,2026Q2,W1|W2,1.8989665947765937,1.9593851567654808,0.9733537527768235,8,1.4840920129866153,2.313841176566572,0.7754007104659765,1.0939331494117663,"2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1"
2026-08-06,2026Q3,LIVE,1.8567430632975808,1.7904910308494282,1.004799578644722,8,1.7619786054623388,2.313841176566572,0.9028843817463009,1.0939331494117663,"2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2"
