quarter,season,revenue_musd,gbv_lag1,gbv_lag2,base_musd,lambda_pct,weight_w
2021Q1,1,887.0,5905.7,8029.3,6613.5666666666675,13.411825187619387,0.6666666666666666
2021Q2,2,1335.0,10300.0,5905.7,8835.233333333334,15.109957480843743,0.6666666666666666
2021Q3,3,2237.0,13400.0,10300.0,12366.666666666666,18.088948787061994,0.6666666666666666
2021Q4,4,1532.0,11900.0,13400.0,12400.0,12.35483870967742,0.6666666666666666
2022Q1,1,1509.0,11300.0,11900.0,11500.0,13.121739130434783,0.6666666666666666
2022Q2,2,2104.0,17200.0,11300.0,15233.333333333332,13.811816192560176,0.6666666666666666
2022Q3,3,2884.0,17000.0,17200.0,17066.666666666664,16.898437500000004,0.6666666666666666
2022Q4,4,1902.0,15600.0,17000.0,16066.666666666668,11.83817427385892,0.6666666666666666
2023Q1,1,1818.0,13500.0,15600.0,14200.0,12.80281690140845,0.6666666666666666
2023Q2,2,2484.0,20400.0,13500.0,18100.0,13.723756906077348,0.6666666666666666
2023Q3,3,3397.0,19100.0,20400.0,19533.333333333332,17.390784982935156,0.6666666666666666
2023Q4,4,2218.0,18300.0,19100.0,18566.666666666668,11.946140035906643,0.6666666666666666
2024Q1,1,2142.0,15500.0,18300.0,16433.333333333332,13.03448275862069,0.6666666666666666
2024Q2,2,2748.0,22900.0,15500.0,20433.333333333332,13.448613376835237,0.6666666666666666
2024Q3,3,3732.0,21200.0,22900.0,21766.666666666664,17.145482388973967,0.6666666666666666
2024Q4,4,2480.0,20100.0,21200.0,20466.666666666668,12.117263843648209,0.6666666666666666
2025Q1,1,2272.0,17600.0,20100.0,18433.333333333332,12.325497287522605,0.6666666666666666
2025Q2,2,3096.0,24500.0,17600.0,22200.0,13.945945945945946,0.6666666666666666
2025Q3,3,4095.0,23500.0,24500.0,23833.333333333336,17.18181818181818,0.6666666666666666
2025Q4,4,2778.0,22900.0,23500.0,23100.0,12.025974025974026,0.6666666666666666
2026Q1,1,2678.0,20400.0,22900.0,21233.333333333336,12.612244897959183,0.6666666666666666
2026Q2,2,3608.0,29200.0,20400.0,26266.666666666664,13.736040609137056,0.6666666666666666
