price,cdf_dec15_rn,cdf_dec15_rw,cdf_feb12_interp,cdf_feb12_rn,cdf_feb12_rw
60.0,8.725447864881397e-07,7.336922647276998e-07,0.0,5e-06,4e-06
60.25,9.613328447012297e-07,8.088884750128905e-07,0.0,6e-06,4e-06
60.5,1.0583379582912908e-06,8.911003768358045e-07,0.0,8e-06,5e-06
60.75,1.1642412296699903e-06,9.809149642262303e-07,0.0,8e-06,5e-06
61.0,1.2797731948346055e-06,1.078962318054596e-06,0.0,9e-06,6e-06
61.25,1.405716851061274e-06,1.1859182836767083e-06,0.0,1e-05,8e-06
61.5,1.542910830296734e-06,1.302507280217443e-06,0.0,1e-05,8e-06
61.75,1.6922527227809255e-06,1.4295052457736144e-06,0.0,1.1e-05,9e-06
62.0,1.8547025554372808e-06,1.567742722831786e-06,0.0,1.2e-05,1e-05
62.25,2.0312864295616753e-06,1.7181080882068895e-06,0.0,1.4e-05,1e-05
62.5,2.223100322329118e-06,1.881550931808055e-06,0.0,1.6e-05,1.1e-05
62.75,2.431314056613251e-06,2.059085588533989e-06,0.0,1.8e-05,1.2e-05
63.0,2.6571754435847366e-06,2.2517948275844067e-06,0.0,2.1e-05,1.3e-05
63.25,2.9020146025117643e-06,2.460833703452975e-06,0.0,2.5e-05,1.6e-05
63.5,3.167248462136832e-06,2.687433572836075e-06,0.0,3e-05,1.7e-05
63.75,3.454385447943772e-06,2.9329062816516806e-06,0.0,3.9e-05,2e-05
64.0,3.765030359557415e-06,3.1986485263144494e-06,0.0,4.4e-05,2.5e-05
64.25,4.100889442439603e-06,3.486146393354313e-06,0.0,4.9e-05,3e-05
64.5,4.463775657950605e-06,3.7969800813993827e-06,0.0,5.5e-05,3.8e-05
64.75,4.855614155747358e-06,4.1328288094648985e-06,0.0,6e-05,4.4e-05
65.0,5.2784479523718725e-06,4.495475915405185e-06,0.0,6.7e-05,4.7e-05
65.25,5.734443819764175e-06,4.886814148285093e-06,0.0,7.1e-05,5.5e-05
65.5,6.2258983872936716e-06,5.3088511583233745e-06,0.0,8.1e-05,6e-05
65.75,6.755244460761431e-06,5.76371518793901e-06,0.0,9.1e-05,6.6e-05
66.0,7.325057561664213e-06,6.253660967306054e-06,0.0,0.000104,7e-05
66.25,7.938062689843059e-06,6.781075817682475e-06,0.0,0.000113,7.8e-05
66.5,8.597141312459034e-06,7.348485965627598e-06,0.0,0.000125,8.9e-05
66.75,9.305338582046306e-06,7.95856307106522e-06,0.0,0.000133,0.000103
67.0,1.0065870786188564e-05,8.61413097197655e-06,0.0,0.000153,0.000111
67.25,1.0882133031151364e-05,9.318172648326575e-06,0.0,0.000173,0.00012
67.5,1.1757707161574106e-05,1.007383740763334e-05,0.0,0.000195,0.000131
67.75,1.2696369918091635e-05,1.088444829439138e-05,0.0,0.000221,0.000149
68.0,1.3702101334505162e-05,1.1753509725338738e-05,0.0,0.000235,0.000167
68.25,1.4779093375860475e-05,1.2684715352345464e-05,0.0,0.000257,0.000186
68.5,1.593175881852819e-05,1.3681956154451838e-05,0.0,0.000274,0.000214
68.75,1.7164740373091245e-05,1.4749328760355623e-05,0.0,0.0003,0.000229
69.0,1.8482920050563225e-05,1.5891144002383e-05,0.0,0.000322,0.00025
69.25,1.9891428772152193e-05,1.711193570271409e-05,0.0,0.000352,0.000269
69.5,2.139565622248185e-05,1.8416469692367514e-05,0.0,0.000378,0.000288
69.75,2.300126094585332e-05,1.980975306315788e-05,0.0,0.000407,0.000313
70.0,2.4714180684811166e-05,2.129704365254856e-05,0.0,0.000436,0.000338
70.25,2.654064295993015e-05,2.2883859761025348e-05,0.0,0.000472,0.000362
70.5,2.848717588940487e-05,2.4575990101302277e-05,0.0,0.000503,0.000396
70.75,3.056061924665588e-05,2.6379503978354135e-05,0.0,0.00054,0.000423
71.0,3.276813575381629e-05,2.830076169894939e-05,0.0,0.000571,0.000454
71.25,3.511722260859024e-05,3.0346425209012715e-05,0.0,0.00061,0.000493
71.5,3.761572324159939e-05,3.252346895682041e-05,0.0,0.000643,0.000529
71.75,4.027183930095375e-05,3.483919097967572e-05,0.0,0.000694,0.000557
72.0,4.309414286039109e-05,3.730122421135898e-05,0.000546,0.000738,0.000589
72.25,4.6091588846952714e-05,3.9917548007290856e-05,0.000575,0.000768,0.000626
72.5,4.927352768374509e-05,4.2696499883991154e-05,0.00061,0.000814,0.000669
72.75,5.264971814296118e-05,4.5646787469026154e-05,0.000645,0.000859,0.000718
73.0,5.6230340403907775e-05,4.877750065728941e-05,0.000681,0.000922,0.000753
73.25,6.00260093104094e-05,5.209812396906157e-05,0.000708,0.000956,0.000784
73.5,6.404778782151372e-05,5.561854910494548e-05,0.000732,0.001013,0.000835
73.75,6.830720064906108e-05,5.934908769234636e-05,0.000761,0.001062,0.000887
74.0,7.281624807521548e-05,6.330048421783721e-05,0.000796,0.001119,0.000934
74.25,7.758741994270682e-05,6.748392913931081e-05,0.00084,0.001188,0.000981
74.5,8.263370981007148e-05,7.19110721714779e-05,0.000881,0.00125,0.001027
74.75,8.796862926379763e-05,7.659403573785784e-05,0.000918,0.001318,0.00108
75.0,9.360622237887314e-05,8.154542858203296e-05,0.000962,0.001374,0.001146
75.25,9.95610803188377e-05,8.677835953054126e-05,0.000989,0.001449,0.001205
75.5,0.000105848356065999,9.230645139943368e-05,0.001034,0.001523,0.001276
75.75,0.0001124837792721668,9.814385503608366e-05,0.001085,0.001586,0.001336
76.0,0.00011948367121973902,0.00010430526348752764,0.001141,0.00167,0.00139
76.25,0.00012686495988273403,0.00011080592628616964,0.001201,0.001744,0.001463
76.5,0.00013464519507684706,0.000117661663843386,0.001249,0.001816,0.001542
76.75,0.00014284256368734914,0.00012488888194113904,0.001302,0.001889,0.001602
77.0,0.00015147590496318507,0.00013250458631138814,0.001362,0.00197,0.001694
77.25,0.00016056472586537378,0.00014052639729271978,0.001411,0.002061,0.001757
77.5,0.000170129216457345,0.00014897256455327382,0.00147,0.002122,0.001835
77.75,0.0001801902653246283,0.00015786198186870749,0.001537,0.002216,0.001905
78.0,0.00019076947501089114,0.00016721420194359653,0.001579,0.002291,0.001985
78.25,0.00020188917745704615,0.00017704945126437442,0.001643,0.002377,0.002073
78.5,0.00021357244942984852,0.000187388644971583,0.001717,0.002464,0.002142
78.75,0.00022584312792608402,0.00019825340173888124,0.001781,0.002556,0.002225
79.0,0.00023872582553818758,0.00020966605864603037,0.001847,0.00264,0.002306
79.25,0.0002522459457668263,0.00022164968603272575,0.001929,0.002736,0.002386
79.5,0.0002664296982658014,0.00023422810231993305,0.002003,0.002831,0.002477
79.75,0.0002813041140043183,0.00024742588878504774,0.002065,0.002943,0.002561
80.0,0.0002968970603314374,0.0002612684042770891,0.002139,0.003037,0.002647
80.25,0.000313237255927372,0.0002757817998577456,0.002224,0.003143,0.002744
80.5,0.00033035428562607145,0.00029099303335399445,0.002299,0.003255,0.00284
80.75,0.00034827861509331264,0.00030692988380776667,0.002393,0.003381,0.00295
81.0,0.0003670416053444586,0.0003236209658079441,0.002481,0.003502,0.003042
81.25,0.00038667552708573043,0.00034109574368978453,0.002572,0.003635,0.00315
81.5,0.0004072135748629854,0.00035938454558675007,0.002683,0.003771,0.003258
81.75,0.0004286898810015037,0.00037851857731954834,0.002776,0.003896,0.003384
82.0,0.00045113952932061135,0.00039852993610706904,0.002883,0.004028,0.003506
82.25,0.0004745985686065415,0.0004194516240838063,0.00298,0.004153,0.003634
82.5,0.0004991040258271385,0.0004413175616081862,0.00308,0.004312,0.003767
82.75,0.0005246939190717779,0.0004641626003463415,0.003188,0.004445,0.003892
83.0,0.0005514072702000005,0.00048802253611551836,0.003301,0.004581,0.004027
83.25,0.0005792841171823024,0.0005129341214715774,0.003421,0.00473,0.004144
83.5,0.0006083655261165772,0.0005389350780247231,0.003554,0.004875,0.004299
83.75,0.0006386936029036156,0.0005660641084679242,0.003694,0.005041,0.004435
84.0,0.0006703115045654406,0.0005943609083021053,0.003845,0.005222,0.004569
