sensitivity,day1_mean,S02_p50,S02_le150,S02_le143,S02_ge180,S03_p50,S03_le150,S03_le143,S03_ge180,S04_p
base,-2.545,158.905,0.368,0.268,0.231,162.829,0.358,0.283,0.329,0.295
P(accel)=0.40 (Street/Kalshi-leaning band),-1.016,161.554,0.332,0.238,0.262,167.115,0.318,0.247,0.372,0.26
"P(accel)=0.13 (nowcast centre 9.75, sd 0.75)",-3.357,157.634,0.385,0.282,0.216,160.696,0.379,0.301,0.307,0.313
day-1 conditional means shrunk to zero (market-neutral print),-0.0,163.183,0.302,0.209,0.273,167.257,0.308,0.235,0.368,0.225
"day-1 conditional means unshrunk (accel +6, flat -1, decel-ok -4, decel-below -8)",-3.253,157.557,0.39,0.291,0.225,161.471,0.376,0.301,0.321,0.322
no post-print drift in any branch,-2.545,162.167,0.322,0.229,0.269,168.851,0.296,0.227,0.387,0.278
post-print drift doubled,-2.545,155.632,0.415,0.311,0.197,156.863,0.425,0.347,0.279,0.313
background vol 33% (Oct ATM IV),-2.545,158.384,0.386,0.293,0.247,161.996,0.378,0.307,0.336,0.307
background vol 25%,-2.545,159.373,0.347,0.241,0.213,163.598,0.337,0.258,0.322,0.284
event sd 9.0% in every branch,-2.545,158.813,0.375,0.278,0.24,162.717,0.363,0.29,0.332,0.307
equity drift 0,-2.545,157.737,0.384,0.283,0.218,160.883,0.378,0.302,0.31,0.304
Feb day-1 mean at the raw n-6 base rate (+7.9%) in every branch,-2.545,158.905,0.368,0.268,0.231,171.321,0.276,0.209,0.413,0.295
Feb day-1 mean 0 in every branch,-2.545,158.905,0.368,0.268,0.231,158.702,0.401,0.322,0.288,0.295
no Jan/Feb seasonal drift,-2.545,158.905,0.368,0.268,0.231,159.636,0.392,0.314,0.299,0.295
S04: print chase 0.60,-2.545,158.905,0.368,0.268,0.231,162.829,0.358,0.283,0.329,0.355
S04: print chase 0.20,-2.545,158.905,0.368,0.268,0.231,162.829,0.358,0.283,0.329,0.229
S04: no stale-refresh term,-2.545,158.905,0.368,0.268,0.231,162.829,0.358,0.283,0.329,0.325
S04: residual sd 5%,-2.545,158.905,0.368,0.268,0.231,162.829,0.358,0.283,0.329,0.323
S04: known lag terms zero (ignore Aug/Sep history),-2.545,158.905,0.368,0.268,0.231,162.829,0.358,0.283,0.329,0.333
S04: base = feed as-is 181.81 (MS action not captured),-2.545,158.905,0.368,0.268,0.231,162.829,0.358,0.283,0.329,0.341
