id,quarter,url,document,publication_date,publication_date_basis,time_value,time_basis,access_status,retrieved_date,byte_archive_status,index_url
2020Q4_letter,2020Q4,https://www.sec.gov/Archives/edgar/data/1559720/000119312521056952/d147144dex991.htm,Airbnb 2020Q4 shareholder letter,2021-02-25,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2021-02-25T22:00:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",checked_primary_text,2026-09-14,No original historical byte archive asserted,
2021Q1_letter,2021Q1,https://www.sec.gov/Archives/edgar/data/1559720/000119312521160458/d476842dex991.htm,Airbnb 2021Q1 shareholder letter,2021-05-13,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2021-05-13T21:00:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",checked_primary_text,2026-09-14,No original historical byte archive asserted,
2021Q2_letter,2021Q2,https://www.sec.gov/Archives/edgar/data/1559720/000119312521244643/d212971dex991.htm,Airbnb 2021Q2 shareholder letter,2021-08-12,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2021-08-12T21:00:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",checked_primary_text,2026-09-14,No original historical byte archive asserted,
2021Q3_letter,2021Q3,https://www.sec.gov/Archives/edgar/data/1559720/000119312521320113/d245727dex991.htm,Airbnb 2021Q3 shareholder letter,2021-11-04,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2021-11-04T21:30:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",checked_primary_text,2026-09-14,No original historical byte archive asserted,
2021Q4_letter,2021Q4,https://www.sec.gov/Archives/edgar/data/1559720/000119312522043371/d251410dex991.htm,Airbnb 2021Q4 shareholder letter,2022-02-15,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2022-02-15T21:30:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",checked_primary_text,2026-09-14,No original historical byte archive asserted,
2022Q1_letter,2022Q1,https://www.sec.gov/Archives/edgar/data/1559720/000119312522138654/d711122dex991.htm,Airbnb 2022Q1 shareholder letter,2022-05-03,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2022-05-03T21:30:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",checked_primary_text,2026-09-14,No original historical byte archive asserted,
2022Q2_letter,2022Q2,https://www.sec.gov/Archives/edgar/data/1559720/000119312522210001/d353427dex991.htm,Airbnb 2022Q2 shareholder letter,2022-08-02,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2022-08-02T20:30:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",checked_primary_text,2026-09-14,No original historical byte archive asserted,
2022Q3_letter,2022Q3,https://www.sec.gov/Archives/edgar/data/1559720/000119312522274904/d408297dex991.htm,Airbnb 2022Q3 shareholder letter,2022-11-01,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2022-11-01T20:30:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",checked_primary_text,2026-09-14,No original historical byte archive asserted,
2022Q4_letter,2022Q4,https://www.sec.gov/Archives/edgar/data/1559720/000119312523039008/d451233dex991.htm,Airbnb 2022Q4 shareholder letter,2023-02-14,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2023-02-14T21:30:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",checked_primary_text,2026-09-14,No original historical byte archive asserted,
2023Q1_letter,2023Q1,https://www.sec.gov/Archives/edgar/data/1559720/000119312523139392/d453262dex991.htm,Airbnb 2023Q1 shareholder letter,2023-05-09,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2023-05-09T20:30:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",checked_primary_text,2026-09-14,No original historical byte archive asserted,
2023Q2_letter,2023Q2,https://www.sec.gov/Archives/edgar/data/1559720/000119312523202832/d446942dex991.htm,Airbnb 2023Q2 shareholder letter,2023-08-03,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2023-08-03T20:30:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",checked_primary_text,2026-09-14,No original historical byte archive asserted,
2023Q3_letter,2023Q3,https://www.sec.gov/Archives/edgar/data/1559720/000119312523268164/d481318dex991.htm,Airbnb 2023Q3 shareholder letter,2023-11-01,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2023-11-01T20:30:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",checked_primary_text,2026-09-14,No original historical byte archive asserted,
2023Q4_letter,2023Q4,https://www.sec.gov/Archives/edgar/data/1559720/000119312524033706/d646462dex991.htm,Airbnb 2023Q4 shareholder letter,2024-02-13,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2024-02-13T21:30:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",checked_primary_text,2026-09-14,No original historical byte archive asserted,
