quarter,gbv_musd,revenue_musd,print_date,season,year,g0,g1,g2,g3,g4,gtail
2021Q3,11900.0,2237.0,2021-11-04,3,2021,11900.0,13400.0,10300.0,5905.7,8029.3,6967.5
2021Q4,11300.0,1532.0,2022-02-15,4,2021,11300.0,11900.0,13400.0,10300.0,5905.7,8102.85
2022Q1,17200.0,1509.0,2022-05-03,1,2022,17200.0,11300.0,11900.0,13400.0,10300.0,11850.0
2022Q2,17000.0,2104.0,2022-08-02,2,2022,17000.0,17200.0,11300.0,11900.0,13400.0,12650.0
2022Q3,15600.0,2884.0,2022-11-01,3,2022,15600.0,17000.0,17200.0,11300.0,11900.0,11600.0
2022Q4,13500.0,1902.0,2023-02-14,4,2022,13500.0,15600.0,17000.0,17200.0,11300.0,14250.0
2023Q1,20400.0,1818.0,2023-05-09,1,2023,20400.0,13500.0,15600.0,17000.0,17200.0,17100.0
2023Q2,19100.0,2484.0,2023-08-03,2,2023,19100.0,20400.0,13500.0,15600.0,17000.0,16300.0
2023Q3,18300.0,3397.0,2023-11-01,3,2023,18300.0,19100.0,20400.0,13500.0,15600.0,14550.0
2023Q4,15500.0,2218.0,2024-02-13,4,2023,15500.0,18300.0,19100.0,20400.0,13500.0,16950.0
2024Q1,22900.0,2142.0,2024-05-08,1,2024,22900.0,15500.0,18300.0,19100.0,20400.0,19750.0
2024Q2,21200.0,2748.0,2024-08-06,2,2024,21200.0,22900.0,15500.0,18300.0,19100.0,18700.0
2024Q3,20100.0,3732.0,2024-11-07,3,2024,20100.0,21200.0,22900.0,15500.0,18300.0,16900.0
2024Q4,17600.0,2480.0,2025-02-13,4,2024,17600.0,20100.0,21200.0,22900.0,15500.0,19200.0
2025Q1,24500.0,2272.0,2025-05-01,1,2025,24500.0,17600.0,20100.0,21200.0,22900.0,22050.0
2025Q2,23500.0,3096.0,2025-08-06,2,2025,23500.0,24500.0,17600.0,20100.0,21200.0,20650.0
2025Q3,22900.0,4095.0,2025-11-06,3,2025,22900.0,23500.0,24500.0,17600.0,20100.0,18850.0
2025Q4,20400.0,2778.0,2026-02-12,4,2025,20400.0,22900.0,23500.0,24500.0,17600.0,21050.0
2026Q1,29200.0,2678.0,2026-05-07,1,2026,29200.0,20400.0,22900.0,23500.0,24500.0,24000.0
2026Q2,27200.0,3608.0,2026-08-06,2,2026,27200.0,29200.0,20400.0,22900.0,23500.0,23200.0
