quarter,region,season,revenue_musd,kernel_base_musd,lambda_pct,lambda_sensitivity_lo,lambda_sensitivity_hi,annual_anchor_pct,annual_anchor_year,revenue_knowable_from,print_date,basis
2022Q1,apac,1,136.0,799.7523175466092,17.005264882158215,14.723173058145642,19.889198692582713,13.399396811719086,2022,2023-05-09,2026-09-12,same-cell accounting ratio; not predictive validation
2022Q1,emea,1,373.0,3584.6704315611414,10.40541960889712,9.009021306404431,12.170081413914758,13.608861584287443,2022,2023-05-09,2026-09-12,same-cell accounting ratio; not predictive validation
2022Q1,latam,1,178.0,908.3760325329347,19.595409128492864,16.965722189171313,22.91860716782791,13.290615957007027,2022,2023-05-09,2026-09-12,same-cell accounting ratio; not predictive validation
2022Q1,na,1,822.0,6207.201218359312,13.242683313837714,11.46552667864737,15.488518495716624,13.055882900204676,2022,2023-05-09,2026-09-12,same-cell accounting ratio; not predictive validation
2022Q2,apac,2,137.0,1050.7401030465671,13.038428780130834,11.288682926520206,15.249624304246591,13.399396811719086,2022,2023-08-03,2026-09-12,same-cell accounting ratio; not predictive validation
2022Q2,emea,2,732.0,5290.076949909875,13.837227831108786,11.980283836457822,16.183892200127232,13.608861584287443,2022,2023-08-03,2026-09-12,same-cell accounting ratio; not predictive validation
2022Q2,latam,2,137.0,1183.9104777171644,11.571820891742224,10.018892546962963,13.53429344063418,13.290615957007027,2022,2023-08-03,2026-09-12,same-cell accounting ratio; not predictive validation
2022Q2,na,2,1098.0,7708.605802659726,14.243820842689264,12.33231241791278,16.659439582092705,13.055882900204676,2022,2023-08-03,2026-09-12,same-cell accounting ratio; not predictive validation
2022Q3,apac,3,156.0,1174.0163609552492,13.287719420968646,11.504518979193634,15.541192305226486,13.399396811719086,2022,2023-11-01,2026-09-12,same-cell accounting ratio; not predictive validation
2022Q3,emea,3,1263.0,6126.091169056951,20.616735290840047,17.849987264796574,24.11314069104099,13.608861584287443,2022,2023-11-01,2026-09-12,same-cell accounting ratio; not predictive validation
2022Q3,latam,3,139.0,1319.2698268093563,10.536131212533709,9.12219152600321,12.322960482495567,13.290615957007027,2022,2023-11-01,2026-09-12,same-cell accounting ratio; not predictive validation
