quarter,region,guest_fee_share,assumed_or_fitted_adr_scale,gross_fx_contribution_pp,after_hedge_fx_contribution_pp,basis
2026Q3,na,0.0,1.0,0.17849205762665046,0.09680717348213479,sensitivity: reported-ADR pass-through replaces unit destination translation; incremental guest-origin shift only; not a second FX addition
2026Q3,emea,0.0,1.043,2.4548295744819764,2.3545798429069844,sensitivity: reported-ADR pass-through replaces unit destination translation; incremental guest-origin shift only; not a second FX addition
2026Q3,latam,0.0,0.623,0.5019933795051879,0.4886483714978931,sensitivity: reported-ADR pass-through replaces unit destination translation; incremental guest-origin shift only; not a second FX addition
2026Q3,apac,0.0,0.86,0.24105268936019708,0.22633231308699953,sensitivity: reported-ADR pass-through replaces unit destination translation; incremental guest-origin shift only; not a second FX addition
2026Q4,na,0.0,1.0,0.06076511611933355,-0.025288401293236562,sensitivity: reported-ADR pass-through replaces unit destination translation; incremental guest-origin shift only; not a second FX addition
2026Q4,emea,0.0,1.043,0.03873427998828424,-0.02965015855424394,sensitivity: reported-ADR pass-through replaces unit destination translation; incremental guest-origin shift only; not a second FX addition
2026Q4,latam,0.0,0.623,0.7812935385201011,0.7524071417585686,sensitivity: reported-ADR pass-through replaces unit destination translation; incremental guest-origin shift only; not a second FX addition
2026Q4,apac,0.0,0.86,0.306802827854909,0.2801271805715398,sensitivity: reported-ADR pass-through replaces unit destination translation; incremental guest-origin shift only; not a second FX addition
2026Q3,na,0.5,1.0,0.5948466828065635,0.5131617986620478,sensitivity: reported-ADR pass-through replaces unit destination translation; incremental guest-origin shift only; not a second FX addition
2026Q3,emea,0.5,1.043,2.4646331548702176,2.3643834232952257,sensitivity: reported-ADR pass-through replaces unit destination translation; incremental guest-origin shift only; not a second FX addition
2026Q3,latam,0.5,0.623,0.3940549902169747,0.38070998220967994,sensitivity: reported-ADR pass-through replaces unit destination translation; incremental guest-origin shift only; not a second FX addition
2026Q3,apac,0.5,0.86,0.20156688212966564,0.1868465058564681,sensitivity: reported-ADR pass-through replaces unit destination translation; incremental guest-origin shift only; not a second FX addition
2026Q4,na,0.5,1.0,0.28815934768575824,0.20210583027318813,sensitivity: reported-ADR pass-through replaces unit destination translation; incremental guest-origin shift only; not a second FX addition
2026Q4,emea,0.5,1.043,0.1938879700138793,0.12550353147135113,sensitivity: reported-ADR pass-through replaces unit destination translation; incremental guest-origin shift only; not a second FX addition
2026Q4,latam,0.5,0.623,0.5646178691714742,0.5357314724099417,sensitivity: reported-ADR pass-through replaces unit destination translation; incremental guest-origin shift only; not a second FX addition
2026Q4,apac,0.5,0.86,0.24785527387277304,0.22117962658940388,sensitivity: reported-ADR pass-through replaces unit destination translation; incremental guest-origin shift only; not a second FX addition
2026Q3,na,0.8245614035087718,1.0,0.8604653707653687,0.778780486620853,sensitivity: reported-ADR pass-through replaces unit destination translation; incremental guest-origin shift only; not a second FX addition
2026Q3,emea,0.8245614035087718,1.043,2.4700968044641702,2.3698470728891783,sensitivity: reported-ADR pass-through replaces unit destination translation; incremental guest-origin shift only; not a second FX addition
2026Q3,latam,0.8245614035087718,0.623,0.3220916809056958,0.308746672898401,sensitivity: reported-ADR pass-through replaces unit destination translation; incremental guest-origin shift only; not a second FX addition
2026Q3,apac,0.8245614035087718,0.86,0.17570945709553792,0.16098908082234037,sensitivity: reported-ADR pass-through replaces unit destination translation; incremental guest-origin shift only; not a second FX addition
2026Q4,na,0.8245614035087718,1.0,0.43450672516299976,0.34845320775042965,sensitivity: reported-ADR pass-through replaces unit destination translation; incremental guest-origin shift only; not a second FX addition
2026Q4,emea,0.8245614035087718,1.043,0.29389985000652114,0.22551541146399295,sensitivity: reported-ADR pass-through replaces unit destination translation; incremental guest-origin shift only; not a second FX addition
2026Q4,latam,0.8245614035087718,0.623,0.42054806928508637,0.3916616725235538,sensitivity: reported-ADR pass-through replaces unit destination translation; incremental guest-origin shift only; not a second FX addition
2026Q4,apac,0.8245614035087718,0.86,0.20930988056966174,0.18263423328629258,sensitivity: reported-ADR pass-through replaces unit destination translation; incremental guest-origin shift only; not a second FX addition
