region,season,first_quarter,last_quarter,lambda_change_pp,n
na,1,2023Q1,2025Q1,-0.3906676142887253,3
na,2,2023Q2,2025Q2,0.23788539057018276,3
na,3,2023Q3,2025Q3,-0.5831737832762176,3
na,4,2023Q4,2025Q4,-0.6323637886989104,3
emea,1,2023Q1,2025Q1,-0.8293282979465548,3
emea,2,2023Q2,2025Q2,0.38946728907747996,3
emea,3,2023Q3,2025Q3,0.31482826587770063,3
emea,4,2023Q4,2025Q4,0.5646470176007732,3
latam,1,2023Q1,2025Q1,0.31750553029601747,3
latam,2,2023Q2,2025Q2,0.2859698122272558,3
latam,3,2023Q3,2025Q3,-0.26592466862901176,3
latam,4,2023Q4,2025Q4,0.11430765375355634,3
apac,1,2023Q1,2025Q1,-0.8114027318224437,3
apac,2,2023Q2,2025Q2,-0.25061138743125255,3
apac,3,2023Q3,2025Q3,-0.6361925077500388,3
apac,4,2023Q4,2025Q4,0.9514825323521947,3
