quarter,reconstructed_musd,regional_actual_musd,n_regions,consolidated_actual_musd,relative_error_pct,basis
2022Q1,1509.0,1509.0,4.0,1509.0,0.0,algebraic same-cell reconstruction; zero out-of-sample forecast observations
2022Q2,2104.0,2104.0,4.0,2104.0,0.0,algebraic same-cell reconstruction; zero out-of-sample forecast observations
2022Q3,2884.0,2884.0,4.0,2884.0,0.0,algebraic same-cell reconstruction; zero out-of-sample forecast observations
2022Q4,1902.0,1902.0,4.0,1902.0,0.0,algebraic same-cell reconstruction; zero out-of-sample forecast observations
2023Q1,1818.0,1818.0,4.0,1818.0,0.0,algebraic same-cell reconstruction; zero out-of-sample forecast observations
2023Q2,2484.0,2484.0,4.0,2484.0,0.0,algebraic same-cell reconstruction; zero out-of-sample forecast observations
2023Q3,3397.0,3397.0,4.0,3397.0,0.0,algebraic same-cell reconstruction; zero out-of-sample forecast observations
2023Q4,2218.0,2218.0,4.0,2218.0,0.0,algebraic same-cell reconstruction; zero out-of-sample forecast observations
2024Q1,2142.0,2142.0,4.0,2142.0,0.0,algebraic same-cell reconstruction; zero out-of-sample forecast observations
2024Q2,2748.0,2748.0,4.0,2748.0,0.0,algebraic same-cell reconstruction; zero out-of-sample forecast observations
2024Q3,3732.0,3732.0,4.0,3732.0,0.0,algebraic same-cell reconstruction; zero out-of-sample forecast observations
2024Q4,2480.0,2480.0,4.0,2480.0,0.0,algebraic same-cell reconstruction; zero out-of-sample forecast observations
2025Q1,2272.0,2272.0,4.0,2272.0,0.0,algebraic same-cell reconstruction; zero out-of-sample forecast observations
2025Q2,3096.0,3096.0,4.0,3096.0,0.0,algebraic same-cell reconstruction; zero out-of-sample forecast observations
2025Q3,4095.0,4095.0,4.0,4095.0,0.0,algebraic same-cell reconstruction; zero out-of-sample forecast observations
2025Q4,2778.0,2778.0,4.0,2778.0,0.0,algebraic same-cell reconstruction; zero out-of-sample forecast observations
2026Q1,2678.0,2678.0,4.0,2678.0,0.0,algebraic same-cell reconstruction; zero out-of-sample forecast observations
2026Q2,3608.0,3608.0,4.0,3608.0,0.0,algebraic same-cell reconstruction; zero out-of-sample forecast observations
