guest_fee_share,quarter,region,revenue_scenario_musd,gross_fx_contribution_pp,hedge_pp_allocated,after_hedge_fx_contribution_pp,management_q3_comparator_allocated_pp,difference_from_allocated_management_pp,allocation_basis,source_basis,management_q3_afterhedge_pp
0.0,2026Q3,na,1849.4553056493628,0.17849205762665046,-0.08168488414451568,0.09680717348213479,1.186080586080586,-1.0892734125984513,management discloses no regional guide FX; total 3pp comparator allocated by prior-year regional revenue only,current reconstructed weights; fixed 2/3 lag1 + 1/3 lag2; conditional GBV for Q4,3.0
0.0,2026Q3,emea,2269.7883444784416,2.360502764811114,-0.10024973157499206,2.260253033236122,1.4424908424908425,0.8177621907452794,management discloses no regional guide FX; total 3pp comparator allocated by prior-year regional revenue only,current reconstructed weights; fixed 2/3 lag1 + 1/3 lag2; conditional GBV for Q4,3.0
0.0,2026Q3,latam,302.14887517449677,0.7738628259294834,-0.013345008007294745,0.7605178179221886,0.17216117216117216,0.5883566457610165,management discloses no regional guide FX; total 3pp comparator allocated by prior-year regional revenue only,current reconstructed weights; fixed 2/3 lag1 + 1/3 lag2; conditional GBV for Q4,3.0
0.0,2026Q3,apac,333.28905690133195,0.2788334943981281,-0.014720376273197545,0.26411311812493055,0.19926739926739928,0.06484571885753126,management discloses no regional guide FX; total 3pp comparator allocated by prior-year regional revenue only,current reconstructed weights; fixed 2/3 lag1 + 1/3 lag2; conditional GBV for Q4,3.0
0.0,2026Q4,na,1331.08508798883,0.06076511611933355,-0.08605351741257011,-0.025288401293236562,,,management discloses no regional guide FX; total 3pp comparator allocated by prior-year regional revenue only,current reconstructed weights; fixed 2/3 lag1 + 1/3 lag2; conditional GBV for Q4,
0.0,2026Q4,emea,1057.7778704621721,0.03742095258210891,-0.06838443854252818,-0.03096348596041927,,,management discloses no regional guide FX; total 3pp comparator allocated by prior-year regional revenue only,current reconstructed weights; fixed 2/3 lag1 + 1/3 lag2; conditional GBV for Q4,
0.0,2026Q4,latam,446.8179004312059,1.2161625799876121,-0.028886396761532537,1.1872761832260796,,,management discloses no regional guide FX; total 3pp comparator allocated by prior-year regional revenue only,current reconstructed weights; fixed 2/3 lag1 + 1/3 lag2; conditional GBV for Q4,
0.0,2026Q4,apac,412.62178907931246,0.3555479615102383,-0.02667564728336917,0.32887231422686913,,,management discloses no regional guide FX; total 3pp comparator allocated by prior-year regional revenue only,current reconstructed weights; fixed 2/3 lag1 + 1/3 lag2; conditional GBV for Q4,
0.5,2026Q3,na,1849.4553056493628,0.5948466828065635,-0.08168488414451568,0.5131617986620478,1.186080586080586,-0.6729187874185383,management discloses no regional guide FX; total 3pp comparator allocated by prior-year regional revenue only,current reconstructed weights; fixed 2/3 lag1 + 1/3 lag2; conditional GBV for Q4,3.0
0.5,2026Q3,emea,2269.7883444784416,2.369748755803894,-0.10024973157499206,2.269499024228902,1.4424908424908425,0.8270081817380597,management discloses no regional guide FX; total 3pp comparator allocated by prior-year regional revenue only,current reconstructed weights; fixed 2/3 lag1 + 1/3 lag2; conditional GBV for Q4,3.0
0.5,2026Q3,latam,302.14887517449677,0.6742971745243472,-0.013345008007294745,0.6609521665170525,0.17216117216117216,0.4887909943558803,management discloses no regional guide FX; total 3pp comparator allocated by prior-year regional revenue only,current reconstructed weights; fixed 2/3 lag1 + 1/3 lag2; conditional GBV for Q4,3.0
0.5,2026Q3,apac,333.28905690133195,0.23969684206773553,-0.014720376273197545,0.22497646579453798,0.19926739926739928,0.025709066527138696,management discloses no regional guide FX; total 3pp comparator allocated by prior-year regional revenue only,current reconstructed weights; fixed 2/3 lag1 + 1/3 lag2; conditional GBV for Q4,3.0
0.5,2026Q4,na,1331.08508798883,0.28815934768575824,-0.08605351741257011,0.20210583027318813,,,management discloses no regional guide FX; total 3pp comparator allocated by prior-year regional revenue only,current reconstructed weights; fixed 2/3 lag1 + 1/3 lag2; conditional GBV for Q4,
0.5,2026Q4,emea,1057.7778704621721,0.1925510420078815,-0.06838443854252818,0.12416660346535333,,,management discloses no regional guide FX; total 3pp comparator allocated by prior-year regional revenue only,current reconstructed weights; fixed 2/3 lag1 + 1/3 lag2; conditional GBV for Q4,
0.5,2026Q4,latam,446.8179004312059,1.0122194602524237,-0.028886396761532537,0.9833330634908912,,,management discloses no regional guide FX; total 3pp comparator allocated by prior-year regional revenue only,current reconstructed weights; fixed 2/3 lag1 + 1/3 lag2; conditional GBV for Q4,
0.5,2026Q4,apac,412.62178907931246,0.29700272906646735,-0.02667564728336917,0.27032708178309817,,,management discloses no regional guide FX; total 3pp comparator allocated by prior-year regional revenue only,current reconstructed weights; fixed 2/3 lag1 + 1/3 lag2; conditional GBV for Q4,
0.8245614035087718,2026Q3,na,1849.4553056493628,0.8604653707653687,-0.08168488414451568,0.778780486620853,1.186080586080586,-0.4073000994597331,management discloses no regional guide FX; total 3pp comparator allocated by prior-year regional revenue only,current reconstructed weights; fixed 2/3 lag1 + 1/3 lag2; conditional GBV for Q4,3.0
0.8245614035087718,2026Q3,emea,2269.7883444784416,2.374843251447725,-0.10024973157499206,2.274593519872733,1.4424908424908425,0.8321026773818907,management discloses no regional guide FX; total 3pp comparator allocated by prior-year regional revenue only,current reconstructed weights; fixed 2/3 lag1 + 1/3 lag2; conditional GBV for Q4,3.0
0.8245614035087718,2026Q3,latam,302.14887517449677,0.6079854424696847,-0.013345008007294745,0.5946404344623899,0.17216117216117216,0.42247926230121774,management discloses no regional guide FX; total 3pp comparator allocated by prior-year regional revenue only,current reconstructed weights; fixed 2/3 lag1 + 1/3 lag2; conditional GBV for Q4,3.0
0.8245614035087718,2026Q3,apac,333.28905690133195,0.21406887365491784,-0.014720376273197545,0.19934849738172028,0.19926739926739928,8.109811432099878e-05,management discloses no regional guide FX; total 3pp comparator allocated by prior-year regional revenue only,current reconstructed weights; fixed 2/3 lag1 + 1/3 lag2; conditional GBV for Q4,3.0
0.8245614035087718,2026Q4,na,1331.08508798883,0.43450672516299976,-0.08605351741257011,0.34845320775042965,,,management discloses no regional guide FX; total 3pp comparator allocated by prior-year regional revenue only,current reconstructed weights; fixed 2/3 lag1 + 1/3 lag2; conditional GBV for Q4,
0.8245614035087718,2026Q4,emea,1057.7778704621721,0.29254794968749315,-0.06838443854252818,0.22416351114496497,,,management discloses no regional guide FX; total 3pp comparator allocated by prior-year regional revenue only,current reconstructed weights; fixed 2/3 lag1 + 1/3 lag2; conditional GBV for Q4,
0.8245614035087718,2026Q4,latam,446.8179004312059,0.8767260448090642,-0.028886396761532537,0.8478396480475318,,,management discloses no regional guide FX; total 3pp comparator allocated by prior-year regional revenue only,current reconstructed weights; fixed 2/3 lag1 + 1/3 lag2; conditional GBV for Q4,
0.8245614035087718,2026Q4,apac,412.62178907931246,0.25872142674445053,-0.02667564728336917,0.23204577946108138,,,management discloses no regional guide FX; total 3pp comparator allocated by prior-year regional revenue only,current reconstructed weights; fixed 2/3 lag1 + 1/3 lag2; conditional GBV for Q4,
