region,season,factor,n,sensitivity_lo,sensitivity_hi,lambda_sd_pct,lambda_pct,print_date,basis
apac,1,1.2768527008712425,4,16.136435731276045,19.878732978153494,0.6205754868203112,17.839518034894322,2026-09-12,2025 annual anchor times mean 2023+ same-season factor; current research vintage
apac,2,0.8652187728459577,4,10.9289056360964,13.478816537536169,0.46940056316533124,12.088384111795106,2026-09-12,2025 annual anchor times mean 2023+ same-season factor; current research vintage
apac,3,0.9655820183625279,3,12.212320293938362,15.01148299562128,0.35457830894192566,13.490606879708512,2026-09-12,2025 annual anchor times mean 2023+ same-season factor; current research vintage
apac,4,1.134988225301924,3,14.352978993822992,17.646880089533894,0.5133952955100249,15.857461789328305,2026-09-12,2025 annual anchor times mean 2023+ same-season factor; current research vintage
emea,1,0.7010600013244677,4,8.734711451623445,10.888949437558722,0.40957004286988835,9.704679896561698,2026-09-12,2025 annual anchor times mean 2023+ same-season factor; current research vintage
emea,2,1.033324523918069,4,12.8833088803745,16.037182687204098,0.3897415918097118,14.304173273252587,2026-09-12,2025 annual anchor times mean 2023+ same-season factor; current research vintage
emea,3,1.529145353073698,3,18.986753906153893,23.83048173496731,0.15817580804766235,21.167754741190556,2026-09-12,2025 annual anchor times mean 2023+ same-season factor; current research vintage
emea,4,0.7875375733234263,3,9.758667590519549,12.300282145520145,0.30119879454967396,10.901777367386227,2026-09-12,2025 annual anchor times mean 2023+ same-season factor; current research vintage
latam,1,1.575785539488052,4,19.40887326890564,23.934399901817944,0.5521878462928009,21.399101215243974,2026-09-12,2025 annual anchor times mean 2023+ same-season factor; current research vintage
latam,2,0.8187384701564201,4,10.074737771942974,12.445483606468487,0.3950356132056869,11.118433919239608,2026-09-12,2025 annual anchor times mean 2023+ same-season factor; current research vintage
latam,3,0.8016491978207664,3,9.891801448429574,12.169474048896577,0.296263370990203,10.886362321143633,2026-09-12,2025 annual anchor times mean 2023+ same-season factor; current research vintage
latam,4,1.1747353642541025,3,14.488917672497587,17.84166721865411,0.23637719260312845,15.952856737704975,2026-09-12,2025 annual anchor times mean 2023+ same-season factor; current research vintage
na,1,0.9439138826686975,4,11.072615042891485,13.901171147079975,0.2988557592739447,12.17167523103748,2026-09-12,2025 annual anchor times mean 2023+ same-season factor; current research vintage
na,2,1.0765056779793234,4,12.609901554035936,15.863818487580838,0.2222015176047177,13.881433187195842,2026-09-12,2025 annual anchor times mean 2023+ same-season factor; current research vintage
na,3,1.2054776374844678,3,14.163551266283646,17.88685944376688,0.2949901254534038,15.54451372222185,2026-09-12,2025 annual anchor times mean 2023+ same-season factor; current research vintage
na,4,0.8673491696276642,3,10.195090906746387,12.867874760123547,0.33384370213830294,11.184380904294189,2026-09-12,2025 annual anchor times mean 2023+ same-season factor; current research vintage
