scale,nll,success,in_95_profile_set,window,guest_fee_share,driver_basis
0.0,32.54350351045501,True,False,W1,0.0,nonUSD_normalized
0.025,31.977414237113543,True,False,W1,0.0,nonUSD_normalized
0.05,31.39458889101506,True,False,W1,0.0,nonUSD_normalized
0.07500000000000001,30.79261555598047,True,False,W1,0.0,nonUSD_normalized
0.1,30.170934556509323,True,False,W1,0.0,nonUSD_normalized
0.125,29.529144837001272,True,False,W1,0.0,nonUSD_normalized
0.15000000000000002,28.867086299294222,True,False,W1,0.0,nonUSD_normalized
0.17500000000000002,28.18495304260599,True,False,W1,0.0,nonUSD_normalized
0.2,27.483447640530375,True,False,W1,0.0,nonUSD_normalized
0.225,26.763988858634832,True,False,W1,0.0,nonUSD_normalized
0.25,26.028986854771137,True,False,W1,0.0,nonUSD_normalized
0.275,25.282199548023726,True,False,W1,0.0,nonUSD_normalized
0.30000000000000004,24.52917871777226,True,False,W1,0.0,nonUSD_normalized
0.325,23.77779999280102,True,False,W1,0.0,nonUSD_normalized
0.35000000000000003,23.038840587348396,True,False,W1,0.0,nonUSD_normalized
0.375,22.326515255097117,True,False,W1,0.0,nonUSD_normalized
0.4,21.658801899365976,True,True,W1,0.0,nonUSD_normalized
0.42500000000000004,21.057296637110042,True,True,W1,0.0,nonUSD_normalized
0.45,20.546277578968994,True,True,W1,0.0,nonUSD_normalized
0.47500000000000003,20.150707963893797,True,True,W1,0.0,nonUSD_normalized
0.5,19.893164384921647,True,True,W1,0.0,nonUSD_normalized
0.525,19.790157208076682,True,True,W1,0.0,nonUSD_normalized
0.5284489864254882,19.788608303359712,True,True,W1,0.0,nonUSD_normalized
0.55,19.848855555824137,True,True,W1,0.0,nonUSD_normalized
0.56,19.914209312264894,True,True,W1,0.0,nonUSD_normalized
0.5750000000000001,20.042819263837377,True,True,W1,0.0,nonUSD_normalized
0.6000000000000001,20.332948992663326,True,True,W1,0.0,nonUSD_normalized
0.625,20.7074215414107,True,True,W1,0.0,nonUSD_normalized
0.65,21.15275024208508,True,True,W1,0.0,nonUSD_normalized
0.675,21.655004410745704,True,True,W1,0.0,nonUSD_normalized
0.7000000000000001,22.20086377904089,True,False,W1,0.0,nonUSD_normalized
0.7250000000000001,22.778306247602107,True,False,W1,0.0,nonUSD_normalized
0.75,23.376957554708667,True,False,W1,0.0,nonUSD_normalized
0.775,23.988181763643777,True,False,W1,0.0,nonUSD_normalized
0.8,24.605001239388354,True,False,W1,0.0,nonUSD_normalized
0.8250000000000001,25.221922113232864,True,False,W1,0.0,nonUSD_normalized
0.8500000000000001,25.834720696912157,True,False,W1,0.0,nonUSD_normalized
0.875,26.440226409297935,True,False,W1,0.0,nonUSD_normalized
0.9,27.036121128472978,True,False,W1,0.0,nonUSD_normalized
0.925,27.620764085903392,True,False,W1,0.0,nonUSD_normalized
0.9500000000000001,28.193044737584078,True,False,W1,0.0,nonUSD_normalized
0.9750000000000001,28.752262344383745,True,False,W1,0.0,nonUSD_normalized
1.0,29.298029246188054,True,False,W1,0.0,nonUSD_normalized
1.0250000000000001,29.83019423449267,True,False,W1,0.0,nonUSD_normalized
1.05,30.34878246550644,True,False,W1,0.0,nonUSD_normalized
1.075,30.85394873140318,True,False,W1,0.0,nonUSD_normalized
1.1,31.345941352589406,True,False,W1,0.0,nonUSD_normalized
1.125,31.825074440790225,True,False,W1,0.0,nonUSD_normalized
