quarter,region,print_date,gbv_usd_booking_dated
2021Q1,apac,2026-09-12,716299901.8026154
2021Q1,emea,2026-09-12,3210617864.7895446
2021Q1,latam,2026-09-12,813588968.2686287
2021Q1,na,2026-09-12,5559493265.139212
2021Q2,apac,2026-09-12,931885309.1412665
2021Q2,emea,2026-09-12,4176920328.9495044
2021Q2,latam,2026-09-12,1058455550.9514196
2021Q2,na,2026-09-12,7232738810.957809
2021Q3,apac,2026-09-12,827569789.4612739
2021Q3,emea,2026-09-12,3709354620.485007
2021Q3,latam,2026-09-12,939971720.6210369
2021Q3,na,2026-09-12,6423103869.432681
2021Q4,apac,2026-09-12,785843581.5892768
2021Q4,emea,2026-09-12,3522328337.0992093
2021Q4,latam,2026-09-12,892578188.4888837
2021Q4,na,2026-09-12,6099249892.82263
2022Q1,apac,2026-09-12,1183188363.775212
2022Q1,emea,2026-09-12,6173951256.315209
2022Q1,latam,2026-09-12,1329576622.3313048
2022Q1,na,2026-09-12,8513283757.578274
2022Q2,apac,2026-09-12,1169430359.5452678
2022Q2,emea,2026-09-12,6102161125.427822
2022Q2,latam,2026-09-12,1314116429.0483823
2022Q2,na,2026-09-12,8414292085.978528
2022Q3,apac,2026-09-12,1353360992.5040553
2022Q3,emea,2026-09-12,4862553817.559675
2022Q3,latam,2026-09-12,1208649091.862516
2022Q3,na,2026-09-12,8175436098.073754
2022Q4,apac,2026-09-12,1006426097.5349939
2022Q4,emea,2026-09-12,4439328997.022666
2022Q4,latam,2026-09-12,1087969891.2182999
2022Q4,na,2026-09-12,6966275014.224039
2023Q1,apac,2026-09-12,1735947405.131738
2023Q1,emea,2026-09-12,7587879922.253548
2023Q1,latam,2026-09-12,1634193165.5813231
2023Q1,na,2026-09-12,9441979507.033394
2023Q2,apac,2026-09-12,1379840574.6052523
2023Q2,emea,2026-09-12,7148808604.851975
2023Q2,latam,2026-09-12,1566359677.92824
2023Q2,na,2026-09-12,9004991142.614532
2023Q3,apac,2026-09-12,1710447667.986865
2023Q3,emea,2026-09-12,6130333631.997178
2023Q3,latam,2026-09-12,1531367014.2491148
2023Q3,na,2026-09-12,8927851685.76684
2023Q4,apac,2026-09-12,1193618372.2319167
2023Q4,emea,2026-09-12,5398873481.378567
2023Q4,latam,2026-09-12,1324846122.7646797
2023Q4,na,2026-09-12,7582662023.624837
2024Q1,apac,2026-09-12,2078882750.0988564
2024Q1,emea,2026-09-12,8648822101.643543
2024Q1,latam,2026-09-12,1960100203.4732757
2024Q1,na,2026-09-12,10212194944.784323
2024Q2,apac,2026-09-12,1612784953.3645673
2024Q2,emea,2026-09-12,7919921511.997765
2024Q2,latam,2026-09-12,1833149171.7253249
2024Q2,na,2026-09-12,9834144362.912344
2024Q3,apac,2026-09-12,1967982405.35591
2024Q3,emea,2026-09-12,6846878578.57861
2024Q3,latam,2026-09-12,1734049327.0180235
2024Q3,na,2026-09-12,9551089689.047455
2024Q4,apac,2026-09-12,1467107280.3277678
2024Q4,emea,2026-09-12,6342324348.621848
2024Q4,latam,2026-09-12,1565919915.8754604
2024Q4,na,2026-09-12,8224648455.174924
2025Q1,apac,2026-09-12,2365269776.361452
2025Q1,emea,2026-09-12,9341142939.629557
2025Q1,latam,2026-09-12,2227218045.6336308
2025Q1,na,2026-09-12,10566369238.37536
2025Q2,apac,2026-09-12,1898015220.9990911
2025Q2,emea,2026-09-12,9176938504.225426
2025Q2,latam,2026-09-12,2109603300.519886
2025Q2,na,2026-09-12,10315442974.255598
2025Q3,apac,2026-09-12,2301163958.1288967
2025Q3,emea,2026-09-12,7954976138.55418
2025Q3,latam,2026-09-12,2197895243.220738
2025Q3,na,2026-09-12,10445964660.096186
2025Q4,apac,2026-09-12,1712145359.6872535
2025Q4,emea,2026-09-12,7702060153.523329
2025Q4,latam,2026-09-12,2008088428.9088256
2025Q4,na,2026-09-12,8977706057.880592
2026Q1,apac,2026-09-12,2944429380.4874406
2026Q1,emea,2026-09-12,11225863182.697803
2026Q1,latam,2026-09-12,2877199769.768586
2026Q1,na,2026-09-12,12152507667.04617
2026Q2,apac,2026-09-12,2233575492.583102
2026Q2,emea,2026-09-12,10471355846.526854
2026Q2,latam,2026-09-12,2724621027.5915766
2026Q2,na,2026-09-12,11770447633.298468
