transcript_id,ticker,fiscal_period,event_date,event_at,corrected_transcript_created_at,pdf_creation_at,published_at,retrieved_at_utc,indexed_at_utc,point_in_time_usable_after,availability_status,source_provider,source_filename,source_sha256,transcript_status,license_status,page_count,word_count,markdown_path
ABNB-2020Q4,ABNB,2020Q4,2021-02-25,,,2021-02-26T18:46:30Z,,,2026-09-03T02:47:00Z,,unverified,FactSet CallStreet,"Airbnb,-Inc.Q42020EarningsCall-(1).pdf",ff5ddf4a9e8ae1c843fa4d98804fbe335c2f2d1b5c864b4e661b6b0c0ebc8c62,corrected,user_provided_restricted,22,10580,data/licensed/earnings_transcripts/clean_md/ABNB-2020Q4.md
ABNB-2021Q1,ABNB,2021Q1,2021-05-13,,,2021-05-14T21:18:41Z,,,2026-09-03T02:47:00Z,,unverified,FactSet CallStreet,ABNB_Q12021_EarningsCall_Transcript.pdf,13efba4bb2770b6b77d7dd04a4d5f67269c5cedfd718319eeec25af3e7ea33d7,corrected,user_provided_restricted,24,10841,data/licensed/earnings_transcripts/clean_md/ABNB-2021Q1.md
ABNB-2021Q2,ABNB,2021Q2,2021-08-12,,,2021-08-13T18:39:35Z,,,2026-09-03T02:47:00Z,,unverified,FactSet CallStreet,Q2-2021_ABNB-Transcript_8.12.21.pdf,7104e51df6ad16737f1cfa7617a88797150c6e4598a10cd03f96b192dcc09933,corrected,user_provided_restricted,22,10135,data/licensed/earnings_transcripts/clean_md/ABNB-2021Q2.md
ABNB-2021Q3,ABNB,2021Q3,2021-11-04,,,2021-11-05T19:41:40Z,,,2026-09-03T02:47:00Z,,unverified,FactSet CallStreet,ABNB_Q32021_EarningsCall_Transcript.pdf,49d3eea551a2b7975b495d07dc6f83e427662ffeb1999e25e9043f4d84409f17,corrected,user_provided_restricted,22,10009,data/licensed/earnings_transcripts/clean_md/ABNB-2021Q3.md
ABNB-2021Q4,ABNB,2021Q4,2022-02-15,,,2022-02-19T00:05:29Z,,,2026-09-03T02:47:00Z,,unverified,FactSet CallStreet,"CORRECTED-TRANSCRIPT-Airbnb,-Inc.(ABNB-US),-Q4-2021-Earnings-Call-15-Feb-22.pdf",8a8bd7db8e22904cc256a062e069d3e65294bac1cbbb7228c9288861686113c2,corrected,user_provided_restricted,24,10837,data/licensed/earnings_transcripts/clean_md/ABNB-2021Q4.md
ABNB-2022Q1,ABNB,2022Q1,2022-05-03,,,2022-05-04T04:56:22Z,,,2026-09-03T02:47:00Z,,unverified,FactSet CallStreet,ABNBQ12022EarningsCall.pdf,4b0ae8b72f4b08d4762bcd988dde4f96d64b5ce8d323b94066191fabc075bf71,corrected,user_provided_restricted,22,11040,data/licensed/earnings_transcripts/clean_md/ABNB-2022Q1.md
ABNB-2022Q2,ABNB,2022Q2,2022-08-02,,,2022-08-03T04:28:36Z,,,2026-09-03T02:47:00Z,,unverified,FactSet CallStreet,Q2-2022-Earnings-Call_2022-08-02-20-30-00_Transcript-(1).pdf,1e5c5775765cf0f7583b1c54595f3422d8aa53ee08515ed2bbd17590d6b39560,corrected,user_provided_restricted,24,10087,data/licensed/earnings_transcripts/clean_md/ABNB-2022Q2.md
ABNB-2022Q3,ABNB,2022Q3,2022-11-01,,,2022-11-02T18:16:34Z,,,2026-09-03T02:47:00Z,,unverified,FactSet CallStreet,ABNB-Corrected-Transcript-(1).pdf,b281320822203bef3a71524b1ac1dc17295c25af690e6b8c9d91d20577009325,corrected,user_provided_restricted,24,11092,data/licensed/earnings_transcripts/clean_md/ABNB-2022Q3.md
ABNB-2022Q4,ABNB,2022Q4,2023-02-14,,,2023-02-16T03:10:47Z,,,2026-09-03T02:47:00Z,,unverified,FactSet CallStreet,Airbnb-Q4'22-Earnings-Call-Transcript.pdf,ceb7c7668285dd7ef6453cd8f9790d36626aca69c25f697b1d3f3a4d4ff650b5,corrected,user_provided_restricted,24,10983,data/licensed/earnings_transcripts/clean_md/ABNB-2022Q4.md
ABNB-2023Q1,ABNB,2023Q1,2023-05-09,,,2023-05-10T02:39:12Z,,,2026-09-03T02:47:00Z,,unverified,FactSet CallStreet,Airbnb-Q1-23-Earnings-Call-Transcript.pdf,56b5e675fc9b967a861e0809e928ee1d273c95e1e6b666f9faf8a2267c72d9c1,corrected,user_provided_restricted,24,11234,data/licensed/earnings_transcripts/clean_md/ABNB-2023Q1.md
