name,year,month,value,period
Total. National Total. Base data. ,2026,7,16625622.0,2026-07
Total. National Total. Base data. ,2026,6,13561443.0,2026-06
Total. National Total. Base data. ,2026,5,14433077.0,2026-05
Total. National Total. Base data. ,2026,4,13114862.0,2026-04
Total. National Total. Base data. ,2026,3,10142719.0,2026-03
Total. National Total. Base data. ,2026,2,8410167.0,2026-02
Total. National Total. Base data. ,2026,1,8126338.0,2026-01
Total. National Total. Base data. ,2025,12,8785710.0,2025-12
Total. National Total. Base data. ,2025,11,9193855.0,2025-11
Total. National Total. Base data. ,2025,10,13328578.0,2025-10
Total. National Total. Base data. ,2025,9,13697556.0,2025-09
Total. National Total. Base data. ,2025,8,17283241.0,2025-08
Total. National Total. Base data. ,2025,7,16305889.0,2025-07
Total. National Total. Base data. ,2025,6,12902234.0,2025-06
Total. National Total. Base data. ,2025,5,13434146.0,2025-05
Total. National Total. Base data. ,2025,4,12666464.0,2025-04
Total. National Total. Base data. ,2025,3,9855297.0,2025-03
Total. National Total. Base data. ,2025,2,8451328.0,2025-02
Total. National Total. Base data. ,2025,1,8133401.0,2025-01
Total. National Total. Base data. ,2024,12,8779950.0,2024-12
Total. National Total. Base data. ,2024,11,9053630.0,2024-11
Total. National Total. Base data. ,2024,10,12919686.0,2024-10
Total. National Total. Base data. ,2024,9,13310160.0,2024-09
Total. National Total. Base data. ,2024,8,16621567.0,2024-08
Total. National Total. Base data. ,2024,7,15957871.0,2024-07
Total. National Total. Base data. ,2024,6,12483868.0,2024-06
Total. National Total. Base data. ,2024,5,13088646.0,2024-05
Total. National Total. Base data. ,2024,4,11186407.0,2024-04
Total. National Total. Base data. ,2024,3,9355437.0,2024-03
Total. National Total. Base data. ,2024,2,7638734.0,2024-02
Total. National Total. Base data. ,2024,1,7244153.0,2024-01
Total. National Total. Base data. ,2023,12,8551712.0,2023-12
Total. National Total. Base data. ,2023,11,8059185.0,2023-11
Total. National Total. Base data. ,2023,10,11774557.0,2023-10
Total. National Total. Base data. ,2023,9,12506679.0,2023-09
