name,year,month,value,period
National. National. Hotel establishments. Travellers. Total.,2026,7,13208858.0,2026-07
National. National. Hotel establishments. Travellers. Total.,2026,6,12187821.0,2026-06
National. National. Hotel establishments. Travellers. Total.,2026,5,12074455.0,2026-05
National. National. Hotel establishments. Travellers. Total.,2026,4,10211051.0,2026-04
National. National. Hotel establishments. Travellers. Total.,2026,3,8270160.0,2026-03
National. National. Hotel establishments. Travellers. Total.,2026,2,6594807.0,2026-02
National. National. Hotel establishments. Travellers. Total.,2026,1,5948424.0,2026-01
National. National. Hotel establishments. Travellers. Total.,2025,12,6890613.0,2025-12
National. National. Hotel establishments. Travellers. Total.,2025,11,7380073.0,2025-11
National. National. Hotel establishments. Travellers. Total.,2025,10,11012524.0,2025-10
National. National. Hotel establishments. Travellers. Total.,2025,9,12044237.0,2025-09
National. National. Hotel establishments. Travellers. Total.,2025,8,13822199.0,2025-08
National. National. Hotel establishments. Travellers. Total.,2025,7,13036976.0,2025-07
National. National. Hotel establishments. Travellers. Total.,2025,6,12270669.0,2025-06
National. National. Hotel establishments. Travellers. Total.,2025,5,11795145.0,2025-05
National. National. Hotel establishments. Travellers. Total.,2025,4,10049832.0,2025-04
National. National. Hotel establishments. Travellers. Total.,2025,3,7708029.0,2025-03
National. National. Hotel establishments. Travellers. Total.,2025,2,6542730.0,2025-02
National. National. Hotel establishments. Travellers. Total.,2025,1,5774050.0,2025-01
National. National. Hotel establishments. Travellers. Total.,2024,12,6561380.0,2024-12
National. National. Hotel establishments. Travellers. Total.,2024,11,7152418.0,2024-11
National. National. Hotel establishments. Travellers. Total.,2024,10,10757739.0,2024-10
National. National. Hotel establishments. Travellers. Total.,2024,9,11753507.0,2024-09
National. National. Hotel establishments. Travellers. Total.,2024,8,13622908.0,2024-08
National. National. Hotel establishments. Travellers. Total.,2024,7,12692328.0,2024-07
National. National. Hotel establishments. Travellers. Total.,2024,6,11865112.0,2024-06
National. National. Hotel establishments. Travellers. Total.,2024,5,11768411.0,2024-05
