series_id,desc,month,value
CUSR0000SA0,"CPI all items, SA",2018-01,248.859
CUSR0000SA0,"CPI all items, SA",2018-02,249.529
CUSR0000SA0,"CPI all items, SA",2018-03,249.577
CUSR0000SA0,"CPI all items, SA",2018-04,250.227
CUSR0000SA0,"CPI all items, SA",2018-05,250.792
CUSR0000SA0,"CPI all items, SA",2018-06,251.018
CUSR0000SA0,"CPI all items, SA",2018-07,251.214
CUSR0000SA0,"CPI all items, SA",2018-08,251.663
CUSR0000SA0,"CPI all items, SA",2018-09,252.182
CUSR0000SA0,"CPI all items, SA",2018-10,252.772
CUSR0000SA0,"CPI all items, SA",2018-11,252.594
CUSR0000SA0,"CPI all items, SA",2018-12,252.767
CUSR0000SA0,"CPI all items, SA",2019-01,252.561
CUSR0000SA0,"CPI all items, SA",2019-02,253.319
CUSR0000SA0,"CPI all items, SA",2019-03,254.277
CUSR0000SA0,"CPI all items, SA",2019-04,255.233
CUSR0000SA0,"CPI all items, SA",2019-05,255.296
CUSR0000SA0,"CPI all items, SA",2019-06,255.213
CUSR0000SA0,"CPI all items, SA",2019-07,255.802
CUSR0000SA0,"CPI all items, SA",2019-08,256.036
CUSR0000SA0,"CPI all items, SA",2019-09,256.43
CUSR0000SA0,"CPI all items, SA",2019-10,257.155
CUSR0000SA0,"CPI all items, SA",2019-11,257.879
CUSR0000SA0,"CPI all items, SA",2019-12,258.63
CUSR0000SA0,"CPI all items, SA",2020-01,259.127
CUSR0000SA0,"CPI all items, SA",2020-02,259.25
CUSR0000SA0,"CPI all items, SA",2020-03,258.076
CUSR0000SA0,"CPI all items, SA",2020-04,256.032
CUSR0000SA0,"CPI all items, SA",2020-05,255.802
CUSR0000SA0,"CPI all items, SA",2020-06,257.042
CUSR0000SA0,"CPI all items, SA",2020-07,258.352
CUSR0000SA0,"CPI all items, SA",2020-08,259.316
CUSR0000SA0,"CPI all items, SA",2020-09,259.997
CUSR0000SA0,"CPI all items, SA",2020-10,260.319
CUSR0000SA0,"CPI all items, SA",2020-11,260.911
CUSR0000SA0,"CPI all items, SA",2020-12,262.045
CUSR0000SA0,"CPI all items, SA",2021-01,262.687
CUSR0000SA0,"CPI all items, SA",2021-02,263.579
CUSR0000SA0,"CPI all items, SA",2021-03,264.961
CUSR0000SA0,"CPI all items, SA",2021-04,266.614
CUSR0000SA0,"CPI all items, SA",2021-05,268.383
CUSR0000SA0,"CPI all items, SA",2021-06,270.654
CUSR0000SA0,"CPI all items, SA",2021-07,271.903
CUSR0000SA0,"CPI all items, SA",2021-08,272.676
CUSR0000SA0,"CPI all items, SA",2021-09,273.91
CUSR0000SA0,"CPI all items, SA",2021-10,276.55
CUSR0000SA0,"CPI all items, SA",2021-11,278.919
CUSR0000SA0,"CPI all items, SA",2021-12,280.845
CUSR0000SA0,"CPI all items, SA",2022-01,282.543
CUSR0000SA0,"CPI all items, SA",2022-02,284.5
CUSR0000SA0,"CPI all items, SA",2022-03,287.674
CUSR0000SA0,"CPI all items, SA",2022-04,288.561
CUSR0000SA0,"CPI all items, SA",2022-05,291.298
CUSR0000SA0,"CPI all items, SA",2022-06,294.957
CUSR0000SA0,"CPI all items, SA",2022-07,294.913
CUSR0000SA0,"CPI all items, SA",2022-08,295.097
CUSR0000SA0,"CPI all items, SA",2022-09,296.349
CUSR0000SA0,"CPI all items, SA",2022-10,298.007
CUSR0000SA0,"CPI all items, SA",2022-11,298.786
CUSR0000SA0,"CPI all items, SA",2022-12,298.832
CUSR0000SA0,"CPI all items, SA",2023-01,300.42
CUSR0000SA0,"CPI all items, SA",2023-02,301.45
CUSR0000SA0,"CPI all items, SA",2023-03,301.821
CUSR0000SA0,"CPI all items, SA",2023-04,302.845
CUSR0000SA0,"CPI all items, SA",2023-05,303.334
CUSR0000SA0,"CPI all items, SA",2023-06,304.014
CUSR0000SA0,"CPI all items, SA",2023-07,304.609
CUSR0000SA0,"CPI all items, SA",2023-08,306.082
CUSR0000SA0,"CPI all items, SA",2023-09,307.276
CUSR0000SA0,"CPI all items, SA",2023-10,307.696
CUSR0000SA0,"CPI all items, SA",2023-11,308.148
CUSR0000SA0,"CPI all items, SA",2023-12,308.741
CUSR0000SA0,"CPI all items, SA",2024-01,309.698
CUSR0000SA0,"CPI all items, SA",2024-02,310.967
CUSR0000SA0,"CPI all items, SA",2024-03,312.345
CUSR0000SA0,"CPI all items, SA",2024-04,313.023
CUSR0000SA0,"CPI all items, SA",2024-05,313.175
CUSR0000SA0,"CPI all items, SA",2024-06,313.044
CUSR0000SA0,"CPI all items, SA",2024-07,313.569
CUSR0000SA0,"CPI all items, SA",2024-08,314.062
CUSR0000SA0,"CPI all items, SA",2024-09,314.732
CUSR0000SA0,"CPI all items, SA",2024-10,315.631
CUSR0000SA0,"CPI all items, SA",2024-11,316.528
CUSR0000SA0,"CPI all items, SA",2024-12,317.604
CUSR0000SA0,"CPI all items, SA",2025-01,318.961
CUSR0000SA0,"CPI all items, SA",2025-02,319.679
CUSR0000SA0,"CPI all items, SA",2025-03,319.785
CUSR0000SA0,"CPI all items, SA",2025-04,320.302
CUSR0000SA0,"CPI all items, SA",2025-05,320.62
CUSR0000SA0,"CPI all items, SA",2025-06,321.435
CUSR0000SA0,"CPI all items, SA",2025-07,322.169
CUSR0000SA0,"CPI all items, SA",2025-08,323.291
CUSR0000SA0,"CPI all items, SA",2025-09,324.245
CUSR0000SA0,"CPI all items, SA",2025-11,325.063
CUSR0000SA0,"CPI all items, SA",2025-12,326.031
CUSR0000SA0,"CPI all items, SA",2026-01,326.588
CUSR0000SA0,"CPI all items, SA",2026-02,327.46
CUSR0000SA0,"CPI all items, SA",2026-03,330.293
CUSR0000SA0,"CPI all items, SA",2026-04,332.407
CUSR0000SA0,"CPI all items, SA",2026-05,333.979
CUSR0000SA0,"CPI all items, SA",2026-06,332.568
CUSR0000SA0,"CPI all items, SA",2026-07,332.813
CUSR0000SA0,"CPI all items, SA",2026-08,334.131
CUSR0000SEHB,"CPI lodging away from home, SA",2018-01,158.539
CUSR0000SEHB,"CPI lodging away from home, SA",2018-02,158.83
CUSR0000SEHB,"CPI lodging away from home, SA",2018-03,161.714
CUSR0000SEHB,"CPI lodging away from home, SA",2018-04,161.391
CUSR0000SEHB,"CPI lodging away from home, SA",2018-05,166.94
CUSR0000SEHB,"CPI lodging away from home, SA",2018-06,161.277
CUSR0000SEHB,"CPI lodging away from home, SA",2018-07,160.772
CUSR0000SEHB,"CPI lodging away from home, SA",2018-08,161.913
CUSR0000SEHB,"CPI lodging away from home, SA",2018-09,159.817
CUSR0000SEHB,"CPI lodging away from home, SA",2018-10,160.665
CUSR0000SEHB,"CPI lodging away from home, SA",2018-11,158.368
CUSR0000SEHB,"CPI lodging away from home, SA",2018-12,161.437
CUSR0000SEHB,"CPI lodging away from home, SA",2019-01,163.144
CUSR0000SEHB,"CPI lodging away from home, SA",2019-02,166.128
CUSR0000SEHB,"CPI lodging away from home, SA",2019-03,166.013
CUSR0000SEHB,"CPI lodging away from home, SA",2019-04,167.262
