name,year,month,value,period
Total. Tourist. Base data. National Total. ,2026,7,11538796.0,2026-07
Total. Tourist. Base data. National Total. ,2026,6,9746490.0,2026-06
Total. Tourist. Base data. National Total. ,2026,5,10260070.0,2026-05
Total. Tourist. Base data. National Total. ,2026,4,9054129.0,2026-04
Total. Tourist. Base data. National Total. ,2026,3,6810629.0,2026-03
Total. Tourist. Base data. National Total. ,2026,2,5569036.0,2026-02
Total. Tourist. Base data. National Total. ,2026,1,5127256.0,2026-01
Total. Tourist. Base data. National Total. ,2025,12,5277365.0,2025-12
Total. Tourist. Base data. National Total. ,2025,11,5774895.0,2025-11
Total. Tourist. Base data. National Total. ,2025,10,9254206.0,2025-10
Total. Tourist. Base data. National Total. ,2025,9,9717724.0,2025-09
Total. Tourist. Base data. National Total. ,2025,8,11227218.0,2025-08
Total. Tourist. Base data. National Total. ,2025,7,11026681.0,2025-07
Total. Tourist. Base data. National Total. ,2025,6,9473172.0,2025-06
Total. Tourist. Base data. National Total. ,2025,5,9370873.0,2025-05
Total. Tourist. Base data. National Total. ,2025,4,8603695.0,2025-04
Total. Tourist. Base data. National Total. ,2025,3,6594912.0,2025-03
Total. Tourist. Base data. National Total. ,2025,2,5416176.0,2025-02
Total. Tourist. Base data. National Total. ,2025,1,5066976.0,2025-01
Total. Tourist. Base data. National Total. ,2024,12,5264375.0,2024-12
Total. Tourist. Base data. National Total. ,2024,11,5670219.0,2024-11
Total. Tourist. Base data. National Total. ,2024,10,8961932.0,2024-10
Total. Tourist. Base data. National Total. ,2024,9,9602015.0,2024-09
Total. Tourist. Base data. National Total. ,2024,8,10929584.0,2024-08
Total. Tourist. Base data. National Total. ,2024,7,10852347.0,2024-07
Total. Tourist. Base data. National Total. ,2024,6,9299574.0,2024-06
Total. Tourist. Base data. National Total. ,2024,5,9255985.0,2024-05
Total. Tourist. Base data. National Total. ,2024,4,7783750.0,2024-04
Total. Tourist. Base data. National Total. ,2024,3,6350471.0,2024-03
Total. Tourist. Base data. National Total. ,2024,2,5013497.0,2024-02
Total. Tourist. Base data. National Total. ,2024,1,4775549.0,2024-01
Total. Tourist. Base data. National Total. ,2023,12,5209085.0,2023-12
Total. Tourist. Base data. National Total. ,2023,11,5135498.0,2023-11
Total. Tourist. Base data. National Total. ,2023,10,8187022.0,2023-10
Total. Tourist. Base data. National Total. ,2023,9,8795425.0,2023-09
Total. Tourist. Base data. National Total. ,2023,8,10186163.0,2023-08
Total. Tourist. Base data. National Total. ,2023,7,10116916.0,2023-07
Total. Tourist. Base data. National Total. ,2023,6,8307460.0,2023-06
